Runs,category,score_f1_weighted_test_mean,classifier,score_precision_weighted_test_mean,score_recall_weighted_test_mean,score_accuracy_test_mean
19,ACTION,0.3770910236927745,cs_numeric_gradient_numeric,0.3826685861809732,0.4011976047904192,0.4011976047904192
27,ACTION,0.32479582723463785,cs_text_bnb_text,0.30855091638849425,0.37325349301397204,0.37325349301397204
28,ACTION,0.3208689831556442,cs_text_gradient_text,0.3254009855271809,0.3532934131736527,0.3532934131736527
18,ACTION,0.32024305763536604,cs_numeric_forest_numeric,0.3691889536074323,0.37924151696606784,0.37924151696606784
18,ACTION,0.3092756250864103,cs_all_forest_numeric,0.3112250123447708,0.3373253493013972,0.3373253493013972
19,ACTION,0.3091782041485961,cs_all_gradient_numeric,0.30794045038628803,0.3373253493013972,0.3373253493013972
29,ACTION,0.2929720444284049,cs_text_svm_text,0.2942921472885521,0.3532934131736527,0.3532934131736527
24,ADVENTURE,0.5162978572826321,cs_numeric_forest_numeric,0.5293972633017122,0.5304010349288486,0.5304010349288486
25,ADVENTURE,0.5150026034947338,cs_numeric_gradient_numeric,0.5261875787368558,0.5278137128072445,0.5278137128072445
24,ADVENTURE,0.5001903634523306,cs_all_forest_numeric,0.49916130618169896,0.5148771021992238,0.5148771021992238
25,ADVENTURE,0.4996146820584244,cs_all_gradient_numeric,0.5121352513789776,0.5058214747736093,0.5058214747736093
37,ADVENTURE,0.4987730563869669,cs_text_gradient_text,0.497366713279242,0.5097024579560155,0.5097024579560155
36,ADVENTURE,0.4692891233055082,cs_text_bnb_text,0.484447302084536,0.4825355756791721,0.4825355756791721
38,ADVENTURE,0.4660988843758384,cs_text_svm_text,0.459027804056675,0.4851228978007762,0.4851228978007762
2,ARCADE,0.4437524357502794,cs_numeric_forest_numeric,0.4457564111690389,0.4899866488651535,0.4899866488651535
3,ARCADE,0.441052163173086,cs_numeric_gradient_numeric,0.4460346244656127,0.4699599465954606,0.4699599465954606
3,ARCADE,0.40732568580366096,cs_all_gradient_numeric,0.4276592413684284,0.4339118825100133,0.4339118825100133
4,ARCADE,0.40607004388362267,cs_text_gradient_text,0.41385037585349604,0.43124165554072097,0.43124165554072097
3,ARCADE,0.4013312255595508,cs_text_bnb_text,0.3867218670071875,0.4379172229639519,0.4379172229639519
2,ARCADE,0.40029214741222224,cs_all_forest_numeric,0.410659389427312,0.4299065420560748,0.4299065420560748
5,ARCADE,0.376199156615192,cs_text_svm_text,0.3663592647165295,0.4205607476635514,0.4205607476635514
39,BOARD,0.406184887993989,cs_numeric_gradient_numeric,0.4271698113207547,0.4188679245283019,0.4188679245283019
38,BOARD,0.3793314471224979,cs_numeric_forest_numeric,0.4349497672139182,0.4037735849056604,0.4037735849056604
38,BOARD,0.36058546570127903,cs_all_forest_numeric,0.3646403805837769,0.37735849056603776,0.37735849056603776
39,BOARD,0.347719774111401,cs_all_gradient_numeric,0.3728760652345559,0.3622641509433962,0.3622641509433962
59,BOARD,0.3469928374680404,cs_text_svm_text,0.3486058700209644,0.3622641509433962,0.3622641509433962
58,BOARD,0.33616277605733763,cs_text_gradient_text,0.3451612643122077,0.3471698113207547,0.3471698113207547
57,BOARD,0.31688826157194633,cs_text_bnb_text,0.34400541806202184,0.3358490566037736,0.3358490566037736
35,BOOKS & REFERENCE,0.4838046379568429,cs_all_gradient_numeric,0.4955941120824061,0.485042735042735,0.485042735042735
52,BOOKS & REFERENCE,0.4788282630264958,cs_text_gradient_text,0.4890780589930368,0.4800569800569801,0.4800569800569801
34,BOOKS & REFERENCE,0.4740836157616835,cs_all_forest_numeric,0.4852402682797861,0.4779202279202279,0.4779202279202279
35,BOOKS & REFERENCE,0.46274036999831697,cs_numeric_gradient_numeric,0.4706087687208054,0.4636752136752137,0.4636752136752137
34,BOOKS & REFERENCE,0.4331802996527286,cs_numeric_forest_numeric,0.4750223405977654,0.448005698005698,0.448005698005698
53,BOOKS & REFERENCE,0.3887676255658543,cs_text_svm_text,0.4039346357051664,0.3967236467236467,0.3967236467236467
51,BOOKS & REFERENCE,0.3641729383866663,cs_text_bnb_text,0.3983490300412598,0.3938746438746439,0.3938746438746439
4,BUSINESS,0.3826636558519037,cs_numeric_forest_numeric,0.4060975955883698,0.3868613138686132,0.3868613138686132
5,BUSINESS,0.3729935198558159,cs_numeric_gradient_numeric,0.4046607793738932,0.3905109489051095,0.3905109489051095
8,BUSINESS,0.3534016707946533,cs_text_svm_text,0.36474558310961785,0.3631386861313868,0.3631386861313868
4,BUSINESS,0.3493131342097821,cs_all_forest_numeric,0.3815560435414648,0.3594890510948905,0.3594890510948905
7,BUSINESS,0.34290298772205857,cs_text_gradient_text,0.35582685556655075,0.34854014598540145,0.34854014598540145
5,BUSINESS,0.3342606000093507,cs_all_gradient_numeric,0.3397283808723969,0.34306569343065696,0.34306569343065696
6,BUSINESS,0.29831690680831435,cs_text_bnb_text,0.30837983884547804,0.3138686131386861,0.3138686131386861
40,CARD,0.4084304350010767,cs_all_forest_numeric,0.4517507418997485,0.4370860927152318,0.4370860927152318
41,CARD,0.4074031483577237,cs_all_gradient_numeric,0.4318602687154448,0.4403973509933775,0.4403973509933775
40,CARD,0.3957012444125371,cs_numeric_forest_numeric,0.43311136309567816,0.4205298013245033,0.4205298013245033
61,CARD,0.3947221578765469,cs_text_gradient_text,0.4304030939797655,0.4271523178807947,0.4271523178807947
41,CARD,0.3923657055391336,cs_numeric_gradient_numeric,0.4116730032292946,0.40728476821192056,0.40728476821192056
60,CARD,0.3390396534808669,cs_text_bnb_text,0.3451996954480398,0.3543046357615894,0.3543046357615894
62,CARD,0.32716397525620194,cs_text_svm_text,0.3311951785607805,0.3443708609271523,0.3443708609271523
101,CASINO,0.712031203120312,cs_text_svm_text,0.7354549740688355,0.7227722772277227,0.7227722772277227
67,CASINO,0.6301858757304302,cs_numeric_gradient_numeric,0.676096181046676,0.6435643564356436,0.6435643564356436
100,CASINO,0.6233223322332233,cs_text_gradient_text,0.6435643564356436,0.6435643564356436,0.6435643564356436
