feature,min,max,mean,std,25%,50%,75%
price,0.0,411.43,4.09731463561,15.7853463908,0.99,1.99,3.98
starRating,1.0,5.0,4.15947496217,0.713700470585,4.0,4.2,4.6
days_since_lastUpdated,50.0,3133.0,606.538743524,517.936402625,181.0,435.0,942.0
totalNrOfReviews,0.0,2001116.0,855.508639195,13804.3730989,3.0,18.0,130.0
libraries,0.0,44.0,1.81250659816,3.39574370057,0.0,0.0,2.0
1_star_reviews,0.0,1.0,0.0954752707406,0.16265924678,0.0,0.0354285714286,0.116431924883
2_star_reviews,0.0,1.0,0.037819985029,0.0827817728505,0.0,0.00796178343949,0.0457212713936
3_star_reviews,0.0,1.0,0.0612918400757,0.0989360389587,0.0,0.0363288718929,0.0875
4_star_reviews,0.0,1.0,0.130428183066,0.142513016606,0.0,0.121934488081,0.2
5_star_reviews,0.0,1.0,0.559490474686,0.306634502248,0.4,0.611175115207,0.769230769231
days_since_release,124.0,2862.0,1174.78906313,643.454373907,671.0,1174.78906313,1554.0
