,y_eval,y_pred,diff
2622,2.0,2.0,0.0
2644,1.0,2.0,1.0
2680,2.0,2.0,0.0
2688,2.0,2.0,0.0
2689,3.0,2.0,-1.0
2729,2.0,2.0,0.0
2757,2.0,3.0,1.0
2781,1.0,4.0,3.0
2863,2.0,1.0,-1.0
2946,2.0,2.0,0.0
3038,3.0,3.0,0.0
3089,2.0,3.0,1.0
3662,4.0,2.0,-2.0
4235,3.0,3.0,0.0
4239,4.0,3.0,-1.0
4240,3.0,3.0,0.0
4244,3.0,3.0,0.0
4247,2.0,2.0,0.0
4252,2.0,3.0,1.0
4258,3.0,3.0,0.0
4259,2.0,3.0,1.0
4270,4.0,4.0,0.0
4275,3.0,4.0,1.0
4280,1.0,3.0,2.0
4281,2.0,2.0,0.0
4283,2.0,2.0,0.0
4292,2.0,2.0,0.0
4303,2.0,3.0,1.0
4306,3.0,3.0,0.0
4322,3.0,3.0,0.0
4336,2.0,2.0,0.0
4351,3.0,3.0,0.0
4352,4.0,4.0,0.0
4368,2.0,2.0,0.0
4378,2.0,2.0,0.0
4385,2.0,3.0,1.0
4387,2.0,3.0,1.0
4390,2.0,2.0,0.0
4401,2.0,2.0,0.0
4405,3.0,3.0,0.0
4406,2.0,3.0,1.0
4408,3.0,3.0,0.0
4410,3.0,3.0,0.0
4412,3.0,3.0,0.0
4418,2.0,3.0,1.0
4420,4.0,4.0,0.0
4427,4.0,4.0,0.0
4433,2.0,2.0,0.0
4443,3.0,3.0,0.0
4446,2.0,2.0,0.0
4448,1.0,3.0,2.0
4449,2.0,2.0,0.0
4455,3.0,3.0,0.0
4456,2.0,2.0,0.0
4462,3.0,3.0,0.0
4474,2.0,2.0,0.0
4511,3.0,3.0,0.0
4514,3.0,3.0,0.0
4525,3.0,3.0,0.0
4533,2.0,2.0,0.0
4536,3.0,3.0,0.0
4544,2.0,2.0,0.0
4545,2.0,3.0,1.0
4561,3.0,3.0,0.0
4563,4.0,4.0,0.0
4568,3.0,3.0,0.0
4572,3.0,3.0,0.0
4573,3.0,3.0,0.0
4584,3.0,3.0,0.0
4594,3.0,2.0,-1.0
4596,1.0,3.0,2.0
4600,2.0,4.0,2.0
4602,3.0,3.0,0.0
4605,4.0,3.0,-1.0
4609,2.0,2.0,0.0
4614,3.0,3.0,0.0
4619,3.0,3.0,0.0
4626,3.0,3.0,0.0
4637,2.0,2.0,0.0
4647,3.0,3.0,0.0
4662,3.0,3.0,0.0
4663,2.0,3.0,1.0
4664,3.0,3.0,0.0
4665,4.0,3.0,-1.0
4674,3.0,3.0,0.0
4688,1.0,2.0,1.0
4690,3.0,3.0,0.0
4693,2.0,2.0,0.0
4694,4.0,4.0,0.0
4697,1.0,3.0,2.0
4699,4.0,4.0,0.0
4714,2.0,3.0,1.0
4722,3.0,3.0,0.0
4723,2.0,2.0,0.0
4731,1.0,3.0,2.0
4738,3.0,3.0,0.0
4741,3.0,3.0,0.0
7123,2.0,3.0,1.0
7577,2.0,2.0,0.0
7620,2.0,3.0,1.0
7686,1.0,3.0,2.0
10994,2.0,2.0,0.0
10995,1.0,1.0,0.0
10996,1.0,2.0,1.0
10997,2.0,2.0,0.0
10998,1.0,2.0,1.0
10999,4.0,4.0,0.0
11000,3.0,4.0,1.0
11001,3.0,3.0,0.0
11004,4.0,4.0,0.0
11005,2.0,3.0,1.0
11006,3.0,3.0,0.0
11007,1.0,2.0,1.0
11009,4.0,4.0,0.0
11010,3.0,4.0,1.0
11011,3.0,3.0,0.0
11014,4.0,4.0,0.0
11015,2.0,1.0,-1.0
11016,3.0,3.0,0.0
11017,2.0,2.0,0.0
11018,2.0,3.0,1.0
11019,2.0,4.0,2.0
11020,4.0,3.0,-1.0
11021,3.0,2.0,-1.0
11022,2.0,4.0,2.0
11024,1.0,3.0,2.0
11025,4.0,4.0,0.0
11026,1.0,1.0,0.0
11027,3.0,4.0,1.0
11028,4.0,4.0,0.0
11032,2.0,3.0,1.0
11033,2.0,2.0,0.0
11034,2.0,3.0,1.0
11035,4.0,3.0,-1.0
11036,2.0,3.0,1.0
11038,3.0,1.0,-2.0
11040,1.0,3.0,2.0
11042,4.0,4.0,0.0
11043,3.0,3.0,0.0
11044,4.0,4.0,0.0
11045,4.0,4.0,0.0
11046,3.0,3.0,0.0
11047,2.0,4.0,2.0
11048,1.0,1.0,0.0
11049,2.0,3.0,1.0
11051,3.0,3.0,0.0
11052,2.0,3.0,1.0
11053,1.0,4.0,3.0
11054,4.0,4.0,0.0
11055,2.0,4.0,2.0
11056,2.0,4.0,2.0
11057,4.0,2.0,-2.0
11058,2.0,3.0,1.0
11059,2.0,4.0,2.0
11060,4.0,1.0,-3.0
11061,2.0,2.0,0.0
11062,4.0,4.0,0.0
11063,2.0,3.0,1.0
11064,1.0,4.0,3.0
11066,1.0,2.0,1.0
11067,4.0,4.0,0.0
11068,1.0,2.0,1.0
11069,1.0,4.0,3.0
11070,3.0,3.0,0.0
11073,4.0,4.0,0.0
11074,4.0,4.0,0.0
11075,4.0,4.0,0.0
11077,3.0,4.0,1.0
11078,4.0,3.0,-1.0
11079,4.0,4.0,0.0
11082,2.0,1.0,-1.0
11083,2.0,3.0,1.0
11084,4.0,4.0,0.0
11085,4.0,3.0,-1.0
11086,2.0,2.0,0.0
11087,1.0,4.0,3.0
11088,4.0,3.0,-1.0
11089,1.0,3.0,2.0
11090,2.0,2.0,0.0
11091,4.0,4.0,0.0
11093,1.0,2.0,1.0
11094,4.0,4.0,0.0
11095,4.0,4.0,0.0
11096,2.0,3.0,1.0
11097,2.0,3.0,1.0
11098,2.0,2.0,0.0
11099,4.0,3.0,-1.0
11100,4.0,4.0,0.0
11101,1.0,1.0,0.0
11102,3.0,3.0,0.0
11103,2.0,2.0,0.0
11104,2.0,2.0,0.0
11105,1.0,2.0,1.0
11106,1.0,3.0,2.0
11107,4.0,2.0,-2.0
11108,3.0,4.0,1.0
11109,4.0,4.0,0.0
11111,1.0,3.0,2.0
11112,4.0,4.0,0.0
11113,1.0,2.0,1.0
11114,3.0,2.0,-1.0
11115,2.0,4.0,2.0
11118,3.0,3.0,0.0
11119,1.0,2.0,1.0
11120,4.0,4.0,0.0
11121,1.0,3.0,2.0
11124,1.0,4.0,3.0
11125,1.0,2.0,1.0
11126,4.0,4.0,0.0
11127,2.0,3.0,1.0
11128,2.0,4.0,2.0
11130,4.0,4.0,0.0
11131,2.0,3.0,1.0
11132,1.0,4.0,3.0
11133,2.0,4.0,2.0
11134,1.0,3.0,2.0
11137,1.0,2.0,1.0
11138,2.0,3.0,1.0
11139,4.0,4.0,0.0
11140,4.0,4.0,0.0
11141,2.0,2.0,0.0
11142,1.0,1.0,0.0
11143,2.0,3.0,1.0
11144,3.0,1.0,-2.0
11145,4.0,4.0,0.0
11146,4.0,2.0,-2.0
11147,1.0,1.0,0.0
11148,4.0,4.0,0.0
11149,2.0,2.0,0.0
11150,4.0,4.0,0.0
11152,2.0,4.0,2.0
11153,4.0,3.0,-1.0
11157,1.0,3.0,2.0
11158,3.0,3.0,0.0
11159,1.0,4.0,3.0
11160,1.0,4.0,3.0
11161,3.0,4.0,1.0
11164,1.0,2.0,1.0
11165,4.0,3.0,-1.0
11166,2.0,1.0,-1.0
11167,4.0,4.0,0.0
11168,1.0,2.0,1.0
11169,2.0,1.0,-1.0
11170,4.0,3.0,-1.0
11171,2.0,3.0,1.0
11172,1.0,1.0,0.0
11173,3.0,4.0,1.0
11174,4.0,4.0,0.0
11175,4.0,4.0,0.0
11177,2.0,2.0,0.0
11178,1.0,2.0,1.0
11180,2.0,3.0,1.0
11181,3.0,3.0,0.0
11182,4.0,4.0,0.0
11183,4.0,3.0,-1.0
11184,3.0,1.0,-2.0
11185,3.0,4.0,1.0
11186,4.0,2.0,-2.0
11188,2.0,2.0,0.0
11189,4.0,2.0,-2.0
11190,4.0,4.0,0.0
11191,3.0,4.0,1.0
11193,4.0,4.0,0.0
11195,4.0,4.0,0.0
11196,2.0,3.0,1.0
11197,2.0,4.0,2.0
11198,2.0,4.0,2.0
11199,2.0,3.0,1.0
11200,3.0,4.0,1.0
11202,3.0,2.0,-1.0
11203,4.0,3.0,-1.0
11204,3.0,4.0,1.0
11205,3.0,4.0,1.0
11206,4.0,2.0,-2.0
11207,2.0,3.0,1.0
11209,1.0,3.0,2.0
11210,1.0,4.0,3.0
11211,1.0,2.0,1.0
11212,3.0,2.0,-1.0
11213,4.0,4.0,0.0
11214,1.0,3.0,2.0
11216,4.0,4.0,0.0
11217,4.0,1.0,-3.0
11219,4.0,4.0,0.0
11221,2.0,3.0,1.0
11223,3.0,3.0,0.0
11224,4.0,2.0,-2.0
11226,2.0,2.0,0.0
11227,1.0,3.0,2.0
11228,3.0,2.0,-1.0
11229,1.0,2.0,1.0
11230,4.0,4.0,0.0
11231,4.0,3.0,-1.0
11232,4.0,3.0,-1.0
11233,1.0,2.0,1.0
11234,1.0,3.0,2.0
11235,4.0,3.0,-1.0
11237,4.0,2.0,-2.0
11238,1.0,3.0,2.0
11239,1.0,2.0,1.0
11240,3.0,4.0,1.0
11241,1.0,4.0,3.0
11242,1.0,1.0,0.0
11243,4.0,4.0,0.0
11245,3.0,4.0,1.0
11248,2.0,4.0,2.0
11249,1.0,1.0,0.0
11250,4.0,4.0,0.0
11251,1.0,2.0,1.0
11252,4.0,4.0,0.0
11253,3.0,3.0,0.0
11254,1.0,1.0,0.0
11255,4.0,2.0,-2.0
11256,3.0,3.0,0.0
11257,1.0,4.0,3.0
11258,4.0,4.0,0.0
11259,1.0,1.0,0.0
11260,1.0,2.0,1.0
11262,2.0,3.0,1.0
11263,1.0,4.0,3.0
11264,3.0,3.0,0.0
11265,4.0,4.0,0.0
11267,1.0,3.0,2.0
11269,2.0,1.0,-1.0
11270,1.0,3.0,2.0
11271,3.0,3.0,0.0
11272,4.0,4.0,0.0
11273,2.0,4.0,2.0
11275,4.0,4.0,0.0
11277,3.0,3.0,0.0
11278,3.0,2.0,-1.0
11279,2.0,2.0,0.0
11280,1.0,2.0,1.0
11281,4.0,4.0,0.0
11282,4.0,4.0,0.0
11283,4.0,3.0,-1.0
11285,1.0,3.0,2.0
11286,1.0,4.0,3.0
11288,2.0,2.0,0.0
11289,4.0,4.0,0.0
11291,2.0,4.0,2.0
11293,1.0,2.0,1.0
11294,4.0,4.0,0.0
11295,3.0,4.0,1.0
11296,2.0,4.0,2.0
11297,3.0,4.0,1.0
11298,2.0,3.0,1.0
11299,4.0,2.0,-2.0
11300,2.0,3.0,1.0
11301,2.0,2.0,0.0
11302,4.0,2.0,-2.0
11303,2.0,3.0,1.0
11304,2.0,2.0,0.0
11305,2.0,2.0,0.0
11306,4.0,3.0,-1.0
11307,1.0,1.0,0.0
11309,1.0,2.0,1.0
11311,1.0,3.0,2.0
11312,1.0,1.0,0.0
11315,4.0,4.0,0.0
11316,1.0,3.0,2.0
11317,4.0,3.0,-1.0
11318,3.0,4.0,1.0
11319,4.0,4.0,0.0
11320,1.0,2.0,1.0
11321,2.0,3.0,1.0
11323,2.0,3.0,1.0
11324,1.0,4.0,3.0
11325,4.0,4.0,0.0
11326,2.0,3.0,1.0
11327,3.0,3.0,0.0
11328,3.0,4.0,1.0
11330,4.0,2.0,-2.0
11331,1.0,1.0,0.0
11332,2.0,3.0,1.0
11333,4.0,4.0,0.0
11334,4.0,4.0,0.0
11335,2.0,2.0,0.0
11336,3.0,4.0,1.0
11337,2.0,3.0,1.0
11338,3.0,3.0,0.0
11339,3.0,2.0,-1.0
11340,1.0,4.0,3.0
11341,4.0,4.0,0.0
11342,4.0,4.0,0.0
11343,4.0,3.0,-1.0
11344,2.0,2.0,0.0
11345,3.0,3.0,0.0
11347,2.0,3.0,1.0
11348,3.0,3.0,0.0
11349,4.0,4.0,0.0
11350,4.0,2.0,-2.0
11351,1.0,4.0,3.0
11352,3.0,4.0,1.0
11353,2.0,4.0,2.0
11354,1.0,2.0,1.0
11355,1.0,4.0,3.0
11356,2.0,2.0,0.0
11357,4.0,3.0,-1.0
11358,4.0,2.0,-2.0
11359,3.0,2.0,-1.0
11360,1.0,4.0,3.0
11361,3.0,3.0,0.0
11362,3.0,4.0,1.0
11363,1.0,4.0,3.0
11364,3.0,3.0,0.0
11365,3.0,4.0,1.0
11366,2.0,2.0,0.0
11367,2.0,2.0,0.0
11368,1.0,2.0,1.0
11369,3.0,2.0,-1.0
11371,4.0,3.0,-1.0
11372,3.0,4.0,1.0
11374,4.0,3.0,-1.0
11375,3.0,2.0,-1.0
11377,1.0,2.0,1.0
11378,1.0,3.0,2.0
11379,4.0,4.0,0.0
11380,2.0,4.0,2.0
11381,1.0,3.0,2.0
11382,4.0,2.0,-2.0
11384,1.0,4.0,3.0
11385,4.0,4.0,0.0
11386,2.0,2.0,0.0
11387,3.0,4.0,1.0
11389,1.0,3.0,2.0
11390,1.0,3.0,2.0
11391,3.0,4.0,1.0
11392,4.0,2.0,-2.0
11393,4.0,3.0,-1.0
11394,4.0,4.0,0.0
11396,4.0,4.0,0.0
11397,3.0,4.0,1.0
11398,1.0,4.0,3.0
11399,4.0,4.0,0.0
11400,4.0,4.0,0.0
11402,2.0,2.0,0.0
11403,4.0,4.0,0.0
11404,4.0,4.0,0.0
11405,3.0,3.0,0.0
11406,4.0,3.0,-1.0
11407,1.0,4.0,3.0
11408,3.0,3.0,0.0
11409,4.0,3.0,-1.0
11410,1.0,2.0,1.0
11412,1.0,3.0,2.0
11413,1.0,2.0,1.0
11415,3.0,3.0,0.0
11416,1.0,3.0,2.0
11417,3.0,2.0,-1.0
11418,3.0,3.0,0.0
11419,3.0,4.0,1.0
11420,2.0,4.0,2.0
11421,4.0,2.0,-2.0
11423,2.0,2.0,0.0
11424,3.0,3.0,0.0
11427,3.0,3.0,0.0
11428,2.0,4.0,2.0
11429,3.0,3.0,0.0
11431,4.0,4.0,0.0
11432,4.0,4.0,0.0
11433,3.0,3.0,0.0
11434,4.0,4.0,0.0
11435,4.0,4.0,0.0
11436,1.0,2.0,1.0
11437,2.0,2.0,0.0
11438,4.0,4.0,0.0
11441,2.0,3.0,1.0
11442,1.0,3.0,2.0
11443,1.0,4.0,3.0
11444,4.0,4.0,0.0
12870,2.0,2.0,0.0
12873,2.0,3.0,1.0
12877,4.0,3.0,-1.0
12894,2.0,2.0,0.0
12896,3.0,3.0,0.0
12897,3.0,3.0,0.0
12907,4.0,3.0,-1.0
13049,2.0,3.0,1.0
13050,1.0,2.0,1.0
13051,2.0,3.0,1.0
13052,4.0,4.0,0.0
13054,4.0,4.0,0.0
13055,1.0,2.0,1.0
13056,4.0,4.0,0.0
