,y_eval,y_pred,diff
690,1.0,3.0,2.0
691,4.0,3.0,-1.0
692,2.0,4.0,2.0
693,2.0,3.0,1.0
695,3.0,3.0,0.0
696,1.0,2.0,1.0
697,3.0,3.0,0.0
698,2.0,3.0,1.0
699,2.0,3.0,1.0
700,4.0,3.0,-1.0
701,2.0,2.0,0.0
702,3.0,3.0,0.0
703,4.0,4.0,0.0
704,4.0,2.0,-2.0
705,1.0,3.0,2.0
706,4.0,3.0,-1.0
707,3.0,4.0,1.0
710,1.0,3.0,2.0
711,3.0,3.0,0.0
712,3.0,3.0,0.0
713,1.0,3.0,2.0
714,2.0,3.0,1.0
716,4.0,3.0,-1.0
717,1.0,1.0,0.0
718,4.0,4.0,0.0
719,4.0,4.0,0.0
720,1.0,4.0,3.0
721,4.0,3.0,-1.0
722,3.0,2.0,-1.0
723,1.0,3.0,2.0
724,4.0,4.0,0.0
725,3.0,3.0,0.0
726,2.0,3.0,1.0
727,1.0,3.0,2.0
728,3.0,2.0,-1.0
729,4.0,1.0,-3.0
730,1.0,4.0,3.0
731,2.0,4.0,2.0
732,4.0,3.0,-1.0
733,3.0,2.0,-1.0
734,2.0,4.0,2.0
735,2.0,3.0,1.0
736,4.0,4.0,0.0
737,1.0,3.0,2.0
738,4.0,2.0,-2.0
739,1.0,4.0,3.0
740,4.0,4.0,0.0
742,3.0,3.0,0.0
743,4.0,2.0,-2.0
744,1.0,2.0,1.0
745,1.0,4.0,3.0
746,2.0,2.0,0.0
747,4.0,4.0,0.0
748,1.0,2.0,1.0
749,3.0,1.0,-2.0
750,3.0,4.0,1.0
751,1.0,3.0,2.0
752,2.0,4.0,2.0
754,2.0,2.0,0.0
755,3.0,4.0,1.0
756,2.0,3.0,1.0
757,1.0,2.0,1.0
758,1.0,2.0,1.0
759,4.0,1.0,-3.0
760,3.0,4.0,1.0
761,2.0,3.0,1.0
762,4.0,3.0,-1.0
763,3.0,3.0,0.0
765,3.0,2.0,-1.0
767,1.0,4.0,3.0
768,4.0,2.0,-2.0
769,4.0,4.0,0.0
770,3.0,4.0,1.0
771,2.0,3.0,1.0
772,3.0,1.0,-2.0
773,1.0,2.0,1.0
774,1.0,4.0,3.0
775,4.0,4.0,0.0
776,2.0,3.0,1.0
777,2.0,2.0,0.0
778,2.0,3.0,1.0
780,2.0,2.0,0.0
781,1.0,2.0,1.0
782,2.0,3.0,1.0
784,2.0,1.0,-1.0
785,1.0,3.0,2.0
786,3.0,2.0,-1.0
787,4.0,3.0,-1.0
788,3.0,3.0,0.0
789,3.0,3.0,0.0
790,4.0,3.0,-1.0
791,4.0,4.0,0.0
792,3.0,3.0,0.0
793,4.0,4.0,0.0
794,4.0,4.0,0.0
795,1.0,3.0,2.0
796,1.0,4.0,3.0
800,3.0,3.0,0.0
801,4.0,3.0,-1.0
802,1.0,2.0,1.0
803,4.0,3.0,-1.0
805,3.0,4.0,1.0
806,1.0,3.0,2.0
807,4.0,2.0,-2.0
808,4.0,3.0,-1.0
809,2.0,3.0,1.0
812,2.0,4.0,2.0
815,3.0,3.0,0.0
816,3.0,2.0,-1.0
817,4.0,4.0,0.0
818,1.0,3.0,2.0
819,4.0,4.0,0.0
820,2.0,2.0,0.0
822,3.0,4.0,1.0
823,3.0,2.0,-1.0
824,3.0,3.0,0.0
825,3.0,3.0,0.0
826,4.0,2.0,-2.0
827,3.0,3.0,0.0
828,1.0,3.0,2.0
829,2.0,3.0,1.0
830,3.0,3.0,0.0
831,1.0,3.0,2.0
832,1.0,4.0,3.0
833,4.0,3.0,-1.0
834,3.0,3.0,0.0
835,1.0,4.0,3.0
836,4.0,3.0,-1.0
837,3.0,4.0,1.0
838,2.0,3.0,1.0
839,3.0,3.0,0.0
841,3.0,3.0,0.0
842,4.0,3.0,-1.0
843,2.0,3.0,1.0
844,3.0,4.0,1.0
845,3.0,4.0,1.0
846,2.0,2.0,0.0
847,1.0,3.0,2.0
848,1.0,2.0,1.0
849,3.0,2.0,-1.0
850,3.0,3.0,0.0
851,3.0,4.0,1.0
852,4.0,4.0,0.0
853,3.0,3.0,0.0
854,3.0,3.0,0.0
855,2.0,3.0,1.0
856,2.0,3.0,1.0
857,4.0,3.0,-1.0
858,4.0,3.0,-1.0
859,1.0,3.0,2.0
860,1.0,2.0,1.0
861,2.0,3.0,1.0
862,3.0,3.0,0.0
863,2.0,4.0,2.0
865,4.0,4.0,0.0
866,3.0,2.0,-1.0
867,2.0,2.0,0.0
868,3.0,2.0,-1.0
869,2.0,2.0,0.0
870,4.0,3.0,-1.0
872,2.0,3.0,1.0
873,3.0,3.0,0.0
874,3.0,3.0,0.0
875,4.0,4.0,0.0
876,2.0,3.0,1.0
877,2.0,3.0,1.0
878,1.0,4.0,3.0
879,2.0,2.0,0.0
880,4.0,3.0,-1.0
881,2.0,2.0,0.0
882,2.0,3.0,1.0
883,2.0,2.0,0.0
885,2.0,2.0,0.0
886,2.0,4.0,2.0
888,2.0,3.0,1.0
889,3.0,3.0,0.0
890,2.0,4.0,2.0
891,3.0,2.0,-1.0
892,4.0,4.0,0.0
893,3.0,2.0,-1.0
894,1.0,2.0,1.0
895,4.0,4.0,0.0
896,4.0,3.0,-1.0
897,2.0,3.0,1.0
898,4.0,1.0,-3.0
899,2.0,3.0,1.0
900,1.0,1.0,0.0
901,3.0,3.0,0.0
902,1.0,3.0,2.0
904,3.0,2.0,-1.0
905,2.0,2.0,0.0
906,2.0,2.0,0.0
907,2.0,2.0,0.0
908,3.0,2.0,-1.0
909,3.0,3.0,0.0
910,2.0,4.0,2.0
911,4.0,2.0,-2.0
912,4.0,3.0,-1.0
913,3.0,4.0,1.0
914,1.0,3.0,2.0
915,4.0,3.0,-1.0
916,2.0,4.0,2.0
918,2.0,3.0,1.0
919,4.0,3.0,-1.0
921,3.0,4.0,1.0
922,3.0,3.0,0.0
923,3.0,3.0,0.0
924,3.0,3.0,0.0
926,4.0,4.0,0.0
927,1.0,3.0,2.0
928,1.0,2.0,1.0
929,1.0,2.0,1.0
930,2.0,4.0,2.0
931,2.0,2.0,0.0
932,2.0,3.0,1.0
933,1.0,3.0,2.0
934,4.0,4.0,0.0
935,1.0,1.0,0.0
936,3.0,3.0,0.0
937,4.0,3.0,-1.0
938,4.0,3.0,-1.0
939,2.0,2.0,0.0
940,4.0,3.0,-1.0
941,2.0,2.0,0.0
942,4.0,3.0,-1.0
943,1.0,3.0,2.0
944,1.0,3.0,2.0
945,4.0,4.0,0.0
946,2.0,4.0,2.0
948,2.0,3.0,1.0
950,4.0,3.0,-1.0
951,3.0,3.0,0.0
953,4.0,4.0,0.0
954,2.0,4.0,2.0
955,4.0,4.0,0.0
956,1.0,3.0,2.0
957,4.0,4.0,0.0
959,4.0,2.0,-2.0
960,4.0,4.0,0.0
962,4.0,4.0,0.0
963,2.0,2.0,0.0
964,2.0,3.0,1.0
965,2.0,2.0,0.0
968,3.0,4.0,1.0
969,4.0,4.0,0.0
970,1.0,3.0,2.0
971,4.0,4.0,0.0
972,4.0,4.0,0.0
975,1.0,2.0,1.0
976,3.0,4.0,1.0
977,3.0,4.0,1.0
978,1.0,2.0,1.0
979,3.0,3.0,0.0
980,3.0,4.0,1.0
982,2.0,2.0,0.0
12932,4.0,4.0,0.0
12933,3.0,2.0,-1.0
12934,4.0,3.0,-1.0
12936,1.0,3.0,2.0
12937,1.0,2.0,1.0
12938,2.0,3.0,1.0
12939,2.0,2.0,0.0
12940,3.0,4.0,1.0
12941,3.0,3.0,0.0
12943,4.0,2.0,-2.0
12944,1.0,1.0,0.0
12945,1.0,2.0,1.0
12946,4.0,3.0,-1.0
12947,2.0,3.0,1.0
12948,2.0,4.0,2.0
12949,4.0,3.0,-1.0
12950,3.0,4.0,1.0
12951,1.0,2.0,1.0
12952,4.0,3.0,-1.0
12953,4.0,3.0,-1.0
12954,2.0,2.0,0.0
12956,1.0,2.0,1.0
12958,1.0,4.0,3.0
12959,4.0,3.0,-1.0
12960,2.0,2.0,0.0
12961,3.0,4.0,1.0
12962,4.0,3.0,-1.0
12963,1.0,1.0,0.0
12965,4.0,1.0,-3.0
12967,2.0,2.0,0.0
12968,4.0,2.0,-2.0
12969,3.0,3.0,0.0
12970,4.0,3.0,-1.0
12971,1.0,3.0,2.0
12972,1.0,3.0,2.0
12973,1.0,3.0,2.0
12975,3.0,3.0,0.0
12976,2.0,2.0,0.0
12977,2.0,3.0,1.0
12978,2.0,4.0,2.0
12981,1.0,2.0,1.0
12982,4.0,3.0,-1.0
12983,2.0,2.0,0.0
12984,2.0,2.0,0.0
12985,1.0,4.0,3.0
12986,3.0,2.0,-1.0
14348,3.0,3.0,0.0
14349,3.0,3.0,0.0
14351,1.0,2.0,1.0
15359,3.0,2.0,-1.0
15360,3.0,3.0,0.0
15361,4.0,4.0,0.0
15362,1.0,2.0,1.0
15363,1.0,2.0,1.0
15365,4.0,4.0,0.0
15366,2.0,4.0,2.0
15367,3.0,4.0,1.0
15368,1.0,2.0,1.0
15370,4.0,4.0,0.0
15373,2.0,3.0,1.0
15374,3.0,4.0,1.0
15375,1.0,3.0,2.0
15376,2.0,1.0,-1.0
15377,1.0,3.0,2.0
15378,3.0,3.0,0.0
15379,1.0,3.0,2.0
15381,4.0,3.0,-1.0
16474,4.0,4.0,0.0
16475,1.0,3.0,2.0
16476,1.0,2.0,1.0
16477,3.0,3.0,0.0
16739,3.0,3.0,0.0
17372,3.0,3.0,0.0
17373,4.0,4.0,0.0
17374,1.0,2.0,1.0
17375,1.0,3.0,2.0
17376,3.0,3.0,0.0
17377,2.0,2.0,0.0
17378,4.0,3.0,-1.0
17633,4.0,4.0,0.0
18089,2.0,3.0,1.0
18161,1.0,3.0,2.0
18162,2.0,3.0,1.0
18746,1.0,3.0,2.0
18747,3.0,2.0,-1.0
18748,1.0,4.0,3.0
18749,2.0,3.0,1.0
18750,1.0,3.0,2.0
18751,3.0,2.0,-1.0
18752,2.0,2.0,0.0
18753,3.0,3.0,0.0
18754,4.0,1.0,-3.0
18755,4.0,3.0,-1.0
18756,1.0,4.0,3.0
18757,1.0,3.0,2.0
18758,4.0,3.0,-1.0
18759,3.0,4.0,1.0
18760,1.0,2.0,1.0
18762,3.0,4.0,1.0
18763,4.0,3.0,-1.0
18764,4.0,1.0,-3.0
18766,1.0,3.0,2.0
18767,2.0,2.0,0.0
