,y_eval,y_pred,diff
2715,3.0,3.0,0.0
2768,2.0,2.0,0.0
2893,2.0,3.0,1.0
2942,4.0,4.0,0.0
2949,3.0,4.0,1.0
3079,2.0,2.0,0.0
4601,2.0,4.0,2.0
7116,4.0,3.0,-1.0
9467,3.0,3.0,0.0
9474,4.0,4.0,0.0
12202,1.0,2.0,1.0
12203,3.0,2.0,-1.0
12204,4.0,3.0,-1.0
12205,2.0,2.0,0.0
12206,2.0,2.0,0.0
12207,1.0,1.0,0.0
12210,4.0,4.0,0.0
12216,4.0,4.0,0.0
12217,3.0,3.0,0.0
12219,4.0,4.0,0.0
12221,1.0,2.0,1.0
12222,1.0,3.0,2.0
12223,1.0,2.0,1.0
12224,4.0,4.0,0.0
12225,4.0,2.0,-2.0
12226,4.0,1.0,-3.0
12227,2.0,2.0,0.0
12229,1.0,2.0,1.0
12231,2.0,2.0,0.0
12232,2.0,2.0,0.0
12234,2.0,3.0,1.0
12236,1.0,2.0,1.0
12237,1.0,4.0,3.0
12239,1.0,4.0,3.0
12240,3.0,2.0,-1.0
12246,3.0,4.0,1.0
12247,4.0,4.0,0.0
12248,1.0,4.0,3.0
12249,3.0,4.0,1.0
12250,1.0,4.0,3.0
12252,4.0,4.0,0.0
12253,2.0,2.0,0.0
12255,3.0,2.0,-1.0
12256,3.0,3.0,0.0
12258,2.0,4.0,2.0
12259,4.0,3.0,-1.0
12261,2.0,4.0,2.0
12262,1.0,2.0,1.0
12263,2.0,2.0,0.0
12265,2.0,3.0,1.0
12266,4.0,2.0,-2.0
12267,1.0,4.0,3.0
12269,4.0,3.0,-1.0
12273,1.0,1.0,0.0
12274,2.0,2.0,0.0
12275,1.0,2.0,1.0
12278,4.0,2.0,-2.0
12281,4.0,4.0,0.0
12283,2.0,4.0,2.0
12288,2.0,4.0,2.0
12289,2.0,2.0,0.0
12291,4.0,3.0,-1.0
12294,3.0,2.0,-1.0
12295,2.0,4.0,2.0
12296,3.0,2.0,-1.0
12298,2.0,2.0,0.0
12301,2.0,3.0,1.0
12303,3.0,4.0,1.0
12304,2.0,3.0,1.0
12305,1.0,2.0,1.0
12306,2.0,3.0,1.0
12307,1.0,4.0,3.0
12309,2.0,3.0,1.0
12313,1.0,4.0,3.0
12314,1.0,2.0,1.0
12319,2.0,2.0,0.0
12323,2.0,2.0,0.0
12324,1.0,2.0,1.0
12327,4.0,4.0,0.0
12329,3.0,4.0,1.0
12330,2.0,4.0,2.0
12331,1.0,2.0,1.0
12332,2.0,2.0,0.0
12333,3.0,2.0,-1.0
12336,1.0,1.0,0.0
12337,1.0,3.0,2.0
12340,1.0,3.0,2.0
12345,3.0,3.0,0.0
12346,4.0,4.0,0.0
12348,1.0,4.0,3.0
12349,2.0,3.0,1.0
12350,3.0,4.0,1.0
12911,2.0,2.0,0.0
12912,3.0,3.0,0.0
12913,2.0,4.0,2.0
12914,3.0,3.0,0.0
12916,1.0,2.0,1.0
12918,2.0,2.0,0.0
12920,2.0,2.0,0.0
12921,3.0,4.0,1.0
14146,4.0,4.0,0.0
14147,4.0,3.0,-1.0
14678,2.0,4.0,2.0
16080,3.0,2.0,-1.0
16081,2.0,4.0,2.0
16083,1.0,4.0,3.0
16085,2.0,3.0,1.0
16086,2.0,3.0,1.0
16850,2.0,1.0,-1.0
16852,1.0,3.0,2.0
17160,2.0,4.0,2.0
17162,1.0,4.0,3.0
17163,2.0,2.0,0.0
17294,3.0,2.0,-1.0
17295,2.0,3.0,1.0
17296,2.0,4.0,2.0
17623,2.0,2.0,0.0
18094,1.0,4.0,3.0
20041,2.0,4.0,2.0
20043,2.0,2.0,0.0
20049,2.0,3.0,1.0
20051,2.0,3.0,1.0
20054,2.0,3.0,1.0
20057,2.0,2.0,0.0
20058,1.0,2.0,1.0
20059,2.0,2.0,0.0
20571,2.0,3.0,1.0
20572,4.0,2.0,-2.0
20574,4.0,2.0,-2.0
21565,2.0,4.0,2.0
21835,1.0,2.0,1.0
21836,1.0,2.0,1.0
21837,4.0,4.0,0.0
21838,1.0,3.0,2.0
21839,1.0,2.0,1.0
21939,1.0,3.0,2.0
22657,2.0,3.0,1.0
22660,2.0,2.0,0.0
22854,4.0,4.0,0.0
23244,1.0,1.0,0.0
23389,2.0,3.0,1.0
23674,1.0,1.0,0.0
23726,4.0,3.0,-1.0
23937,3.0,4.0,1.0
24478,3.0,3.0,0.0
24882,2.0,4.0,2.0
24883,4.0,2.0,-2.0
24884,2.0,2.0,0.0
25056,1.0,2.0,1.0
25057,3.0,4.0,1.0
25298,2.0,2.0,0.0
25480,1.0,3.0,2.0
25718,4.0,2.0,-2.0
25927,4.0,2.0,-2.0
25928,1.0,2.0,1.0
26149,2.0,4.0,2.0
