,y_eval,y_pred,diff
2608,3.0,1.0,-2.0
2609,1.0,2.0,1.0
2617,1.0,4.0,3.0
2618,2.0,4.0,2.0
2623,1.0,2.0,1.0
2629,1.0,2.0,1.0
2650,3.0,4.0,1.0
2656,4.0,4.0,0.0
2657,4.0,4.0,0.0
2661,4.0,4.0,0.0
2664,4.0,4.0,0.0
2666,4.0,4.0,0.0
2672,4.0,4.0,0.0
2673,4.0,4.0,0.0
2675,3.0,3.0,0.0
2683,3.0,4.0,1.0
2685,3.0,3.0,0.0
2687,4.0,4.0,0.0
2690,2.0,4.0,2.0
2691,4.0,4.0,0.0
2692,2.0,2.0,0.0
2693,4.0,4.0,0.0
2696,4.0,4.0,0.0
2697,2.0,2.0,0.0
2707,2.0,3.0,1.0
2713,3.0,2.0,-1.0
2714,3.0,3.0,0.0
2721,1.0,2.0,1.0
2722,1.0,2.0,1.0
2725,2.0,4.0,2.0
2727,4.0,4.0,0.0
2730,3.0,4.0,1.0
2731,3.0,4.0,1.0
2733,3.0,2.0,-1.0
2755,1.0,3.0,2.0
2780,4.0,4.0,0.0
2786,1.0,3.0,2.0
2791,1.0,3.0,2.0
2812,1.0,3.0,2.0
2873,4.0,3.0,-1.0
2884,3.0,4.0,1.0
3066,3.0,3.0,0.0
3076,2.0,4.0,2.0
3646,3.0,2.0,-1.0
3653,3.0,3.0,0.0
3678,3.0,2.0,-1.0
3684,1.0,4.0,3.0
3707,3.0,3.0,0.0
3708,3.0,3.0,0.0
3859,3.0,4.0,1.0
3860,3.0,4.0,1.0
3861,3.0,4.0,1.0
3862,3.0,4.0,1.0
3864,4.0,4.0,0.0
3865,3.0,3.0,0.0
3866,3.0,4.0,1.0
3867,3.0,3.0,0.0
3868,3.0,4.0,1.0
3869,3.0,3.0,0.0
3871,1.0,3.0,2.0
3873,2.0,2.0,0.0
3875,1.0,2.0,1.0
3876,2.0,4.0,2.0
3877,3.0,4.0,1.0
3878,3.0,3.0,0.0
3881,1.0,3.0,2.0
3882,1.0,4.0,3.0
3884,4.0,3.0,-1.0
3885,2.0,3.0,1.0
3886,3.0,3.0,0.0
3890,4.0,4.0,0.0
3891,2.0,3.0,1.0
3893,3.0,4.0,1.0
3894,4.0,3.0,-1.0
3895,1.0,3.0,2.0
3896,1.0,3.0,2.0
3897,3.0,3.0,0.0
3899,1.0,3.0,2.0
3901,4.0,4.0,0.0
3903,4.0,4.0,0.0
3904,4.0,4.0,0.0
3906,4.0,4.0,0.0
3907,3.0,4.0,1.0
3908,3.0,4.0,1.0
3909,4.0,4.0,0.0
3910,3.0,4.0,1.0
3911,3.0,4.0,1.0
3914,2.0,3.0,1.0
3915,4.0,4.0,0.0
3916,2.0,2.0,0.0
3917,4.0,4.0,0.0
3918,1.0,3.0,2.0
3919,1.0,2.0,1.0
3920,3.0,3.0,0.0
3924,2.0,2.0,0.0
3925,1.0,1.0,0.0
3926,2.0,4.0,2.0
3928,4.0,4.0,0.0
3929,2.0,2.0,0.0
3930,4.0,3.0,-1.0
3931,2.0,4.0,2.0
3932,2.0,4.0,2.0
3934,2.0,4.0,2.0
3935,1.0,3.0,2.0
3936,2.0,3.0,1.0
3937,1.0,1.0,0.0
3938,4.0,4.0,0.0
3941,2.0,4.0,2.0
3942,2.0,2.0,0.0
3943,2.0,4.0,2.0
3944,3.0,4.0,1.0
3945,1.0,2.0,1.0
3948,2.0,2.0,0.0
3949,4.0,4.0,0.0
3950,3.0,4.0,1.0
3951,2.0,4.0,2.0
3952,3.0,3.0,0.0
3953,3.0,3.0,0.0
3954,4.0,4.0,0.0
3956,2.0,4.0,2.0
3957,4.0,4.0,0.0
3958,2.0,4.0,2.0
3960,3.0,4.0,1.0
3961,4.0,4.0,0.0
3962,3.0,3.0,0.0
3963,4.0,4.0,0.0
3965,2.0,4.0,2.0
3966,2.0,3.0,1.0
3967,2.0,3.0,1.0
3968,4.0,4.0,0.0
3971,1.0,4.0,3.0
