,y_eval,y_pred,diff
2600,1.0,3.0,2.0
2626,4.0,3.0,-1.0
2637,3.0,1.0,-2.0
2674,1.0,4.0,3.0
2684,3.0,3.0,0.0
2758,4.0,4.0,0.0
2834,4.0,4.0,0.0
2845,1.0,2.0,1.0
2847,4.0,3.0,-1.0
2880,3.0,4.0,1.0
3008,3.0,3.0,0.0
3024,3.0,3.0,0.0
3050,3.0,4.0,1.0
3063,3.0,4.0,1.0
3068,1.0,1.0,0.0
3659,1.0,3.0,2.0
3664,1.0,3.0,2.0
3666,1.0,2.0,1.0
3679,2.0,2.0,0.0
3695,3.0,3.0,0.0
3713,4.0,3.0,-1.0
3715,3.0,4.0,1.0
3719,3.0,3.0,0.0
4349,3.0,3.0,0.0
4367,1.0,4.0,3.0
4552,3.0,4.0,1.0
4577,3.0,3.0,0.0
4742,3.0,3.0,0.0
7110,1.0,3.0,2.0
7112,3.0,4.0,1.0
7113,1.0,3.0,2.0
7120,3.0,4.0,1.0
7121,3.0,3.0,0.0
7126,1.0,3.0,2.0
7127,3.0,2.0,-1.0
7129,4.0,2.0,-2.0
7131,3.0,3.0,0.0
7147,1.0,3.0,2.0
8966,4.0,4.0,0.0
8968,3.0,4.0,1.0
8969,2.0,4.0,2.0
8970,2.0,3.0,1.0
8971,4.0,4.0,0.0
8972,2.0,4.0,2.0
8974,2.0,4.0,2.0
8975,4.0,4.0,0.0
8977,3.0,2.0,-1.0
8980,2.0,4.0,2.0
8981,3.0,3.0,0.0
8982,3.0,4.0,1.0
8986,2.0,3.0,1.0
8988,1.0,3.0,2.0
8989,1.0,3.0,2.0
8990,1.0,3.0,2.0
8991,1.0,2.0,1.0
8992,4.0,2.0,-2.0
8993,4.0,4.0,0.0
8994,4.0,4.0,0.0
8995,1.0,2.0,1.0
8997,1.0,1.0,0.0
8998,2.0,2.0,0.0
8999,3.0,3.0,0.0
9000,1.0,4.0,3.0
9003,3.0,3.0,0.0
9006,4.0,2.0,-2.0
9007,2.0,4.0,2.0
9009,3.0,4.0,1.0
9010,4.0,4.0,0.0
9011,4.0,4.0,0.0
9013,3.0,3.0,0.0
9014,3.0,3.0,0.0
9015,2.0,2.0,0.0
9016,3.0,4.0,1.0
9020,4.0,3.0,-1.0
9021,1.0,2.0,1.0
9022,1.0,3.0,2.0
9023,4.0,4.0,0.0
9024,3.0,4.0,1.0
9025,1.0,2.0,1.0
9027,1.0,4.0,3.0
9028,3.0,2.0,-1.0
9029,4.0,4.0,0.0
9031,2.0,2.0,0.0
9032,4.0,4.0,0.0
