,y_eval,y_pred,diff
2912,3.0,4.0,1.0
7589,3.0,3.0,0.0
7731,2.0,3.0,1.0
8217,2.0,4.0,2.0
8218,3.0,2.0,-1.0
8219,2.0,1.0,-1.0
8221,2.0,3.0,1.0
8222,4.0,3.0,-1.0
8225,1.0,3.0,2.0
8226,4.0,3.0,-1.0
8227,3.0,4.0,1.0
8228,3.0,3.0,0.0
8229,4.0,2.0,-2.0
8230,3.0,3.0,0.0
8231,4.0,4.0,0.0
8232,1.0,3.0,2.0
8233,1.0,4.0,3.0
8234,1.0,1.0,0.0
8235,1.0,3.0,2.0
8236,3.0,3.0,0.0
8237,3.0,3.0,0.0
8238,2.0,3.0,1.0
8239,3.0,3.0,0.0
8240,4.0,4.0,0.0
8241,3.0,3.0,0.0
8242,3.0,3.0,0.0
8244,3.0,3.0,0.0
8245,4.0,3.0,-1.0
8246,2.0,1.0,-1.0
8247,3.0,3.0,0.0
8248,1.0,3.0,2.0
8249,3.0,4.0,1.0
8250,2.0,2.0,0.0
8251,4.0,3.0,-1.0
8252,3.0,3.0,0.0
8253,3.0,3.0,0.0
8254,4.0,2.0,-2.0
8255,2.0,3.0,1.0
8256,3.0,4.0,1.0
8258,3.0,3.0,0.0
8259,3.0,3.0,0.0
8260,4.0,4.0,0.0
8261,3.0,3.0,0.0
8262,3.0,3.0,0.0
8263,1.0,3.0,2.0
8264,3.0,4.0,1.0
8265,1.0,3.0,2.0
8266,1.0,3.0,2.0
8268,3.0,4.0,1.0
8269,2.0,3.0,1.0
8270,2.0,3.0,1.0
8271,4.0,4.0,0.0
8272,3.0,3.0,0.0
8273,3.0,3.0,0.0
8275,3.0,4.0,1.0
8276,1.0,3.0,2.0
8277,2.0,4.0,2.0
8278,3.0,3.0,0.0
8280,3.0,4.0,1.0
8281,2.0,3.0,1.0
8282,3.0,3.0,0.0
8283,3.0,2.0,-1.0
8284,2.0,4.0,2.0
8285,1.0,3.0,2.0
8286,4.0,4.0,0.0
8287,3.0,4.0,1.0
8289,1.0,4.0,3.0
8290,4.0,3.0,-1.0
8291,2.0,2.0,0.0
8292,2.0,3.0,1.0
8293,2.0,3.0,1.0
8294,4.0,1.0,-3.0
8295,1.0,3.0,2.0
8296,3.0,4.0,1.0
8297,3.0,4.0,1.0
8298,3.0,3.0,0.0
8299,3.0,3.0,0.0
8300,2.0,3.0,1.0
