,y_eval,y_pred,diff
2811,4.0,3.0,-1.0
2879,4.0,4.0,0.0
2891,2.0,2.0,0.0
2978,4.0,4.0,0.0
2987,4.0,4.0,0.0
3037,4.0,4.0,0.0
3103,4.0,4.0,0.0
6913,1.0,3.0,2.0
6915,2.0,4.0,2.0
6917,1.0,2.0,1.0
6919,1.0,1.0,0.0
6920,4.0,4.0,0.0
6921,4.0,4.0,0.0
6922,1.0,4.0,3.0
6924,3.0,3.0,0.0
6925,1.0,3.0,2.0
6926,3.0,4.0,1.0
6927,1.0,1.0,0.0
6928,4.0,4.0,0.0
6930,1.0,2.0,1.0
6932,4.0,4.0,0.0
6933,1.0,1.0,0.0
6934,4.0,4.0,0.0
6935,4.0,4.0,0.0
6936,1.0,4.0,3.0
6937,4.0,4.0,0.0
6938,1.0,3.0,2.0
6939,3.0,3.0,0.0
6940,2.0,4.0,2.0
6941,2.0,3.0,1.0
6942,4.0,3.0,-1.0
6943,1.0,1.0,0.0
6944,4.0,4.0,0.0
6945,4.0,4.0,0.0
6946,4.0,3.0,-1.0
6947,3.0,4.0,1.0
6948,4.0,4.0,0.0
6949,3.0,4.0,1.0
6950,4.0,4.0,0.0
6951,4.0,1.0,-3.0
6952,3.0,4.0,1.0
6953,3.0,4.0,1.0
6954,1.0,4.0,3.0
6955,1.0,1.0,0.0
6956,1.0,3.0,2.0
6957,3.0,4.0,1.0
6958,2.0,2.0,0.0
6959,2.0,2.0,0.0
6962,4.0,4.0,0.0
6963,4.0,4.0,0.0
6964,1.0,4.0,3.0
6965,3.0,4.0,1.0
6966,3.0,2.0,-1.0
6967,4.0,4.0,0.0
6968,4.0,4.0,0.0
6969,4.0,4.0,0.0
6970,3.0,4.0,1.0
6971,1.0,2.0,1.0
6972,2.0,4.0,2.0
6973,1.0,1.0,0.0
6974,4.0,4.0,0.0
6975,4.0,4.0,0.0
6978,3.0,4.0,1.0
6979,4.0,1.0,-3.0
6980,4.0,4.0,0.0
6981,3.0,4.0,1.0
6982,2.0,4.0,2.0
6984,1.0,3.0,2.0
6985,2.0,4.0,2.0
6986,2.0,3.0,1.0
6987,2.0,3.0,1.0
6988,4.0,4.0,0.0
6989,2.0,4.0,2.0
6990,1.0,4.0,3.0
6991,2.0,4.0,2.0
6992,2.0,1.0,-1.0
6993,4.0,4.0,0.0
6994,4.0,4.0,0.0
6996,1.0,3.0,2.0
6997,4.0,1.0,-3.0
6999,3.0,4.0,1.0
7000,1.0,1.0,0.0
7001,2.0,3.0,1.0
7002,3.0,4.0,1.0
7003,4.0,4.0,0.0
7005,1.0,3.0,2.0
7006,1.0,4.0,3.0
7007,2.0,1.0,-1.0
