,y_eval,y_pred,diff
2911,4.0,2.0,-2.0
7144,4.0,2.0,-2.0
9678,2.0,4.0,2.0
11495,2.0,4.0,2.0
11496,4.0,3.0,-1.0
11497,2.0,4.0,2.0
11498,1.0,3.0,2.0
11499,4.0,3.0,-1.0
11500,2.0,3.0,1.0
11501,3.0,2.0,-1.0
11502,4.0,4.0,0.0
11503,1.0,4.0,3.0
11504,2.0,3.0,1.0
11505,1.0,3.0,2.0
11506,4.0,3.0,-1.0
11507,2.0,3.0,1.0
11508,1.0,4.0,3.0
11509,2.0,4.0,2.0
11510,1.0,1.0,0.0
11511,1.0,2.0,1.0
11512,2.0,3.0,1.0
11513,2.0,3.0,1.0
11514,3.0,3.0,0.0
11515,3.0,4.0,1.0
11516,4.0,2.0,-2.0
11517,4.0,4.0,0.0
11518,4.0,3.0,-1.0
11519,1.0,1.0,0.0
11520,4.0,4.0,0.0
11521,3.0,1.0,-2.0
11522,3.0,3.0,0.0
11523,3.0,2.0,-1.0
11524,3.0,3.0,0.0
11525,3.0,2.0,-1.0
11526,3.0,4.0,1.0
11527,1.0,1.0,0.0
11528,4.0,3.0,-1.0
11529,1.0,2.0,1.0
11530,1.0,4.0,3.0
11531,2.0,4.0,2.0
11532,4.0,2.0,-2.0
11533,1.0,2.0,1.0
11534,4.0,4.0,0.0
11535,2.0,1.0,-1.0
11536,4.0,2.0,-2.0
11537,1.0,4.0,3.0
11538,1.0,4.0,3.0
11539,2.0,2.0,0.0
11541,3.0,4.0,1.0
11542,2.0,3.0,1.0
11543,3.0,4.0,1.0
11544,2.0,3.0,1.0
11545,3.0,2.0,-1.0
11547,2.0,3.0,1.0
11548,3.0,4.0,1.0
11549,2.0,4.0,2.0
11550,2.0,2.0,0.0
11551,1.0,2.0,1.0
11552,2.0,3.0,1.0
11553,1.0,3.0,2.0
11554,2.0,3.0,1.0
11555,2.0,2.0,0.0
11556,1.0,4.0,3.0
11558,1.0,4.0,3.0
11559,2.0,4.0,2.0
11560,2.0,2.0,0.0
11561,3.0,1.0,-2.0
11562,1.0,1.0,0.0
11563,4.0,4.0,0.0
11564,2.0,3.0,1.0
11565,1.0,3.0,2.0
11566,1.0,3.0,2.0
11567,1.0,2.0,1.0
11568,2.0,4.0,2.0
11569,4.0,4.0,0.0
11570,1.0,1.0,0.0
11571,4.0,4.0,0.0
11572,3.0,4.0,1.0
11573,3.0,3.0,0.0
11574,1.0,4.0,3.0
11575,2.0,2.0,0.0
11576,2.0,2.0,0.0
11577,1.0,4.0,3.0
11578,3.0,2.0,-1.0
11579,4.0,4.0,0.0
11580,2.0,1.0,-1.0
11581,3.0,2.0,-1.0
11582,4.0,2.0,-2.0
11583,1.0,3.0,2.0
11584,4.0,4.0,0.0
11585,2.0,2.0,0.0
11586,2.0,2.0,0.0
11587,4.0,4.0,0.0
11588,1.0,3.0,2.0
11589,4.0,4.0,0.0
11590,1.0,4.0,3.0
11591,2.0,4.0,2.0
11592,3.0,3.0,0.0
11593,3.0,3.0,0.0
11594,4.0,4.0,0.0
11595,1.0,1.0,0.0
11596,2.0,2.0,0.0
11597,3.0,4.0,1.0
11598,3.0,2.0,-1.0
11599,2.0,3.0,1.0
11601,4.0,4.0,0.0
11602,1.0,2.0,1.0
11603,4.0,4.0,0.0
11604,2.0,2.0,0.0
11605,4.0,1.0,-3.0
11606,2.0,4.0,2.0
11607,4.0,3.0,-1.0
11608,1.0,2.0,1.0
11609,2.0,2.0,0.0
11610,3.0,1.0,-2.0
11611,3.0,2.0,-1.0
11612,2.0,4.0,2.0
11613,2.0,4.0,2.0
11614,2.0,2.0,0.0
11615,4.0,3.0,-1.0
11616,4.0,4.0,0.0
11617,2.0,4.0,2.0
11618,3.0,3.0,0.0
11619,1.0,4.0,3.0
11620,1.0,3.0,2.0
11621,2.0,4.0,2.0
11622,3.0,3.0,0.0
11623,2.0,4.0,2.0
11624,2.0,3.0,1.0
11625,3.0,2.0,-1.0
11626,3.0,3.0,0.0
11627,1.0,2.0,1.0
11628,1.0,3.0,2.0
11629,2.0,2.0,0.0
11630,1.0,3.0,2.0
11631,3.0,3.0,0.0
11632,1.0,2.0,1.0
11633,2.0,2.0,0.0
11634,4.0,3.0,-1.0
11635,4.0,4.0,0.0
11636,3.0,4.0,1.0
11637,2.0,4.0,2.0
11638,4.0,4.0,0.0
11639,4.0,3.0,-1.0
11640,4.0,3.0,-1.0
11641,4.0,4.0,0.0
11642,3.0,4.0,1.0
11643,2.0,3.0,1.0
11644,3.0,3.0,0.0
11645,1.0,3.0,2.0
11646,2.0,3.0,1.0
11647,4.0,3.0,-1.0
11648,3.0,2.0,-1.0
11649,2.0,3.0,1.0
11650,1.0,2.0,1.0
11651,2.0,4.0,2.0
11652,3.0,3.0,0.0
11654,3.0,2.0,-1.0
11655,4.0,2.0,-2.0
11656,1.0,3.0,2.0
11657,1.0,4.0,3.0
11658,4.0,4.0,0.0
11659,4.0,3.0,-1.0
11660,1.0,2.0,1.0
11661,3.0,3.0,0.0
11662,3.0,3.0,0.0
11663,3.0,4.0,1.0
11665,1.0,2.0,1.0
11666,4.0,3.0,-1.0
11667,3.0,3.0,0.0
11668,3.0,1.0,-2.0
11669,1.0,3.0,2.0
11670,2.0,2.0,0.0
11671,2.0,2.0,0.0
11672,1.0,3.0,2.0
11673,4.0,4.0,0.0
11674,3.0,4.0,1.0
11675,1.0,2.0,1.0
11676,1.0,1.0,0.0
11677,2.0,1.0,-1.0
11678,4.0,4.0,0.0
11679,2.0,4.0,2.0
11680,1.0,2.0,1.0
11681,2.0,3.0,1.0
11682,4.0,3.0,-1.0
11683,2.0,2.0,0.0
11684,4.0,4.0,0.0
11685,4.0,3.0,-1.0
11686,4.0,3.0,-1.0
11687,3.0,3.0,0.0
11688,2.0,3.0,1.0
11689,4.0,4.0,0.0
11690,4.0,4.0,0.0
11691,2.0,4.0,2.0
11692,2.0,4.0,2.0
11693,1.0,4.0,3.0
11694,1.0,1.0,0.0
11695,1.0,2.0,1.0
11696,2.0,3.0,1.0
11697,2.0,3.0,1.0
11698,1.0,2.0,1.0
11699,2.0,3.0,1.0
11700,2.0,3.0,1.0
11701,3.0,1.0,-2.0
