,y_eval,y_pred,diff
2788,4.0,4.0,0.0
2820,4.0,4.0,0.0
2829,4.0,4.0,0.0
2844,4.0,4.0,0.0
2848,4.0,4.0,0.0
2885,3.0,4.0,1.0
2890,3.0,4.0,1.0
2950,4.0,4.0,0.0
2959,3.0,4.0,1.0
2980,4.0,4.0,0.0
2986,4.0,3.0,-1.0
2996,4.0,4.0,0.0
3009,3.0,4.0,1.0
3013,3.0,4.0,1.0
3023,4.0,4.0,0.0
3051,2.0,4.0,2.0
3086,4.0,4.0,0.0
3098,3.0,4.0,1.0
3104,4.0,3.0,-1.0
3110,3.0,4.0,1.0
3118,3.0,4.0,1.0
3122,4.0,4.0,0.0
7125,1.0,2.0,1.0
7508,3.0,3.0,0.0
7540,1.0,4.0,3.0
7542,4.0,3.0,-1.0
7588,1.0,4.0,3.0
7591,3.0,3.0,0.0
7602,4.0,3.0,-1.0
7629,3.0,4.0,1.0
7745,3.0,4.0,1.0
7746,4.0,4.0,0.0
8378,1.0,4.0,3.0
8379,1.0,4.0,3.0
8380,4.0,4.0,0.0
8381,4.0,3.0,-1.0
8382,1.0,1.0,0.0
8384,3.0,4.0,1.0
8385,3.0,4.0,1.0
8386,4.0,4.0,0.0
8388,1.0,2.0,1.0
8389,1.0,4.0,3.0
8391,4.0,3.0,-1.0
8392,3.0,4.0,1.0
8395,4.0,4.0,0.0
8397,1.0,2.0,1.0
8398,2.0,4.0,2.0
8399,1.0,1.0,0.0
8400,1.0,3.0,2.0
8402,3.0,3.0,0.0
8403,1.0,2.0,1.0
8404,2.0,4.0,2.0
8405,2.0,1.0,-1.0
8406,4.0,4.0,0.0
8407,2.0,3.0,1.0
8408,1.0,4.0,3.0
8409,2.0,2.0,0.0
8411,4.0,4.0,0.0
8412,4.0,4.0,0.0
8413,3.0,4.0,1.0
8414,3.0,3.0,0.0
8415,3.0,3.0,0.0
8416,2.0,4.0,2.0
8417,4.0,4.0,0.0
8418,1.0,2.0,1.0
8419,3.0,4.0,1.0
8421,4.0,4.0,0.0
8422,2.0,3.0,1.0
8423,4.0,4.0,0.0
8425,4.0,4.0,0.0
8426,3.0,4.0,1.0
8427,4.0,4.0,0.0
8428,2.0,4.0,2.0
8429,1.0,2.0,1.0
8430,1.0,2.0,1.0
8431,2.0,1.0,-1.0
8432,3.0,2.0,-1.0
8433,3.0,3.0,0.0
8434,3.0,4.0,1.0
8435,1.0,2.0,1.0
8436,3.0,4.0,1.0
8438,1.0,2.0,1.0
8439,4.0,4.0,0.0
8441,4.0,4.0,0.0
8442,4.0,3.0,-1.0
8443,1.0,2.0,1.0
8444,3.0,4.0,1.0
8445,3.0,3.0,0.0
8447,3.0,4.0,1.0
8448,4.0,4.0,0.0
8449,4.0,3.0,-1.0
8450,3.0,4.0,1.0
8451,1.0,4.0,3.0
8452,2.0,3.0,1.0
8454,4.0,4.0,0.0
8455,1.0,1.0,0.0
8456,1.0,2.0,1.0
8458,4.0,4.0,0.0
8459,4.0,3.0,-1.0
8460,4.0,4.0,0.0
8463,1.0,4.0,3.0
8464,1.0,2.0,1.0
8465,4.0,4.0,0.0
8466,4.0,4.0,0.0
8467,3.0,4.0,1.0
8468,3.0,4.0,1.0
8471,1.0,1.0,0.0
8472,1.0,2.0,1.0
8473,3.0,4.0,1.0
8474,2.0,2.0,0.0
8475,1.0,4.0,3.0
8476,3.0,2.0,-1.0
8478,1.0,3.0,2.0
8479,1.0,2.0,1.0
8480,3.0,4.0,1.0
8481,1.0,2.0,1.0
8482,4.0,4.0,0.0
8483,1.0,4.0,3.0
8484,1.0,1.0,0.0
8486,3.0,4.0,1.0
8487,2.0,4.0,2.0
8488,3.0,4.0,1.0
8489,4.0,4.0,0.0
8491,2.0,3.0,1.0
8492,1.0,4.0,3.0
8493,3.0,4.0,1.0
8494,3.0,4.0,1.0
8495,3.0,3.0,0.0
8496,1.0,3.0,2.0
8498,4.0,4.0,0.0
8499,1.0,1.0,0.0
8500,3.0,4.0,1.0
8502,4.0,4.0,0.0
8503,1.0,1.0,0.0
8506,1.0,4.0,3.0
8508,1.0,2.0,1.0
8510,1.0,1.0,0.0
8511,4.0,4.0,0.0
8512,3.0,2.0,-1.0
8513,4.0,4.0,0.0
8514,1.0,2.0,1.0
8515,3.0,4.0,1.0
8516,1.0,2.0,1.0
8517,3.0,3.0,0.0
8518,1.0,3.0,2.0
8520,1.0,2.0,1.0
8521,2.0,4.0,2.0
8522,1.0,4.0,3.0
8524,4.0,4.0,0.0
8525,3.0,4.0,1.0
8526,1.0,2.0,1.0
8527,2.0,1.0,-1.0
8528,3.0,4.0,1.0
8529,2.0,2.0,0.0
8530,4.0,4.0,0.0
8531,4.0,4.0,0.0
8534,4.0,4.0,0.0
8535,2.0,4.0,2.0
8536,1.0,1.0,0.0
8537,3.0,3.0,0.0
8538,3.0,2.0,-1.0
8539,4.0,4.0,0.0
8540,4.0,4.0,0.0
8541,1.0,1.0,0.0
8542,3.0,4.0,1.0
8543,3.0,4.0,1.0
8544,1.0,1.0,0.0
8547,1.0,2.0,1.0
8548,1.0,3.0,2.0
8550,1.0,4.0,3.0
8551,3.0,4.0,1.0
8552,2.0,4.0,2.0
8553,4.0,4.0,0.0
8554,4.0,4.0,0.0
8555,3.0,3.0,0.0
8556,3.0,4.0,1.0
8557,3.0,4.0,1.0
8558,2.0,2.0,0.0
8559,1.0,3.0,2.0
8560,1.0,3.0,2.0
8561,4.0,4.0,0.0
8562,3.0,3.0,0.0
8563,2.0,2.0,0.0
8564,1.0,2.0,1.0
8566,4.0,4.0,0.0
8568,3.0,4.0,1.0
8569,4.0,4.0,0.0
8570,1.0,4.0,3.0
8571,3.0,4.0,1.0
8572,4.0,4.0,0.0
8573,3.0,4.0,1.0
8574,2.0,2.0,0.0
8575,3.0,4.0,1.0
8576,3.0,3.0,0.0
8577,2.0,4.0,2.0
8579,1.0,2.0,1.0
8580,3.0,4.0,1.0
8581,2.0,4.0,2.0
8582,2.0,2.0,0.0
8583,3.0,3.0,0.0
8585,2.0,2.0,0.0
8586,4.0,4.0,0.0
8587,1.0,2.0,1.0
8589,4.0,4.0,0.0
8590,1.0,2.0,1.0
8592,4.0,4.0,0.0
8593,4.0,4.0,0.0
8594,4.0,4.0,0.0
8595,4.0,4.0,0.0
8596,4.0,4.0,0.0
8597,3.0,3.0,0.0
8598,4.0,4.0,0.0
8599,3.0,3.0,0.0
8600,4.0,3.0,-1.0
8601,4.0,4.0,0.0
8603,1.0,4.0,3.0
8604,1.0,2.0,1.0
8605,1.0,4.0,3.0
8606,4.0,2.0,-2.0
8607,1.0,1.0,0.0
8608,1.0,1.0,0.0
8609,3.0,3.0,0.0
8611,2.0,4.0,2.0
8612,3.0,4.0,1.0
8613,4.0,3.0,-1.0
8614,3.0,4.0,1.0
8617,3.0,4.0,1.0
8618,4.0,4.0,0.0
8619,1.0,2.0,1.0
8620,4.0,4.0,0.0
8621,1.0,2.0,1.0
8622,2.0,3.0,1.0
8623,4.0,4.0,0.0
8624,3.0,3.0,0.0
8625,3.0,3.0,0.0
8627,3.0,3.0,0.0
8628,4.0,3.0,-1.0
8629,1.0,4.0,3.0
8630,1.0,2.0,1.0
8631,1.0,2.0,1.0
8634,2.0,2.0,0.0
8636,4.0,4.0,0.0
8637,4.0,4.0,0.0
8638,1.0,2.0,1.0
8639,2.0,3.0,1.0
8640,4.0,3.0,-1.0
8641,3.0,4.0,1.0
8642,1.0,4.0,3.0
8644,4.0,4.0,0.0
8646,2.0,4.0,2.0
8647,2.0,4.0,2.0
8648,1.0,4.0,3.0
8649,4.0,4.0,0.0
8650,1.0,2.0,1.0
8651,4.0,3.0,-1.0
8652,3.0,3.0,0.0
8653,4.0,4.0,0.0
8654,2.0,1.0,-1.0
8655,2.0,3.0,1.0
8656,3.0,3.0,0.0
8657,1.0,1.0,0.0
