,y_eval,y_pred,diff
1063,1.0,4.0,3.0
2792,1.0,3.0,2.0
2797,1.0,4.0,3.0
2803,4.0,4.0,0.0
2808,4.0,4.0,0.0
2823,4.0,4.0,0.0
2826,4.0,4.0,0.0
2827,1.0,4.0,3.0
2850,3.0,3.0,0.0
2854,1.0,2.0,1.0
2858,4.0,4.0,0.0
2872,1.0,2.0,1.0
2875,3.0,2.0,-1.0
2886,1.0,2.0,1.0
2892,4.0,4.0,0.0
2896,4.0,3.0,-1.0
2901,4.0,3.0,-1.0
2914,4.0,4.0,0.0
2926,1.0,4.0,3.0
2928,1.0,2.0,1.0
2939,1.0,4.0,3.0
2947,4.0,4.0,0.0
2948,4.0,4.0,0.0
2951,1.0,2.0,1.0
2958,3.0,4.0,1.0
2961,1.0,2.0,1.0
2963,1.0,3.0,2.0
2965,3.0,3.0,0.0
2967,4.0,4.0,0.0
2977,3.0,3.0,0.0
2991,4.0,3.0,-1.0
2994,3.0,4.0,1.0
3003,1.0,1.0,0.0
3007,1.0,3.0,2.0
3022,1.0,2.0,1.0
3059,1.0,3.0,2.0
3067,4.0,4.0,0.0
3074,1.0,3.0,2.0
3096,1.0,3.0,2.0
3117,3.0,4.0,1.0
3127,1.0,3.0,2.0
7507,1.0,4.0,3.0
7509,1.0,4.0,3.0
7512,3.0,4.0,1.0
7513,4.0,4.0,0.0
7515,1.0,4.0,3.0
7516,3.0,4.0,1.0
7517,4.0,4.0,0.0
7518,4.0,4.0,0.0
7519,1.0,1.0,0.0
7520,1.0,4.0,3.0
7521,1.0,1.0,0.0
7522,1.0,4.0,3.0
7523,1.0,4.0,3.0
7528,4.0,4.0,0.0
7530,1.0,4.0,3.0
7531,3.0,4.0,1.0
7532,4.0,4.0,0.0
7533,1.0,4.0,3.0
7534,4.0,4.0,0.0
7535,1.0,4.0,3.0
7537,1.0,3.0,2.0
7543,1.0,3.0,2.0
7544,1.0,1.0,0.0
7545,1.0,4.0,3.0
7546,3.0,4.0,1.0
7547,1.0,4.0,3.0
7548,1.0,3.0,2.0
7550,2.0,1.0,-1.0
7551,4.0,4.0,0.0
7552,4.0,4.0,0.0
7553,1.0,1.0,0.0
7554,3.0,4.0,1.0
7556,4.0,4.0,0.0
7558,4.0,4.0,0.0
7559,3.0,4.0,1.0
7560,3.0,4.0,1.0
7561,3.0,4.0,1.0
7563,1.0,4.0,3.0
7565,1.0,4.0,3.0
7566,1.0,4.0,3.0
7567,3.0,4.0,1.0
7569,4.0,4.0,0.0
7570,4.0,4.0,0.0
7572,1.0,4.0,3.0
7573,1.0,4.0,3.0
7574,3.0,4.0,1.0
7575,1.0,4.0,3.0
7576,1.0,4.0,3.0
7578,1.0,4.0,3.0
7582,1.0,4.0,3.0
7583,4.0,4.0,0.0
7584,3.0,4.0,1.0
7586,3.0,4.0,1.0
7587,1.0,4.0,3.0
7590,4.0,4.0,0.0
7592,1.0,4.0,3.0
7593,1.0,3.0,2.0
7595,4.0,4.0,0.0
7596,3.0,4.0,1.0
7597,1.0,4.0,3.0
7598,4.0,4.0,0.0
7599,3.0,4.0,1.0
7600,1.0,4.0,3.0
7601,1.0,4.0,3.0
7604,1.0,4.0,3.0
7605,4.0,4.0,0.0
7607,4.0,4.0,0.0
7608,1.0,4.0,3.0
7609,1.0,4.0,3.0
7611,3.0,4.0,1.0
7612,3.0,4.0,1.0
7613,3.0,4.0,1.0
7614,1.0,4.0,3.0
7615,1.0,4.0,3.0
7616,3.0,4.0,1.0
7618,3.0,4.0,1.0
7621,1.0,4.0,3.0
7622,3.0,4.0,1.0
7625,1.0,4.0,3.0
7627,4.0,4.0,0.0
7628,4.0,4.0,0.0
7631,1.0,1.0,0.0
7632,1.0,4.0,3.0
7633,1.0,4.0,3.0
7635,3.0,4.0,1.0
7636,3.0,4.0,1.0
7638,3.0,4.0,1.0
7640,2.0,4.0,2.0
7642,1.0,4.0,3.0
7644,1.0,4.0,3.0
7645,4.0,4.0,0.0
7646,1.0,4.0,3.0
7647,4.0,4.0,0.0
7648,4.0,4.0,0.0
7649,2.0,4.0,2.0
7650,1.0,4.0,3.0
7652,3.0,4.0,1.0
7654,3.0,4.0,1.0
7655,3.0,4.0,1.0
7656,4.0,4.0,0.0
7657,3.0,4.0,1.0
7658,1.0,4.0,3.0
7659,3.0,4.0,1.0
7660,1.0,4.0,3.0
7661,4.0,4.0,0.0
7662,1.0,4.0,3.0
7663,4.0,4.0,0.0
7664,3.0,3.0,0.0
7665,1.0,4.0,3.0
7668,3.0,4.0,1.0
7669,4.0,4.0,0.0
7671,1.0,4.0,3.0
7672,4.0,4.0,0.0
7674,1.0,4.0,3.0
7675,1.0,4.0,3.0
7676,1.0,4.0,3.0
7678,3.0,4.0,1.0
7679,3.0,4.0,1.0
7680,1.0,4.0,3.0
7681,4.0,4.0,0.0
7682,1.0,4.0,3.0
7683,1.0,4.0,3.0
7684,1.0,4.0,3.0
7687,1.0,4.0,3.0
7688,4.0,4.0,0.0
7689,1.0,3.0,2.0
7690,4.0,4.0,0.0
7691,4.0,4.0,0.0
7693,1.0,4.0,3.0
7694,1.0,4.0,3.0
7695,1.0,4.0,3.0
7696,1.0,4.0,3.0
7699,3.0,1.0,-2.0
7700,3.0,1.0,-2.0
7701,3.0,4.0,1.0
7702,3.0,1.0,-2.0
7703,4.0,4.0,0.0
7704,4.0,1.0,-3.0
7705,3.0,4.0,1.0
7706,3.0,1.0,-2.0
7707,1.0,4.0,3.0
7708,1.0,1.0,0.0
7709,1.0,4.0,3.0
7710,1.0,4.0,3.0
7711,1.0,3.0,2.0
7713,1.0,4.0,3.0
7714,3.0,4.0,1.0
7715,1.0,4.0,3.0
7716,3.0,4.0,1.0
7719,3.0,4.0,1.0
7721,3.0,1.0,-2.0
7724,4.0,4.0,0.0
7725,3.0,4.0,1.0
7727,1.0,4.0,3.0
7728,1.0,4.0,3.0
7732,4.0,4.0,0.0
7735,1.0,4.0,3.0
7736,1.0,4.0,3.0
7737,3.0,4.0,1.0
7738,4.0,4.0,0.0
7740,3.0,4.0,1.0
7744,1.0,4.0,3.0
7747,1.0,4.0,3.0
7749,3.0,4.0,1.0
7751,4.0,4.0,0.0
7752,1.0,4.0,3.0
