,y_eval,y_pred,diff
2606,2.0,4.0,2.0
2619,4.0,4.0,0.0
2634,2.0,4.0,2.0
2647,1.0,4.0,3.0
2655,1.0,3.0,2.0
2669,4.0,4.0,0.0
2670,2.0,4.0,2.0
2698,1.0,2.0,1.0
2711,4.0,2.0,-2.0
2741,4.0,4.0,0.0
2750,4.0,2.0,-2.0
2753,1.0,2.0,1.0
2769,2.0,3.0,1.0
2774,2.0,4.0,2.0
2805,4.0,2.0,-2.0
2807,2.0,3.0,1.0
2836,4.0,4.0,0.0
2840,1.0,4.0,3.0
2852,1.0,2.0,1.0
2887,2.0,2.0,0.0
2888,1.0,1.0,0.0
2918,4.0,3.0,-1.0
2920,2.0,2.0,0.0
2930,1.0,4.0,3.0
2938,4.0,4.0,0.0
2944,1.0,2.0,1.0
2955,1.0,2.0,1.0
2957,4.0,3.0,-1.0
2973,4.0,3.0,-1.0
2989,1.0,3.0,2.0
3093,1.0,3.0,2.0
3102,2.0,4.0,2.0
3115,4.0,1.0,-3.0
3125,2.0,3.0,1.0
3143,4.0,4.0,0.0
3144,4.0,3.0,-1.0
3145,1.0,2.0,1.0
3146,4.0,2.0,-2.0
3147,3.0,3.0,0.0
3148,1.0,1.0,0.0
3149,2.0,3.0,1.0
3150,2.0,3.0,1.0
3151,4.0,1.0,-3.0
3152,2.0,1.0,-1.0
3153,2.0,1.0,-1.0
3154,2.0,2.0,0.0
3157,4.0,4.0,0.0
3158,3.0,4.0,1.0
3159,2.0,4.0,2.0
3160,4.0,4.0,0.0
3161,4.0,1.0,-3.0
3165,2.0,1.0,-1.0
3166,4.0,3.0,-1.0
3167,1.0,2.0,1.0
3168,1.0,3.0,2.0
3170,4.0,4.0,0.0
3171,1.0,2.0,1.0
3172,1.0,2.0,1.0
3173,1.0,2.0,1.0
3175,2.0,2.0,0.0
3177,2.0,3.0,1.0
3180,2.0,2.0,0.0
3181,2.0,3.0,1.0
3182,1.0,2.0,1.0
3183,1.0,3.0,2.0
3184,1.0,2.0,1.0
3185,4.0,4.0,0.0
3186,1.0,2.0,1.0
3187,2.0,2.0,0.0
3188,2.0,3.0,1.0
3189,2.0,1.0,-1.0
3190,1.0,2.0,1.0
3191,1.0,4.0,3.0
3192,1.0,2.0,1.0
3193,1.0,3.0,2.0
3194,1.0,1.0,0.0
3196,4.0,4.0,0.0
3197,4.0,3.0,-1.0
3198,4.0,1.0,-3.0
3199,2.0,4.0,2.0
3200,1.0,1.0,0.0
3201,2.0,1.0,-1.0
3202,2.0,3.0,1.0
