,y_eval,y_pred,diff
2616,1.0,2.0,1.0
2648,1.0,3.0,2.0
2662,2.0,3.0,1.0
2771,4.0,4.0,0.0
2800,2.0,4.0,2.0
2862,1.0,2.0,1.0
2881,4.0,4.0,0.0
2882,2.0,2.0,0.0
2904,1.0,2.0,1.0
2931,1.0,2.0,1.0
2960,1.0,2.0,1.0
2981,3.0,3.0,0.0
2983,4.0,4.0,0.0
2995,1.0,2.0,1.0
3019,1.0,2.0,1.0
3039,3.0,1.0,-2.0
3109,2.0,4.0,2.0
3112,4.0,3.0,-1.0
3124,3.0,3.0,0.0
3136,4.0,4.0,0.0
3141,2.0,4.0,2.0
3702,2.0,2.0,0.0
3706,2.0,4.0,2.0
7109,2.0,2.0,0.0
7114,3.0,2.0,-1.0
7115,1.0,4.0,3.0
7869,1.0,2.0,1.0
7870,2.0,2.0,0.0
7871,4.0,4.0,0.0
7872,4.0,3.0,-1.0
7873,3.0,3.0,0.0
7874,4.0,2.0,-2.0
7875,4.0,4.0,0.0
7876,2.0,2.0,0.0
7877,1.0,2.0,1.0
7878,3.0,3.0,0.0
7879,3.0,3.0,0.0
7880,1.0,2.0,1.0
7881,4.0,3.0,-1.0
7882,1.0,1.0,0.0
7883,3.0,4.0,1.0
7884,1.0,2.0,1.0
7885,1.0,2.0,1.0
7886,2.0,3.0,1.0
7887,3.0,3.0,0.0
7888,2.0,2.0,0.0
7889,3.0,3.0,0.0
7890,1.0,2.0,1.0
7892,3.0,4.0,1.0
7893,4.0,4.0,0.0
7894,2.0,2.0,0.0
7895,1.0,3.0,2.0
7896,3.0,3.0,0.0
7897,2.0,3.0,1.0
7898,1.0,2.0,1.0
7899,1.0,2.0,1.0
7900,3.0,3.0,0.0
7901,2.0,2.0,0.0
7902,2.0,3.0,1.0
7903,1.0,2.0,1.0
7904,4.0,3.0,-1.0
7905,4.0,3.0,-1.0
7906,2.0,2.0,0.0
7908,1.0,2.0,1.0
7909,1.0,3.0,2.0
7910,2.0,3.0,1.0
7911,3.0,3.0,0.0
7912,3.0,3.0,0.0
7913,3.0,3.0,0.0
7914,4.0,4.0,0.0
7915,3.0,4.0,1.0
7916,2.0,2.0,0.0
7917,1.0,3.0,2.0
7918,4.0,3.0,-1.0
7919,2.0,2.0,0.0
7920,1.0,2.0,1.0
7921,2.0,2.0,0.0
7922,4.0,3.0,-1.0
7923,2.0,2.0,0.0
7924,4.0,4.0,0.0
7925,3.0,3.0,0.0
7926,4.0,2.0,-2.0
7927,2.0,3.0,1.0
7929,3.0,3.0,0.0
7930,4.0,4.0,0.0
7931,3.0,2.0,-1.0
7932,1.0,2.0,1.0
7933,1.0,4.0,3.0
7934,1.0,3.0,2.0
7935,1.0,1.0,0.0
7936,3.0,4.0,1.0
7937,2.0,2.0,0.0
7938,2.0,2.0,0.0
7939,2.0,3.0,1.0
7940,4.0,4.0,0.0
7941,1.0,2.0,1.0
7942,1.0,2.0,1.0
7943,1.0,2.0,1.0
7944,3.0,3.0,0.0
7945,3.0,3.0,0.0
7946,1.0,2.0,1.0
7947,3.0,3.0,0.0
7948,1.0,2.0,1.0
7949,3.0,2.0,-1.0
7950,3.0,4.0,1.0
7951,1.0,3.0,2.0
7952,3.0,3.0,0.0
7953,3.0,2.0,-1.0
7954,3.0,3.0,0.0
7955,3.0,3.0,0.0
7956,3.0,3.0,0.0
7957,2.0,4.0,2.0
7958,3.0,3.0,0.0
7959,3.0,3.0,0.0
7960,4.0,4.0,0.0
7961,3.0,1.0,-2.0
7962,4.0,3.0,-1.0
7963,3.0,3.0,0.0
7964,2.0,2.0,0.0
7965,3.0,3.0,0.0
7966,2.0,3.0,1.0
7967,2.0,2.0,0.0
7968,3.0,3.0,0.0
7969,3.0,3.0,0.0
7971,4.0,3.0,-1.0
7972,3.0,3.0,0.0
7974,2.0,3.0,1.0
7975,3.0,3.0,0.0
7976,2.0,3.0,1.0
7978,2.0,3.0,1.0
7979,2.0,3.0,1.0
7980,1.0,3.0,2.0
7981,3.0,3.0,0.0
7982,2.0,2.0,0.0
7983,2.0,3.0,1.0
7984,2.0,2.0,0.0
7985,4.0,2.0,-2.0
7986,3.0,3.0,0.0
7987,2.0,4.0,2.0
7988,4.0,3.0,-1.0
7989,4.0,3.0,-1.0
7990,3.0,2.0,-1.0
7991,3.0,3.0,0.0
7992,4.0,4.0,0.0
7995,4.0,3.0,-1.0
7996,2.0,1.0,-1.0
7997,3.0,1.0,-2.0
7998,1.0,1.0,0.0
7999,4.0,3.0,-1.0
8000,3.0,2.0,-1.0
8001,1.0,2.0,1.0
8002,2.0,3.0,1.0
8003,2.0,3.0,1.0
8004,2.0,2.0,0.0
8005,2.0,2.0,0.0
8006,1.0,3.0,2.0
8007,2.0,2.0,0.0
8008,3.0,3.0,0.0
8009,4.0,4.0,0.0
8010,2.0,2.0,0.0
8011,3.0,3.0,0.0
8012,3.0,3.0,0.0
8013,1.0,2.0,1.0
8014,1.0,3.0,2.0
8016,4.0,3.0,-1.0
8017,1.0,2.0,1.0
8018,3.0,3.0,0.0
8019,3.0,3.0,0.0
8020,2.0,2.0,0.0
8021,3.0,3.0,0.0
8022,1.0,1.0,0.0
8023,4.0,4.0,0.0
8024,3.0,4.0,1.0
8025,4.0,4.0,0.0
8026,4.0,3.0,-1.0
8027,1.0,4.0,3.0
8028,4.0,4.0,0.0
8029,4.0,4.0,0.0
8030,2.0,4.0,2.0
8032,2.0,3.0,1.0
8033,1.0,2.0,1.0
8034,2.0,2.0,0.0
8035,1.0,2.0,1.0
8036,3.0,3.0,0.0
8037,3.0,2.0,-1.0
8038,2.0,3.0,1.0
8039,2.0,3.0,1.0
8040,3.0,1.0,-2.0
8041,2.0,3.0,1.0
8042,3.0,3.0,0.0
8043,3.0,3.0,0.0
8044,3.0,2.0,-1.0
8045,4.0,4.0,0.0
8046,1.0,2.0,1.0
8047,1.0,3.0,2.0
8048,2.0,3.0,1.0
8049,1.0,1.0,0.0
8050,4.0,4.0,0.0
8051,4.0,3.0,-1.0
8052,4.0,3.0,-1.0
8053,1.0,2.0,1.0
8054,2.0,4.0,2.0
8056,3.0,3.0,0.0
8057,2.0,3.0,1.0
8058,3.0,4.0,1.0
8059,2.0,3.0,1.0
8060,4.0,4.0,0.0
8061,3.0,3.0,0.0
8062,1.0,2.0,1.0
8063,2.0,3.0,1.0
8064,1.0,1.0,0.0
8065,1.0,3.0,2.0
8066,3.0,3.0,0.0
8067,3.0,3.0,0.0
8068,3.0,3.0,0.0
8069,1.0,2.0,1.0
8070,2.0,3.0,1.0
8071,3.0,2.0,-1.0
8072,2.0,2.0,0.0
8073,1.0,2.0,1.0
8074,3.0,2.0,-1.0
8075,3.0,3.0,0.0
8076,1.0,2.0,1.0
8077,4.0,3.0,-1.0
8079,3.0,3.0,0.0
8080,3.0,4.0,1.0
8081,4.0,3.0,-1.0
8082,3.0,3.0,0.0
8084,2.0,3.0,1.0
8085,3.0,3.0,0.0
8086,4.0,4.0,0.0
8087,2.0,3.0,1.0
8088,3.0,4.0,1.0
8089,2.0,3.0,1.0
8090,2.0,2.0,0.0
8091,1.0,3.0,2.0
8092,4.0,3.0,-1.0
8093,2.0,3.0,1.0
8094,4.0,4.0,0.0
8096,2.0,2.0,0.0
8097,1.0,2.0,1.0
8098,3.0,3.0,0.0
8099,3.0,3.0,0.0
8100,2.0,2.0,0.0
8101,3.0,1.0,-2.0
8102,2.0,3.0,1.0
8103,2.0,2.0,0.0
8104,2.0,2.0,0.0
8105,2.0,3.0,1.0
8106,2.0,2.0,0.0
8107,4.0,4.0,0.0
8108,1.0,4.0,3.0
8109,3.0,3.0,0.0
8110,2.0,4.0,2.0
8111,2.0,2.0,0.0
8112,3.0,3.0,0.0
8113,1.0,2.0,1.0
8114,2.0,4.0,2.0
8115,3.0,3.0,0.0
8116,1.0,4.0,3.0
8117,1.0,4.0,3.0
8118,2.0,2.0,0.0
8119,3.0,2.0,-1.0
8120,1.0,4.0,3.0
8121,2.0,3.0,1.0
8122,2.0,3.0,1.0
8123,3.0,3.0,0.0
8124,3.0,4.0,1.0
8125,1.0,2.0,1.0
8126,3.0,3.0,0.0
8127,2.0,3.0,1.0
8128,2.0,3.0,1.0
8129,3.0,3.0,0.0
8131,2.0,2.0,0.0
8132,3.0,4.0,1.0
8133,3.0,3.0,0.0
8134,2.0,3.0,1.0
8135,3.0,3.0,0.0
8136,3.0,3.0,0.0
8137,4.0,3.0,-1.0
8138,1.0,2.0,1.0
8139,4.0,3.0,-1.0
8140,4.0,2.0,-2.0
8141,3.0,3.0,0.0
8143,1.0,2.0,1.0
8144,2.0,4.0,2.0
8145,3.0,2.0,-1.0
8146,1.0,2.0,1.0
8147,1.0,2.0,1.0
8148,4.0,4.0,0.0
8149,3.0,3.0,0.0
8150,3.0,2.0,-1.0
8151,2.0,2.0,0.0
8152,1.0,2.0,1.0
8153,2.0,3.0,1.0
8154,4.0,4.0,0.0
8155,2.0,3.0,1.0
8156,1.0,3.0,2.0
8157,1.0,2.0,1.0
8158,4.0,4.0,0.0
8159,2.0,2.0,0.0
8160,2.0,2.0,0.0
8161,1.0,4.0,3.0
8162,2.0,2.0,0.0
8163,3.0,3.0,0.0
8164,2.0,4.0,2.0
8166,3.0,4.0,1.0
8167,2.0,3.0,1.0
8168,3.0,3.0,0.0
8170,2.0,2.0,0.0
8171,1.0,3.0,2.0
8172,3.0,3.0,0.0
8173,3.0,3.0,0.0
8174,3.0,3.0,0.0
8175,4.0,3.0,-1.0
8176,3.0,3.0,0.0
8177,1.0,1.0,0.0
8178,2.0,2.0,0.0
8179,4.0,3.0,-1.0
13107,3.0,3.0,0.0
13109,2.0,3.0,1.0
13111,3.0,3.0,0.0
13200,3.0,3.0,0.0
13201,1.0,3.0,2.0
13202,3.0,3.0,0.0
13203,1.0,3.0,2.0
13204,3.0,3.0,0.0
13205,2.0,2.0,0.0
13206,2.0,3.0,1.0
13207,3.0,3.0,0.0
14617,1.0,3.0,2.0
14618,3.0,2.0,-1.0
14619,2.0,2.0,0.0
14620,4.0,2.0,-2.0
14621,2.0,3.0,1.0
14624,1.0,3.0,2.0
14625,1.0,2.0,1.0
15611,4.0,2.0,-2.0
15612,3.0,2.0,-1.0
15613,1.0,3.0,2.0
15614,1.0,4.0,3.0
15914,3.0,1.0,-2.0
15916,2.0,2.0,0.0
15918,1.0,3.0,2.0
15919,2.0,2.0,0.0
15920,2.0,3.0,1.0
15921,3.0,3.0,0.0
15922,2.0,3.0,1.0
15923,2.0,3.0,1.0
15924,1.0,2.0,1.0
15925,3.0,3.0,0.0
15926,1.0,3.0,2.0
15927,2.0,2.0,0.0
15928,2.0,3.0,1.0
15929,2.0,3.0,1.0
15930,1.0,2.0,1.0
15931,1.0,2.0,1.0
15932,3.0,2.0,-1.0
16154,2.0,3.0,1.0
16328,2.0,3.0,1.0
16943,2.0,3.0,1.0
16944,4.0,4.0,0.0
16945,1.0,2.0,1.0
16946,2.0,3.0,1.0
16947,1.0,4.0,3.0
17093,2.0,2.0,0.0
17094,2.0,3.0,1.0
17095,3.0,2.0,-1.0
17096,2.0,2.0,0.0
17097,1.0,4.0,3.0
17098,2.0,2.0,0.0
17589,2.0,3.0,1.0
17590,3.0,3.0,0.0
17777,2.0,2.0,0.0
17778,3.0,3.0,0.0
18067,2.0,2.0,0.0
19132,3.0,3.0,0.0
19144,4.0,2.0,-2.0
20351,2.0,2.0,0.0
20352,1.0,2.0,1.0
20353,2.0,3.0,1.0
20354,2.0,3.0,1.0
20355,1.0,1.0,0.0
20356,1.0,3.0,2.0
20357,1.0,3.0,2.0
20358,1.0,2.0,1.0
20359,3.0,3.0,0.0
20360,3.0,2.0,-1.0
20361,3.0,1.0,-2.0
20362,2.0,3.0,1.0
20363,2.0,2.0,0.0
20364,3.0,2.0,-1.0
20365,1.0,2.0,1.0
20366,4.0,3.0,-1.0
20368,2.0,2.0,0.0
20369,3.0,3.0,0.0
20370,2.0,3.0,1.0
20371,1.0,2.0,1.0
20372,2.0,2.0,0.0
20373,2.0,3.0,1.0
20374,3.0,3.0,0.0
20376,2.0,1.0,-1.0
20377,2.0,2.0,0.0
20378,1.0,2.0,1.0
20379,3.0,2.0,-1.0
20380,2.0,2.0,0.0
20381,3.0,2.0,-1.0
20382,1.0,2.0,1.0
20723,1.0,2.0,1.0
20724,2.0,3.0,1.0
20740,2.0,2.0,0.0
20741,4.0,4.0,0.0
20742,2.0,2.0,0.0
20743,1.0,2.0,1.0
20744,2.0,2.0,0.0
20745,2.0,3.0,1.0
21174,2.0,3.0,1.0
21176,1.0,3.0,2.0
21177,2.0,3.0,1.0
21509,4.0,3.0,-1.0
21510,2.0,2.0,0.0
21511,2.0,3.0,1.0
21513,1.0,4.0,3.0
22058,4.0,2.0,-2.0
22059,3.0,2.0,-1.0
22060,3.0,3.0,0.0
22138,4.0,2.0,-2.0
22139,1.0,2.0,1.0
22650,1.0,2.0,1.0
22652,2.0,3.0,1.0
22653,2.0,2.0,0.0
22654,2.0,3.0,1.0
22655,2.0,2.0,0.0
22848,1.0,1.0,0.0
22849,1.0,3.0,2.0
22997,2.0,2.0,0.0
23250,2.0,2.0,0.0
23722,2.0,2.0,0.0
24169,1.0,3.0,2.0
24170,2.0,3.0,1.0
24171,2.0,3.0,1.0
24449,4.0,3.0,-1.0
24851,1.0,3.0,2.0
25010,2.0,3.0,1.0
25185,3.0,2.0,-1.0
25186,1.0,2.0,1.0
25187,1.0,3.0,2.0
25188,1.0,3.0,2.0
25440,1.0,3.0,2.0
25593,1.0,3.0,2.0
25981,1.0,2.0,1.0
25982,3.0,3.0,0.0
25983,3.0,3.0,0.0
25998,1.0,1.0,0.0
