,y_eval,y_pred,diff
1135,3.0,3.0,0.0
1136,2.0,4.0,2.0
1137,4.0,4.0,0.0
1138,2.0,4.0,2.0
1141,4.0,4.0,0.0
1142,3.0,4.0,1.0
1143,4.0,3.0,-1.0
1144,4.0,4.0,0.0
1145,2.0,2.0,0.0
1146,3.0,4.0,1.0
1147,1.0,4.0,3.0
1148,1.0,1.0,0.0
1149,4.0,4.0,0.0
1150,2.0,3.0,1.0
1153,2.0,4.0,2.0
1154,2.0,4.0,2.0
1155,4.0,4.0,0.0
1156,3.0,4.0,1.0
1157,1.0,3.0,2.0
1158,1.0,2.0,1.0
1160,2.0,3.0,1.0
1162,3.0,4.0,1.0
1163,2.0,3.0,1.0
1165,2.0,3.0,1.0
1168,2.0,2.0,0.0
1169,4.0,4.0,0.0
1172,1.0,1.0,0.0
1174,1.0,2.0,1.0
1175,1.0,3.0,2.0
1177,4.0,4.0,0.0
1178,2.0,4.0,2.0
1181,4.0,3.0,-1.0
1184,3.0,3.0,0.0
1185,4.0,4.0,0.0
1186,2.0,2.0,0.0
1188,4.0,3.0,-1.0
1190,4.0,4.0,0.0
1191,4.0,4.0,0.0
1193,2.0,4.0,2.0
1194,4.0,4.0,0.0
1195,1.0,1.0,0.0
1196,4.0,4.0,0.0
1197,1.0,3.0,2.0
1199,4.0,4.0,0.0
1203,4.0,4.0,0.0
1205,2.0,2.0,0.0
1206,1.0,2.0,1.0
1207,1.0,1.0,0.0
1208,2.0,4.0,2.0
1209,2.0,3.0,1.0
1210,3.0,4.0,1.0
1211,1.0,1.0,0.0
1212,2.0,4.0,2.0
1217,3.0,3.0,0.0
1218,1.0,1.0,0.0
1219,3.0,3.0,0.0
1221,3.0,3.0,0.0
1222,1.0,2.0,1.0
1223,2.0,4.0,2.0
1224,1.0,2.0,1.0
1226,2.0,2.0,0.0
1228,4.0,4.0,0.0
1229,4.0,4.0,0.0
1230,2.0,3.0,1.0
1231,2.0,2.0,0.0
1232,4.0,4.0,0.0
1234,4.0,3.0,-1.0
1235,4.0,4.0,0.0
1236,4.0,4.0,0.0
1237,1.0,1.0,0.0
1238,3.0,4.0,1.0
1241,4.0,4.0,0.0
1242,2.0,1.0,-1.0
1244,1.0,1.0,0.0
1245,4.0,4.0,0.0
1246,1.0,3.0,2.0
1248,4.0,2.0,-2.0
1250,1.0,2.0,1.0
1251,2.0,1.0,-1.0
1253,3.0,3.0,0.0
1254,3.0,3.0,0.0
1255,3.0,4.0,1.0
1256,3.0,4.0,1.0
1258,4.0,3.0,-1.0
1259,1.0,3.0,2.0
1260,2.0,2.0,0.0
1261,1.0,3.0,2.0
1262,1.0,1.0,0.0
1263,1.0,1.0,0.0
1264,1.0,1.0,0.0
1266,3.0,3.0,0.0
1268,1.0,1.0,0.0
1269,1.0,1.0,0.0
1271,3.0,3.0,0.0
1273,4.0,4.0,0.0
1275,4.0,4.0,0.0
1277,1.0,1.0,0.0
1278,2.0,2.0,0.0
1279,1.0,4.0,3.0
1280,4.0,3.0,-1.0
1282,1.0,1.0,0.0
1283,4.0,3.0,-1.0
1284,3.0,3.0,0.0
1285,1.0,1.0,0.0
1288,1.0,1.0,0.0
1289,4.0,4.0,0.0
1290,2.0,4.0,2.0
1291,1.0,2.0,1.0
1292,2.0,2.0,0.0
1293,3.0,3.0,0.0
1294,1.0,1.0,0.0
1296,4.0,4.0,0.0
1297,2.0,4.0,2.0
1298,1.0,2.0,1.0
1299,4.0,3.0,-1.0
1300,4.0,3.0,-1.0
1301,1.0,1.0,0.0
