,y_eval,y_pred,diff
2835,3.0,4.0,1.0
2943,4.0,1.0,-3.0
3026,4.0,2.0,-2.0
3137,2.0,4.0,2.0
6458,4.0,4.0,0.0
6460,2.0,2.0,0.0
6461,1.0,2.0,1.0
6462,2.0,2.0,0.0
6467,2.0,1.0,-1.0
6470,2.0,4.0,2.0
6471,4.0,4.0,0.0
6474,2.0,2.0,0.0
6476,1.0,4.0,3.0
6477,2.0,4.0,2.0
6479,1.0,2.0,1.0
6480,2.0,4.0,2.0
6485,4.0,4.0,0.0
6487,4.0,1.0,-3.0
6490,4.0,4.0,0.0
6491,4.0,1.0,-3.0
6492,4.0,4.0,0.0
6497,1.0,2.0,1.0
6498,4.0,4.0,0.0
6501,1.0,4.0,3.0
6503,4.0,4.0,0.0
6504,4.0,4.0,0.0
6507,4.0,4.0,0.0
6508,1.0,4.0,3.0
6511,4.0,2.0,-2.0
6516,1.0,4.0,3.0
6517,2.0,1.0,-1.0
6518,1.0,1.0,0.0
6520,1.0,4.0,3.0
6521,3.0,2.0,-1.0
6522,4.0,1.0,-3.0
6523,2.0,4.0,2.0
6524,2.0,4.0,2.0
6526,1.0,4.0,3.0
6531,1.0,4.0,3.0
6533,2.0,4.0,2.0
6534,4.0,4.0,0.0
6538,2.0,2.0,0.0
6539,2.0,4.0,2.0
6543,4.0,4.0,0.0
6546,4.0,4.0,0.0
6547,2.0,1.0,-1.0
6548,2.0,4.0,2.0
6550,1.0,1.0,0.0
6551,3.0,1.0,-2.0
6553,1.0,2.0,1.0
6554,2.0,4.0,2.0
6556,1.0,2.0,1.0
6557,2.0,4.0,2.0
6559,2.0,4.0,2.0
6560,4.0,4.0,0.0
6561,2.0,4.0,2.0
6562,1.0,4.0,3.0
13652,1.0,4.0,3.0
13653,1.0,1.0,0.0
13655,1.0,1.0,0.0
13656,1.0,4.0,3.0
13658,2.0,4.0,2.0
16137,2.0,4.0,2.0
16139,2.0,2.0,0.0
16146,1.0,1.0,0.0
16147,1.0,1.0,0.0
16148,2.0,4.0,2.0
16887,4.0,4.0,0.0
16942,2.0,2.0,0.0
17166,1.0,2.0,1.0
17167,4.0,2.0,-2.0
17477,2.0,4.0,2.0
18309,4.0,4.0,0.0
19076,1.0,1.0,0.0
19077,4.0,4.0,0.0
19078,1.0,4.0,3.0
19082,1.0,2.0,1.0
19084,4.0,4.0,0.0
19086,1.0,4.0,3.0
19087,2.0,2.0,0.0
19090,2.0,4.0,2.0
19091,1.0,2.0,1.0
19092,1.0,1.0,0.0
19094,2.0,2.0,0.0
20747,1.0,4.0,3.0
21350,1.0,1.0,0.0
21801,2.0,4.0,2.0
21802,2.0,2.0,0.0
21942,1.0,2.0,1.0
21943,1.0,2.0,1.0
22144,2.0,4.0,2.0
22145,2.0,4.0,2.0
22645,4.0,4.0,0.0
22646,1.0,2.0,1.0
22647,1.0,1.0,0.0
23211,2.0,4.0,2.0
23437,1.0,4.0,3.0
23874,1.0,4.0,3.0
24174,2.0,4.0,2.0
24635,2.0,4.0,2.0
24745,2.0,4.0,2.0
25070,2.0,2.0,0.0
25072,2.0,4.0,2.0
25224,1.0,2.0,1.0
25592,2.0,3.0,1.0
