,y_eval,y_pred,diff
2659,3.0,3.0,0.0
2671,3.0,3.0,0.0
2735,2.0,3.0,1.0
2745,3.0,3.0,0.0
2764,2.0,3.0,1.0
2784,4.0,2.0,-2.0
2787,3.0,2.0,-1.0
2790,4.0,3.0,-1.0
2818,4.0,4.0,0.0
2837,3.0,3.0,0.0
2874,2.0,1.0,-1.0
2905,4.0,4.0,0.0
2923,2.0,3.0,1.0
2945,3.0,4.0,1.0
2992,3.0,3.0,0.0
3036,4.0,4.0,0.0
7557,3.0,4.0,1.0
7579,1.0,3.0,2.0
7617,1.0,3.0,2.0
7643,4.0,4.0,0.0
7651,3.0,3.0,0.0
7764,3.0,3.0,0.0
7766,3.0,4.0,1.0
9461,3.0,3.0,0.0
9463,2.0,3.0,1.0
9464,3.0,3.0,0.0
9465,3.0,3.0,0.0
9475,1.0,3.0,2.0
9478,3.0,2.0,-1.0
10308,1.0,3.0,2.0
10309,3.0,3.0,0.0
10310,1.0,3.0,2.0
10311,1.0,1.0,0.0
10312,2.0,3.0,1.0
10314,2.0,3.0,1.0
10315,2.0,3.0,1.0
10316,2.0,2.0,0.0
10317,3.0,3.0,0.0
10318,3.0,3.0,0.0
10319,3.0,3.0,0.0
10320,3.0,3.0,0.0
10321,2.0,2.0,0.0
10322,2.0,3.0,1.0
10323,2.0,3.0,1.0
10324,2.0,2.0,0.0
10325,2.0,3.0,1.0
10326,1.0,4.0,3.0
10327,3.0,3.0,0.0
10328,3.0,3.0,0.0
10330,3.0,3.0,0.0
10331,3.0,3.0,0.0
10332,1.0,3.0,2.0
10333,2.0,2.0,0.0
10334,2.0,2.0,0.0
10335,2.0,2.0,0.0
10336,3.0,4.0,1.0
10338,2.0,3.0,1.0
10339,3.0,3.0,0.0
10341,3.0,3.0,0.0
10342,1.0,3.0,2.0
10344,3.0,3.0,0.0
10345,1.0,3.0,2.0
10346,2.0,3.0,1.0
10347,3.0,3.0,0.0
10349,4.0,3.0,-1.0
10350,1.0,3.0,2.0
10351,3.0,4.0,1.0
10352,3.0,4.0,1.0
10353,2.0,2.0,0.0
10354,2.0,3.0,1.0
10355,2.0,3.0,1.0
10356,3.0,3.0,0.0
10357,3.0,1.0,-2.0
10358,3.0,3.0,0.0
10359,2.0,1.0,-1.0
10360,3.0,3.0,0.0
10361,2.0,2.0,0.0
10363,3.0,3.0,0.0
10364,4.0,3.0,-1.0
10365,1.0,2.0,1.0
10366,3.0,3.0,0.0
10367,1.0,3.0,2.0
10369,1.0,3.0,2.0
10370,1.0,2.0,1.0
10371,2.0,2.0,0.0
10372,1.0,2.0,1.0
10373,3.0,4.0,1.0
10374,1.0,2.0,1.0
10375,1.0,4.0,3.0
10376,1.0,3.0,2.0
10377,2.0,3.0,1.0
10378,2.0,3.0,1.0
10379,2.0,3.0,1.0
10380,1.0,3.0,2.0
10381,3.0,3.0,0.0
10382,2.0,3.0,1.0
10384,1.0,3.0,2.0
10385,2.0,3.0,1.0
10386,3.0,4.0,1.0
10387,2.0,3.0,1.0
10388,1.0,2.0,1.0
10389,2.0,2.0,0.0
10390,2.0,3.0,1.0
10392,3.0,3.0,0.0
10393,4.0,3.0,-1.0
10394,4.0,3.0,-1.0
10395,2.0,4.0,2.0
10396,3.0,3.0,0.0
10397,2.0,3.0,1.0
10398,2.0,3.0,1.0
10399,1.0,3.0,2.0
10400,1.0,3.0,2.0
10402,1.0,2.0,1.0
10403,3.0,3.0,0.0
10404,2.0,3.0,1.0
10405,2.0,2.0,0.0
10406,3.0,3.0,0.0
10407,2.0,1.0,-1.0
10408,1.0,3.0,2.0
10409,2.0,3.0,1.0
10410,3.0,3.0,0.0
10411,2.0,1.0,-1.0
10412,2.0,3.0,1.0
10413,2.0,3.0,1.0
10414,2.0,3.0,1.0
10415,1.0,3.0,2.0
10416,3.0,3.0,0.0
10417,1.0,3.0,2.0
10418,1.0,4.0,3.0
10419,3.0,3.0,0.0
10420,3.0,3.0,0.0
10421,2.0,3.0,1.0
10422,2.0,2.0,0.0
10423,3.0,3.0,0.0
10424,2.0,2.0,0.0
10425,2.0,3.0,1.0
10426,2.0,3.0,1.0
10427,1.0,2.0,1.0
10429,3.0,3.0,0.0
10430,3.0,4.0,1.0
10431,3.0,4.0,1.0
10432,2.0,3.0,1.0
10433,2.0,2.0,0.0
10434,3.0,3.0,0.0
10435,4.0,3.0,-1.0
10436,2.0,3.0,1.0
10437,1.0,2.0,1.0
10438,1.0,3.0,2.0
10439,2.0,3.0,1.0
10440,1.0,2.0,1.0
10441,1.0,4.0,3.0
10442,1.0,2.0,1.0
10444,3.0,3.0,0.0
10445,1.0,2.0,1.0
11843,1.0,3.0,2.0
11844,2.0,3.0,1.0
11845,1.0,3.0,2.0
11846,2.0,3.0,1.0
11847,3.0,3.0,0.0
11848,3.0,2.0,-1.0
11850,4.0,3.0,-1.0
11851,1.0,3.0,2.0
11853,4.0,4.0,0.0
11854,1.0,3.0,2.0
11855,2.0,3.0,1.0
11856,3.0,3.0,0.0
11857,3.0,3.0,0.0
11858,2.0,3.0,1.0
11859,3.0,3.0,0.0
11860,4.0,4.0,0.0
11861,4.0,3.0,-1.0
11862,3.0,2.0,-1.0
11863,2.0,2.0,0.0
11864,2.0,3.0,1.0
11865,1.0,3.0,2.0
11866,3.0,4.0,1.0
11867,2.0,2.0,0.0
11868,4.0,3.0,-1.0
11869,2.0,3.0,1.0
11870,1.0,4.0,3.0
11871,1.0,2.0,1.0
11872,4.0,4.0,0.0
11873,3.0,4.0,1.0
11874,4.0,4.0,0.0
11875,4.0,3.0,-1.0
11876,2.0,2.0,0.0
11877,2.0,2.0,0.0
11878,3.0,3.0,0.0
11879,3.0,4.0,1.0
11880,3.0,2.0,-1.0
11881,3.0,3.0,0.0
11882,2.0,2.0,0.0
11883,4.0,4.0,0.0
11884,3.0,4.0,1.0
11885,4.0,3.0,-1.0
11886,2.0,3.0,1.0
11888,4.0,4.0,0.0
11889,3.0,3.0,0.0
11890,3.0,3.0,0.0
11891,2.0,2.0,0.0
11894,3.0,4.0,1.0
11896,4.0,4.0,0.0
11897,4.0,4.0,0.0
11898,2.0,3.0,1.0
11899,3.0,3.0,0.0
11900,3.0,3.0,0.0
11901,3.0,3.0,0.0
11902,2.0,2.0,0.0
11904,2.0,2.0,0.0
11905,1.0,2.0,1.0
11906,1.0,3.0,2.0
11907,2.0,3.0,1.0
11908,4.0,4.0,0.0
11909,3.0,1.0,-2.0
11910,3.0,3.0,0.0
11911,4.0,3.0,-1.0
11912,3.0,4.0,1.0
11913,4.0,3.0,-1.0
11914,1.0,3.0,2.0
11915,4.0,3.0,-1.0
11916,1.0,3.0,2.0
11917,2.0,2.0,0.0
11918,3.0,4.0,1.0
11919,3.0,4.0,1.0
11920,3.0,3.0,0.0
11922,2.0,3.0,1.0
11923,1.0,2.0,1.0
11924,2.0,2.0,0.0
11925,3.0,3.0,0.0
11926,3.0,3.0,0.0
11927,2.0,2.0,0.0
11928,1.0,1.0,0.0
11929,2.0,3.0,1.0
11930,2.0,4.0,2.0
11931,2.0,2.0,0.0
11932,4.0,4.0,0.0
11933,1.0,1.0,0.0
11935,1.0,3.0,2.0
11936,1.0,3.0,2.0
11937,3.0,4.0,1.0
11938,3.0,3.0,0.0
11939,2.0,2.0,0.0
11940,2.0,3.0,1.0
11941,4.0,4.0,0.0
11942,1.0,3.0,2.0
11943,3.0,4.0,1.0
11944,1.0,3.0,2.0
11945,4.0,4.0,0.0
11946,1.0,2.0,1.0
11947,4.0,4.0,0.0
11948,2.0,3.0,1.0
11949,3.0,4.0,1.0
11950,2.0,1.0,-1.0
11951,3.0,3.0,0.0
11952,3.0,4.0,1.0
11953,1.0,3.0,2.0
11954,2.0,3.0,1.0
11955,3.0,3.0,0.0
11956,3.0,4.0,1.0
11957,1.0,3.0,2.0
11958,4.0,4.0,0.0
11959,3.0,4.0,1.0
11960,3.0,3.0,0.0
11962,4.0,4.0,0.0
11963,4.0,3.0,-1.0
11965,4.0,3.0,-1.0
11966,4.0,3.0,-1.0
11967,4.0,4.0,0.0
11968,4.0,3.0,-1.0
11969,4.0,3.0,-1.0
11970,1.0,4.0,3.0
11971,2.0,3.0,1.0
11972,2.0,2.0,0.0
11973,1.0,1.0,0.0
11974,4.0,4.0,0.0
11975,4.0,4.0,0.0
11976,4.0,4.0,0.0
11977,2.0,2.0,0.0
11978,4.0,4.0,0.0
11979,2.0,3.0,1.0
11980,1.0,3.0,2.0
11981,3.0,3.0,0.0
11982,2.0,3.0,1.0
11983,3.0,4.0,1.0
11984,1.0,2.0,1.0
11985,3.0,4.0,1.0
11986,2.0,3.0,1.0
11987,3.0,3.0,0.0
11990,2.0,4.0,2.0
11991,2.0,3.0,1.0
11992,2.0,3.0,1.0
11993,2.0,3.0,1.0
11994,2.0,3.0,1.0
11995,3.0,2.0,-1.0
11996,4.0,4.0,0.0
11997,4.0,2.0,-2.0
11998,1.0,3.0,2.0
11999,4.0,4.0,0.0
12001,3.0,3.0,0.0
12003,3.0,4.0,1.0
12004,2.0,3.0,1.0
12005,1.0,3.0,2.0
12006,2.0,3.0,1.0
12009,1.0,4.0,3.0
12010,1.0,2.0,1.0
12011,1.0,3.0,2.0
12012,1.0,3.0,2.0
12013,1.0,1.0,0.0
12014,1.0,3.0,2.0
12015,4.0,3.0,-1.0
12017,4.0,4.0,0.0
12018,2.0,3.0,1.0
12019,3.0,4.0,1.0
12020,2.0,3.0,1.0
12021,1.0,3.0,2.0
12023,3.0,3.0,0.0
12024,2.0,4.0,2.0
12025,3.0,3.0,0.0
12026,1.0,3.0,2.0
12027,4.0,3.0,-1.0
12028,4.0,4.0,0.0
12029,1.0,2.0,1.0
12030,3.0,3.0,0.0
12031,1.0,1.0,0.0
12032,4.0,4.0,0.0
12033,4.0,4.0,0.0
12034,2.0,2.0,0.0
12035,3.0,4.0,1.0
12036,2.0,2.0,0.0
12037,2.0,2.0,0.0
12038,3.0,4.0,1.0
12039,1.0,3.0,2.0
12040,2.0,2.0,0.0
12041,3.0,3.0,0.0
12042,2.0,4.0,2.0
12044,3.0,3.0,0.0
12046,1.0,4.0,3.0
12048,4.0,4.0,0.0
12049,4.0,3.0,-1.0
12050,4.0,3.0,-1.0
12051,2.0,2.0,0.0
12052,2.0,2.0,0.0
12053,1.0,3.0,2.0
12054,3.0,3.0,0.0
12055,1.0,3.0,2.0
12056,3.0,3.0,0.0
12057,1.0,2.0,1.0
12058,3.0,4.0,1.0
12059,2.0,3.0,1.0
12060,1.0,3.0,2.0
12061,2.0,1.0,-1.0
12062,2.0,3.0,1.0
12063,3.0,3.0,0.0
12064,4.0,3.0,-1.0
12066,2.0,1.0,-1.0
12067,2.0,4.0,2.0
12068,1.0,2.0,1.0
12069,3.0,2.0,-1.0
12070,2.0,2.0,0.0
12071,4.0,4.0,0.0
12072,3.0,4.0,1.0
12073,4.0,3.0,-1.0
12074,2.0,3.0,1.0
12075,3.0,3.0,0.0
12076,4.0,4.0,0.0
12077,3.0,4.0,1.0
12079,4.0,4.0,0.0
12080,2.0,2.0,0.0
12081,1.0,3.0,2.0
12082,2.0,2.0,0.0
12083,2.0,1.0,-1.0
12085,3.0,3.0,0.0
12086,2.0,3.0,1.0
12087,4.0,4.0,0.0
12088,4.0,4.0,0.0
12089,4.0,2.0,-2.0
12090,1.0,3.0,2.0
12091,2.0,2.0,0.0
12093,3.0,4.0,1.0
12094,4.0,3.0,-1.0
12095,1.0,3.0,2.0
12096,3.0,3.0,0.0
12097,1.0,3.0,2.0
12098,1.0,2.0,1.0
12099,2.0,4.0,2.0
12100,4.0,4.0,0.0
12101,4.0,4.0,0.0
12102,3.0,3.0,0.0
12103,2.0,3.0,1.0
12104,4.0,4.0,0.0
12105,2.0,2.0,0.0
12107,3.0,3.0,0.0
12108,2.0,3.0,1.0
12110,1.0,3.0,2.0
