,y_eval,y_pred,diff
1999,4.0,4.0,0.0
2000,1.0,3.0,2.0
2001,4.0,3.0,-1.0
2002,3.0,3.0,0.0
2003,4.0,4.0,0.0
2004,1.0,3.0,2.0
2005,2.0,3.0,1.0
2006,4.0,4.0,0.0
2007,2.0,3.0,1.0
2008,3.0,4.0,1.0
2009,1.0,3.0,2.0
2010,4.0,4.0,0.0
2012,1.0,1.0,0.0
2013,2.0,3.0,1.0
2014,1.0,3.0,2.0
2015,4.0,2.0,-2.0
2016,4.0,4.0,0.0
2017,2.0,4.0,2.0
2018,1.0,4.0,3.0
2019,3.0,2.0,-1.0
2020,4.0,4.0,0.0
2021,4.0,4.0,0.0
2022,2.0,3.0,1.0
2023,2.0,4.0,2.0
2024,4.0,4.0,0.0
2025,4.0,4.0,0.0
2026,3.0,2.0,-1.0
2027,2.0,3.0,1.0
2028,4.0,4.0,0.0
2029,2.0,3.0,1.0
2030,2.0,3.0,1.0
2031,2.0,3.0,1.0
2032,4.0,4.0,0.0
2033,3.0,2.0,-1.0
2034,2.0,2.0,0.0
2035,3.0,3.0,0.0
2036,3.0,4.0,1.0
2037,3.0,3.0,0.0
2039,1.0,2.0,1.0
2040,4.0,4.0,0.0
2041,3.0,3.0,0.0
2042,3.0,3.0,0.0
2043,2.0,4.0,2.0
2044,2.0,3.0,1.0
2045,2.0,3.0,1.0
2046,1.0,2.0,1.0
2047,1.0,3.0,2.0
2048,4.0,3.0,-1.0
2049,1.0,3.0,2.0
2051,1.0,1.0,0.0
2052,3.0,1.0,-2.0
2053,2.0,3.0,1.0
2054,4.0,4.0,0.0
2055,4.0,4.0,0.0
2056,3.0,3.0,0.0
2057,1.0,3.0,2.0
2058,1.0,2.0,1.0
2059,4.0,4.0,0.0
2060,2.0,4.0,2.0
2062,2.0,4.0,2.0
2063,4.0,4.0,0.0
2064,1.0,2.0,1.0
2065,4.0,4.0,0.0
2066,4.0,3.0,-1.0
2067,1.0,4.0,3.0
2068,4.0,4.0,0.0
2069,2.0,2.0,0.0
2070,3.0,3.0,0.0
2071,4.0,4.0,0.0
2072,4.0,4.0,0.0
2074,2.0,4.0,2.0
2076,3.0,2.0,-1.0
2077,2.0,2.0,0.0
2078,1.0,3.0,2.0
