,y_eval,y_pred,diff
2601,4.0,2.0,-2.0
2613,3.0,1.0,-2.0
2615,2.0,3.0,1.0
2620,3.0,3.0,0.0
2624,4.0,1.0,-3.0
2627,3.0,1.0,-2.0
2628,3.0,4.0,1.0
2632,3.0,1.0,-2.0
2635,3.0,1.0,-2.0
2646,3.0,3.0,0.0
2663,4.0,3.0,-1.0
2677,4.0,3.0,-1.0
2678,3.0,1.0,-2.0
2702,2.0,1.0,-1.0
2726,3.0,1.0,-2.0
2739,3.0,1.0,-2.0
2744,3.0,1.0,-2.0
2748,4.0,3.0,-1.0
2770,1.0,1.0,0.0
2777,4.0,3.0,-1.0
2819,4.0,4.0,0.0
2821,4.0,4.0,0.0
2825,4.0,1.0,-3.0
2831,4.0,4.0,0.0
2842,1.0,1.0,0.0
2849,3.0,1.0,-2.0
2857,1.0,3.0,2.0
2859,4.0,4.0,0.0
2860,1.0,1.0,0.0
2883,1.0,1.0,0.0
2899,1.0,3.0,2.0
2924,1.0,1.0,0.0
2927,4.0,4.0,0.0
2979,3.0,1.0,-2.0
2988,2.0,1.0,-1.0
2998,4.0,1.0,-3.0
2999,1.0,4.0,3.0
3001,4.0,1.0,-3.0
3014,1.0,1.0,0.0
3025,4.0,4.0,0.0
3028,2.0,1.0,-1.0
3044,3.0,1.0,-2.0
3045,3.0,1.0,-2.0
3064,4.0,1.0,-3.0
3088,3.0,1.0,-2.0
3091,1.0,4.0,3.0
3094,3.0,4.0,1.0
3100,4.0,1.0,-3.0
3105,4.0,4.0,0.0
3111,1.0,1.0,0.0
3119,4.0,1.0,-3.0
5147,2.0,1.0,-1.0
5148,2.0,1.0,-1.0
5149,3.0,1.0,-2.0
5150,1.0,4.0,3.0
5151,3.0,4.0,1.0
5152,1.0,1.0,0.0
5153,3.0,1.0,-2.0
5154,2.0,1.0,-1.0
5155,3.0,3.0,0.0
5156,1.0,3.0,2.0
5157,2.0,1.0,-1.0
5158,1.0,1.0,0.0
5159,1.0,1.0,0.0
5160,4.0,3.0,-1.0
5161,1.0,1.0,0.0
5162,1.0,1.0,0.0
5163,3.0,4.0,1.0
5164,4.0,4.0,0.0
5165,1.0,4.0,3.0
5166,1.0,1.0,0.0
5167,2.0,4.0,2.0
5168,1.0,1.0,0.0
5169,1.0,1.0,0.0
5170,1.0,1.0,0.0
5171,2.0,3.0,1.0
5172,2.0,1.0,-1.0
5173,2.0,1.0,-1.0
5174,1.0,1.0,0.0
5175,3.0,1.0,-2.0
5176,4.0,4.0,0.0
5177,2.0,1.0,-1.0
5178,1.0,1.0,0.0
5179,2.0,4.0,2.0
5180,4.0,1.0,-3.0
5181,1.0,3.0,2.0
5182,4.0,3.0,-1.0
5183,4.0,3.0,-1.0
5184,4.0,1.0,-3.0
5185,3.0,1.0,-2.0
5186,3.0,1.0,-2.0
5187,1.0,1.0,0.0
5188,2.0,1.0,-1.0
5189,1.0,1.0,0.0
5190,4.0,1.0,-3.0
5191,1.0,3.0,2.0
5192,1.0,2.0,1.0
5193,2.0,1.0,-1.0
5194,1.0,1.0,0.0
5195,1.0,1.0,0.0
5196,3.0,1.0,-2.0
5197,3.0,1.0,-2.0
5198,1.0,1.0,0.0
5199,2.0,2.0,0.0
5200,3.0,2.0,-1.0
5201,3.0,1.0,-2.0
5202,1.0,2.0,1.0
5203,4.0,1.0,-3.0
5204,4.0,4.0,0.0
5205,1.0,1.0,0.0
5206,4.0,1.0,-3.0
5207,4.0,1.0,-3.0
5208,4.0,3.0,-1.0
5209,2.0,3.0,1.0
5210,1.0,1.0,0.0
5211,2.0,1.0,-1.0
5212,2.0,1.0,-1.0
5213,2.0,4.0,2.0
5214,4.0,1.0,-3.0
5215,1.0,1.0,0.0
5216,4.0,1.0,-3.0
5217,1.0,1.0,0.0
5218,1.0,1.0,0.0
5219,1.0,2.0,1.0
5220,3.0,4.0,1.0
5221,2.0,1.0,-1.0
5222,2.0,1.0,-1.0
5223,2.0,1.0,-1.0
5224,1.0,1.0,0.0
5225,1.0,1.0,0.0
5226,2.0,4.0,2.0
5227,2.0,1.0,-1.0
5228,1.0,2.0,1.0
5229,1.0,3.0,2.0
5230,4.0,1.0,-3.0
5231,4.0,4.0,0.0
5232,3.0,1.0,-2.0
5233,2.0,1.0,-1.0
5234,1.0,4.0,3.0
5235,2.0,3.0,1.0
5236,1.0,4.0,3.0
5237,1.0,2.0,1.0
5238,1.0,1.0,0.0
5239,4.0,1.0,-3.0
5240,3.0,1.0,-2.0
5241,3.0,3.0,0.0
5242,1.0,1.0,0.0
5243,4.0,2.0,-2.0
5244,4.0,4.0,0.0
5245,2.0,3.0,1.0
5246,4.0,4.0,0.0
5247,1.0,1.0,0.0
5248,3.0,4.0,1.0
5249,1.0,1.0,0.0
5250,3.0,1.0,-2.0
5251,2.0,1.0,-1.0
5252,4.0,1.0,-3.0
5253,2.0,2.0,0.0
5254,1.0,1.0,0.0
5255,4.0,3.0,-1.0
5256,3.0,1.0,-2.0
5257,4.0,1.0,-3.0
5258,4.0,1.0,-3.0
5259,4.0,2.0,-2.0
5260,4.0,1.0,-3.0
5261,1.0,1.0,0.0
5262,3.0,1.0,-2.0
5263,3.0,1.0,-2.0
5264,4.0,1.0,-3.0
5265,4.0,2.0,-2.0
5266,2.0,1.0,-1.0
5267,4.0,1.0,-3.0
5268,4.0,1.0,-3.0
5269,4.0,4.0,0.0
5270,2.0,1.0,-1.0
5271,1.0,1.0,0.0
5272,3.0,4.0,1.0
5273,3.0,2.0,-1.0
5274,1.0,1.0,0.0
5275,3.0,2.0,-1.0
5276,4.0,4.0,0.0
5277,1.0,2.0,1.0
5278,2.0,4.0,2.0
5279,2.0,1.0,-1.0
5280,3.0,1.0,-2.0
5281,4.0,3.0,-1.0
5282,3.0,4.0,1.0
5283,1.0,3.0,2.0
5284,2.0,4.0,2.0
5285,4.0,2.0,-2.0
5286,3.0,1.0,-2.0
5287,4.0,1.0,-3.0
5288,4.0,2.0,-2.0
5289,1.0,2.0,1.0
5290,2.0,4.0,2.0
5291,3.0,4.0,1.0
5292,4.0,1.0,-3.0
5293,1.0,1.0,0.0
5294,4.0,4.0,0.0
5295,4.0,4.0,0.0
5296,4.0,1.0,-3.0
5297,2.0,2.0,0.0
5299,2.0,1.0,-1.0
5300,3.0,1.0,-2.0
5301,1.0,1.0,0.0
5302,3.0,4.0,1.0
5303,2.0,1.0,-1.0
5304,1.0,1.0,0.0
5305,1.0,2.0,1.0
5306,4.0,1.0,-3.0
5307,2.0,2.0,0.0
5308,1.0,1.0,0.0
5309,1.0,1.0,0.0
5310,3.0,2.0,-1.0
5311,2.0,3.0,1.0
5312,4.0,1.0,-3.0
5313,1.0,2.0,1.0
5314,4.0,4.0,0.0
5315,3.0,1.0,-2.0
5316,1.0,4.0,3.0
5317,1.0,1.0,0.0
5318,4.0,4.0,0.0
5319,4.0,3.0,-1.0
5320,4.0,3.0,-1.0
5321,3.0,4.0,1.0
5322,1.0,1.0,0.0
5323,1.0,1.0,0.0
5324,2.0,3.0,1.0
5325,1.0,1.0,0.0
5326,2.0,2.0,0.0
5327,4.0,1.0,-3.0
5328,3.0,1.0,-2.0
5329,1.0,4.0,3.0
5330,1.0,1.0,0.0
5331,1.0,1.0,0.0
5332,1.0,1.0,0.0
5333,1.0,1.0,0.0
5334,1.0,1.0,0.0
5335,1.0,3.0,2.0
5336,1.0,3.0,2.0
5337,1.0,1.0,0.0
5338,1.0,2.0,1.0
5339,4.0,4.0,0.0
5340,1.0,3.0,2.0
5341,1.0,1.0,0.0
5342,3.0,1.0,-2.0
5343,1.0,2.0,1.0
5344,4.0,2.0,-2.0
5345,4.0,1.0,-3.0
5346,2.0,2.0,0.0
5347,1.0,4.0,3.0
5348,1.0,2.0,1.0
5349,1.0,1.0,0.0
5350,3.0,1.0,-2.0
5351,1.0,4.0,3.0
5352,1.0,1.0,0.0
5353,1.0,1.0,0.0
5354,2.0,1.0,-1.0
5355,4.0,3.0,-1.0
5356,3.0,2.0,-1.0
5357,4.0,3.0,-1.0
5358,2.0,3.0,1.0
5359,2.0,2.0,0.0
5360,1.0,1.0,0.0
5361,1.0,1.0,0.0
5362,4.0,4.0,0.0
5363,4.0,2.0,-2.0
5364,3.0,1.0,-2.0
5365,4.0,3.0,-1.0
5366,4.0,3.0,-1.0
5367,4.0,1.0,-3.0
5368,1.0,3.0,2.0
5369,4.0,1.0,-3.0
5370,1.0,4.0,3.0
5371,4.0,3.0,-1.0
5372,3.0,1.0,-2.0
5373,2.0,1.0,-1.0
5374,1.0,3.0,2.0
5375,4.0,1.0,-3.0
5376,2.0,2.0,0.0
5377,4.0,1.0,-3.0
5378,4.0,2.0,-2.0
5379,2.0,1.0,-1.0
5380,2.0,1.0,-1.0
5381,2.0,1.0,-1.0
5382,1.0,2.0,1.0
5383,3.0,2.0,-1.0
5384,1.0,4.0,3.0
5385,2.0,2.0,0.0
5386,2.0,2.0,0.0
5387,2.0,1.0,-1.0
5388,3.0,4.0,1.0
5389,1.0,1.0,0.0
5390,3.0,1.0,-2.0
5391,2.0,4.0,2.0
5392,4.0,1.0,-3.0
