,y_eval,y_pred,diff
2604,3.0,2.0,-1.0
2607,2.0,2.0,0.0
2630,3.0,2.0,-1.0
2631,2.0,3.0,1.0
2633,2.0,3.0,1.0
2640,3.0,3.0,0.0
2642,1.0,2.0,1.0
2643,1.0,2.0,1.0
2653,3.0,1.0,-2.0
2665,2.0,2.0,0.0
2667,3.0,2.0,-1.0
2676,3.0,3.0,0.0
2679,2.0,1.0,-1.0
2682,2.0,1.0,-1.0
2686,3.0,2.0,-1.0
2695,3.0,1.0,-2.0
2703,2.0,3.0,1.0
2706,2.0,2.0,0.0
2708,2.0,1.0,-1.0
2709,1.0,2.0,1.0
2712,2.0,3.0,1.0
2716,1.0,2.0,1.0
2717,3.0,1.0,-2.0
2718,3.0,3.0,0.0
2720,2.0,1.0,-1.0
2724,2.0,2.0,0.0
2728,3.0,2.0,-1.0
2732,3.0,3.0,0.0
2742,3.0,2.0,-1.0
2746,3.0,2.0,-1.0
2749,2.0,1.0,-1.0
2752,2.0,2.0,0.0
2756,2.0,1.0,-1.0
2759,3.0,1.0,-2.0
2760,1.0,2.0,1.0
2761,3.0,1.0,-2.0
2762,3.0,2.0,-1.0
2763,1.0,1.0,0.0
2765,2.0,2.0,0.0
2810,4.0,2.0,-2.0
2828,4.0,2.0,-2.0
2832,1.0,2.0,1.0
2846,1.0,2.0,1.0
2855,3.0,2.0,-1.0
2866,1.0,3.0,2.0
2877,3.0,2.0,-1.0
2952,2.0,3.0,1.0
2962,3.0,2.0,-1.0
2972,2.0,2.0,0.0
2982,4.0,2.0,-2.0
3004,3.0,3.0,0.0
3033,3.0,2.0,-1.0
3047,3.0,3.0,0.0
3058,2.0,2.0,0.0
3072,3.0,1.0,-2.0
3084,3.0,3.0,0.0
3101,3.0,1.0,-2.0
3121,3.0,2.0,-1.0
3131,4.0,3.0,-1.0
3652,2.0,1.0,-1.0
4719,3.0,3.0,0.0
5298,1.0,2.0,1.0
5615,3.0,3.0,0.0
5616,1.0,1.0,0.0
5617,3.0,3.0,0.0
5618,2.0,3.0,1.0
5619,4.0,3.0,-1.0
5620,2.0,3.0,1.0
5621,3.0,3.0,0.0
5622,1.0,2.0,1.0
5623,3.0,2.0,-1.0
5624,3.0,1.0,-2.0
5625,3.0,3.0,0.0
5626,2.0,1.0,-1.0
5627,4.0,1.0,-3.0
5628,2.0,3.0,1.0
5629,2.0,2.0,0.0
5630,4.0,1.0,-3.0
5631,2.0,1.0,-1.0
5632,2.0,1.0,-1.0
5633,1.0,3.0,2.0
5634,1.0,2.0,1.0
5635,3.0,3.0,0.0
5636,3.0,1.0,-2.0
5637,3.0,3.0,0.0
5638,3.0,2.0,-1.0
5639,1.0,2.0,1.0
5640,1.0,2.0,1.0
5641,3.0,3.0,0.0
5642,3.0,2.0,-1.0
5643,1.0,2.0,1.0
5644,3.0,3.0,0.0
5645,1.0,1.0,0.0
5646,2.0,1.0,-1.0
5647,1.0,2.0,1.0
5648,2.0,2.0,0.0
5649,1.0,3.0,2.0
5650,1.0,2.0,1.0
5651,3.0,2.0,-1.0
5652,2.0,2.0,0.0
5653,4.0,2.0,-2.0
5654,2.0,2.0,0.0
5655,2.0,1.0,-1.0
5656,1.0,2.0,1.0
5657,3.0,2.0,-1.0
5658,4.0,2.0,-2.0
5659,1.0,2.0,1.0
5660,1.0,1.0,0.0
5661,3.0,3.0,0.0
5662,2.0,2.0,0.0
5663,4.0,3.0,-1.0
5664,1.0,2.0,1.0
5665,3.0,3.0,0.0
5666,2.0,3.0,1.0
5667,1.0,2.0,1.0
5668,2.0,1.0,-1.0
5669,2.0,2.0,0.0
5670,2.0,1.0,-1.0
5671,2.0,3.0,1.0
5672,1.0,1.0,0.0
5673,3.0,3.0,0.0
5674,2.0,3.0,1.0
5675,3.0,3.0,0.0
5676,3.0,3.0,0.0
5677,1.0,2.0,1.0
5678,1.0,1.0,0.0
5679,3.0,4.0,1.0
5680,2.0,1.0,-1.0
5681,2.0,1.0,-1.0
5682,2.0,2.0,0.0
5683,2.0,1.0,-1.0
5684,2.0,2.0,0.0
5685,3.0,3.0,0.0
5686,2.0,2.0,0.0
5687,3.0,2.0,-1.0
5688,2.0,2.0,0.0
5689,2.0,2.0,0.0
5690,3.0,3.0,0.0
5691,3.0,2.0,-1.0
5692,3.0,3.0,0.0
5693,1.0,1.0,0.0
5694,1.0,3.0,2.0
5695,2.0,3.0,1.0
5696,3.0,3.0,0.0
5697,4.0,2.0,-2.0
5698,1.0,2.0,1.0
5699,3.0,3.0,0.0
5700,1.0,2.0,1.0
5701,2.0,1.0,-1.0
5702,3.0,3.0,0.0
5703,2.0,1.0,-1.0
5704,1.0,2.0,1.0
5705,3.0,2.0,-1.0
5706,3.0,2.0,-1.0
5707,3.0,3.0,0.0
5708,2.0,1.0,-1.0
5709,3.0,3.0,0.0
5710,3.0,3.0,0.0
5711,2.0,2.0,0.0
5712,1.0,2.0,1.0
5713,2.0,3.0,1.0
5714,3.0,3.0,0.0
5715,1.0,2.0,1.0
5716,2.0,2.0,0.0
5717,3.0,3.0,0.0
5718,2.0,3.0,1.0
5719,4.0,3.0,-1.0
5720,1.0,2.0,1.0
5721,2.0,3.0,1.0
5722,3.0,3.0,0.0
5723,2.0,1.0,-1.0
5724,3.0,3.0,0.0
5725,2.0,2.0,0.0
5726,2.0,3.0,1.0
5727,2.0,1.0,-1.0
5728,3.0,3.0,0.0
5729,3.0,3.0,0.0
5730,3.0,2.0,-1.0
