,y_eval,y_pred,diff
271,3.0,3.0,0.0
272,3.0,1.0,-2.0
273,4.0,4.0,0.0
274,4.0,1.0,-3.0
275,3.0,3.0,0.0
276,4.0,3.0,-1.0
277,2.0,1.0,-1.0
278,1.0,1.0,0.0
279,1.0,1.0,0.0
280,1.0,1.0,0.0
281,3.0,1.0,-2.0
282,3.0,1.0,-2.0
283,1.0,1.0,0.0
284,1.0,3.0,2.0
285,4.0,4.0,0.0
286,4.0,1.0,-3.0
287,3.0,3.0,0.0
288,1.0,1.0,0.0
289,1.0,1.0,0.0
290,3.0,3.0,0.0
291,3.0,3.0,0.0
292,2.0,4.0,2.0
293,4.0,3.0,-1.0
294,3.0,1.0,-2.0
295,1.0,3.0,2.0
296,4.0,4.0,0.0
297,1.0,1.0,0.0
298,3.0,3.0,0.0
299,4.0,3.0,-1.0
300,4.0,1.0,-3.0
301,3.0,3.0,0.0
302,3.0,3.0,0.0
303,3.0,1.0,-2.0
304,4.0,1.0,-3.0
305,1.0,2.0,1.0
306,4.0,4.0,0.0
307,2.0,3.0,1.0
308,3.0,1.0,-2.0
309,1.0,1.0,0.0
310,1.0,3.0,2.0
311,1.0,3.0,2.0
312,4.0,1.0,-3.0
313,1.0,1.0,0.0
314,4.0,2.0,-2.0
315,3.0,3.0,0.0
316,3.0,3.0,0.0
317,1.0,1.0,0.0
318,1.0,1.0,0.0
319,3.0,1.0,-2.0
320,1.0,1.0,0.0
321,4.0,3.0,-1.0
322,1.0,3.0,2.0
323,3.0,3.0,0.0
324,1.0,3.0,2.0
325,3.0,1.0,-2.0
326,1.0,1.0,0.0
327,1.0,3.0,2.0
328,1.0,3.0,2.0
329,1.0,1.0,0.0
330,1.0,3.0,2.0
331,2.0,1.0,-1.0
332,2.0,3.0,1.0
333,3.0,3.0,0.0
334,1.0,3.0,2.0
335,4.0,1.0,-3.0
336,3.0,1.0,-2.0
337,1.0,3.0,2.0
338,1.0,3.0,2.0
339,4.0,1.0,-3.0
340,1.0,3.0,2.0
341,1.0,3.0,2.0
342,4.0,3.0,-1.0
343,1.0,1.0,0.0
344,4.0,1.0,-3.0
345,2.0,1.0,-1.0
346,1.0,1.0,0.0
347,4.0,3.0,-1.0
348,3.0,3.0,0.0
349,1.0,1.0,0.0
350,2.0,2.0,0.0
351,1.0,1.0,0.0
352,2.0,3.0,1.0
353,4.0,1.0,-3.0
354,3.0,1.0,-2.0
355,1.0,1.0,0.0
356,1.0,1.0,0.0
357,3.0,3.0,0.0
358,3.0,1.0,-2.0
359,1.0,3.0,2.0
360,1.0,3.0,2.0
361,3.0,1.0,-2.0
362,3.0,3.0,0.0
363,4.0,1.0,-3.0
364,2.0,3.0,1.0
365,1.0,4.0,3.0
366,1.0,1.0,0.0
367,2.0,1.0,-1.0
368,4.0,3.0,-1.0
369,4.0,1.0,-3.0
370,3.0,3.0,0.0
371,3.0,1.0,-2.0
372,3.0,1.0,-2.0
373,3.0,1.0,-2.0
374,3.0,1.0,-2.0
375,3.0,3.0,0.0
376,1.0,3.0,2.0
377,4.0,3.0,-1.0
378,3.0,3.0,0.0
379,1.0,3.0,2.0
380,1.0,3.0,2.0
381,3.0,1.0,-2.0
382,1.0,1.0,0.0
383,1.0,1.0,0.0
384,3.0,1.0,-2.0
385,1.0,1.0,0.0
386,3.0,4.0,1.0
387,1.0,1.0,0.0
388,3.0,2.0,-1.0
389,1.0,1.0,0.0
390,1.0,1.0,0.0
391,4.0,3.0,-1.0
392,4.0,4.0,0.0
393,1.0,1.0,0.0
394,3.0,1.0,-2.0
395,2.0,1.0,-1.0
396,3.0,3.0,0.0
397,3.0,1.0,-2.0
398,1.0,3.0,2.0
399,3.0,3.0,0.0
400,3.0,3.0,0.0
401,4.0,1.0,-3.0
402,2.0,1.0,-1.0
403,3.0,3.0,0.0
404,3.0,3.0,0.0
405,3.0,3.0,0.0
406,3.0,3.0,0.0
407,3.0,1.0,-2.0
408,2.0,1.0,-1.0
409,3.0,3.0,0.0
410,2.0,3.0,1.0
411,1.0,1.0,0.0
412,2.0,3.0,1.0
413,3.0,4.0,1.0
414,4.0,3.0,-1.0
415,1.0,3.0,2.0
416,4.0,3.0,-1.0
417,1.0,3.0,2.0
418,4.0,3.0,-1.0
419,2.0,3.0,1.0
420,3.0,3.0,0.0
421,1.0,3.0,2.0
422,3.0,1.0,-2.0
423,4.0,3.0,-1.0
424,1.0,1.0,0.0
425,3.0,3.0,0.0
426,1.0,1.0,0.0
427,4.0,3.0,-1.0
428,3.0,1.0,-2.0
429,1.0,1.0,0.0
430,3.0,4.0,1.0
431,4.0,3.0,-1.0
432,4.0,3.0,-1.0
433,1.0,1.0,0.0
434,2.0,1.0,-1.0
435,3.0,4.0,1.0
436,1.0,1.0,0.0
437,3.0,1.0,-2.0
438,4.0,1.0,-3.0
439,1.0,1.0,0.0
440,3.0,3.0,0.0
441,1.0,1.0,0.0
442,1.0,1.0,0.0
443,4.0,4.0,0.0
444,1.0,1.0,0.0
445,1.0,3.0,2.0
446,3.0,1.0,-2.0
447,1.0,1.0,0.0
448,3.0,3.0,0.0
449,3.0,3.0,0.0
450,3.0,1.0,-2.0
451,1.0,3.0,2.0
452,1.0,1.0,0.0
453,1.0,1.0,0.0
454,2.0,2.0,0.0
455,1.0,3.0,2.0
456,3.0,4.0,1.0
457,3.0,1.0,-2.0
458,1.0,1.0,0.0
459,1.0,1.0,0.0
460,4.0,3.0,-1.0
461,3.0,3.0,0.0
462,1.0,3.0,2.0
463,1.0,1.0,0.0
464,3.0,3.0,0.0
465,1.0,1.0,0.0
466,3.0,1.0,-2.0
467,4.0,1.0,-3.0
468,3.0,1.0,-2.0
469,4.0,1.0,-3.0
470,1.0,1.0,0.0
471,1.0,1.0,0.0
472,3.0,3.0,0.0
473,1.0,1.0,0.0
474,4.0,1.0,-3.0
475,1.0,3.0,2.0
476,2.0,3.0,1.0
477,1.0,1.0,0.0
478,1.0,1.0,0.0
479,4.0,3.0,-1.0
480,1.0,1.0,0.0
481,3.0,3.0,0.0
482,1.0,3.0,2.0
483,3.0,3.0,0.0
484,1.0,3.0,2.0
485,1.0,3.0,2.0
486,2.0,1.0,-1.0
487,3.0,1.0,-2.0
488,4.0,1.0,-3.0
489,3.0,1.0,-2.0
490,3.0,3.0,0.0
491,1.0,1.0,0.0
492,1.0,1.0,0.0
493,1.0,3.0,2.0
494,3.0,1.0,-2.0
495,3.0,1.0,-2.0
496,1.0,3.0,2.0
497,3.0,3.0,0.0
498,4.0,3.0,-1.0
499,4.0,1.0,-3.0
500,4.0,1.0,-3.0
501,4.0,3.0,-1.0
502,3.0,1.0,-2.0
503,3.0,3.0,0.0
504,4.0,3.0,-1.0
505,3.0,3.0,0.0
506,3.0,1.0,-2.0
507,1.0,1.0,0.0
508,3.0,3.0,0.0
509,3.0,3.0,0.0
510,3.0,3.0,0.0
511,4.0,3.0,-1.0
512,1.0,3.0,2.0
513,3.0,3.0,0.0
514,1.0,1.0,0.0
515,4.0,3.0,-1.0
516,1.0,3.0,2.0
517,3.0,3.0,0.0
518,1.0,3.0,2.0
519,1.0,3.0,2.0
520,1.0,1.0,0.0
521,3.0,3.0,0.0
522,3.0,3.0,0.0
523,1.0,3.0,2.0
524,3.0,2.0,-1.0
525,1.0,3.0,2.0
526,4.0,1.0,-3.0
527,4.0,3.0,-1.0
528,4.0,1.0,-3.0
529,1.0,3.0,2.0
530,3.0,1.0,-2.0
531,4.0,3.0,-1.0
532,1.0,1.0,0.0
533,1.0,1.0,0.0
534,1.0,3.0,2.0
535,3.0,1.0,-2.0
536,3.0,3.0,0.0
537,1.0,1.0,0.0
538,3.0,3.0,0.0
539,3.0,1.0,-2.0
540,3.0,3.0,0.0
541,3.0,3.0,0.0
542,1.0,3.0,2.0
543,1.0,1.0,0.0
544,3.0,3.0,0.0
545,3.0,1.0,-2.0
546,3.0,1.0,-2.0
547,1.0,3.0,2.0
548,4.0,1.0,-3.0
549,2.0,1.0,-1.0
550,1.0,1.0,0.0
551,3.0,1.0,-2.0
552,1.0,3.0,2.0
553,2.0,1.0,-1.0
554,3.0,3.0,0.0
555,1.0,1.0,0.0
556,3.0,4.0,1.0
557,1.0,1.0,0.0
558,1.0,3.0,2.0
559,1.0,3.0,2.0
560,2.0,1.0,-1.0
561,4.0,4.0,0.0
562,3.0,1.0,-2.0
563,1.0,1.0,0.0
564,3.0,3.0,0.0
565,3.0,1.0,-2.0
566,4.0,3.0,-1.0
567,1.0,1.0,0.0
568,4.0,3.0,-1.0
569,4.0,1.0,-3.0
570,3.0,1.0,-2.0
571,2.0,1.0,-1.0
572,1.0,1.0,0.0
573,3.0,1.0,-2.0
574,2.0,3.0,1.0
575,4.0,4.0,0.0
576,3.0,3.0,0.0
577,1.0,1.0,0.0
578,4.0,4.0,0.0
579,1.0,1.0,0.0
580,1.0,1.0,0.0
581,3.0,1.0,-2.0
582,3.0,3.0,0.0
583,4.0,3.0,-1.0
584,4.0,3.0,-1.0
585,4.0,1.0,-3.0
586,1.0,1.0,0.0
587,4.0,1.0,-3.0
588,4.0,3.0,-1.0
589,2.0,1.0,-1.0
590,3.0,1.0,-2.0
591,1.0,3.0,2.0
592,1.0,3.0,2.0
593,3.0,3.0,0.0
594,4.0,4.0,0.0
595,3.0,3.0,0.0
596,1.0,1.0,0.0
597,2.0,1.0,-1.0
598,1.0,3.0,2.0
599,1.0,3.0,2.0
600,3.0,3.0,0.0
601,3.0,2.0,-1.0
602,1.0,3.0,2.0
603,2.0,1.0,-1.0
604,3.0,3.0,0.0
605,3.0,3.0,0.0
606,4.0,3.0,-1.0
607,1.0,3.0,2.0
608,1.0,1.0,0.0
609,4.0,3.0,-1.0
610,3.0,3.0,0.0
611,1.0,3.0,2.0
612,1.0,1.0,0.0
613,1.0,1.0,0.0
614,3.0,1.0,-2.0
615,4.0,3.0,-1.0
616,4.0,1.0,-3.0
617,3.0,3.0,0.0
618,3.0,3.0,0.0
619,3.0,3.0,0.0
620,3.0,4.0,1.0
621,3.0,3.0,0.0
622,3.0,1.0,-2.0
623,1.0,1.0,0.0
624,2.0,3.0,1.0
625,3.0,1.0,-2.0
626,3.0,4.0,1.0
627,4.0,3.0,-1.0
628,2.0,1.0,-1.0
629,3.0,3.0,0.0
630,3.0,1.0,-2.0
631,3.0,3.0,0.0
632,4.0,1.0,-3.0
633,3.0,1.0,-2.0
634,3.0,1.0,-2.0
635,1.0,1.0,0.0
636,1.0,1.0,0.0
637,3.0,3.0,0.0
638,3.0,1.0,-2.0
639,3.0,1.0,-2.0
640,1.0,3.0,2.0
641,3.0,1.0,-2.0
642,3.0,3.0,0.0
643,4.0,1.0,-3.0
644,3.0,3.0,0.0
645,3.0,4.0,1.0
646,3.0,4.0,1.0
647,2.0,3.0,1.0
648,1.0,3.0,2.0
649,1.0,3.0,2.0
650,4.0,3.0,-1.0
651,1.0,3.0,2.0
652,3.0,1.0,-2.0
653,1.0,3.0,2.0
654,2.0,1.0,-1.0
655,1.0,3.0,2.0
656,1.0,3.0,2.0
657,2.0,3.0,1.0
658,4.0,4.0,0.0
659,3.0,1.0,-2.0
660,2.0,1.0,-1.0
661,1.0,3.0,2.0
662,1.0,1.0,0.0
663,1.0,2.0,1.0
664,1.0,3.0,2.0
665,1.0,3.0,2.0
666,3.0,3.0,0.0
667,3.0,3.0,0.0
668,1.0,3.0,2.0
669,4.0,3.0,-1.0
670,2.0,4.0,2.0
671,1.0,1.0,0.0
672,3.0,1.0,-2.0
673,3.0,1.0,-2.0
674,1.0,3.0,2.0
675,1.0,3.0,2.0
676,3.0,3.0,0.0
677,1.0,1.0,0.0
678,3.0,1.0,-2.0
