,y_eval,y_pred,diff
2715,3.0,4.0,1.0
2768,2.0,4.0,2.0
2806,2.0,2.0,0.0
2893,2.0,1.0,-1.0
2942,4.0,4.0,0.0
2949,3.0,4.0,1.0
3079,2.0,4.0,2.0
4601,2.0,2.0,0.0
7116,4.0,1.0,-3.0
7135,1.0,4.0,3.0
7138,1.0,2.0,1.0
7139,2.0,1.0,-1.0
7145,4.0,1.0,-3.0
7156,1.0,2.0,1.0
7161,4.0,2.0,-2.0
9467,3.0,2.0,-1.0
9471,3.0,2.0,-1.0
9474,4.0,1.0,-3.0
12202,1.0,1.0,0.0
12203,3.0,1.0,-2.0
12204,4.0,1.0,-3.0
12205,2.0,1.0,-1.0
12206,2.0,2.0,0.0
12207,1.0,2.0,1.0
12208,2.0,2.0,0.0
12209,2.0,2.0,0.0
12210,4.0,2.0,-2.0
12211,1.0,2.0,1.0
12212,1.0,1.0,0.0
12213,2.0,3.0,1.0
12214,3.0,1.0,-2.0
12215,1.0,1.0,0.0
12216,4.0,2.0,-2.0
12217,3.0,2.0,-1.0
12218,1.0,2.0,1.0
12219,4.0,2.0,-2.0
12220,1.0,2.0,1.0
12221,1.0,2.0,1.0
12222,1.0,2.0,1.0
12223,1.0,1.0,0.0
12224,4.0,4.0,0.0
12225,4.0,4.0,0.0
12226,4.0,4.0,0.0
12227,2.0,2.0,0.0
12228,2.0,1.0,-1.0
12229,1.0,4.0,3.0
12230,2.0,2.0,0.0
12231,2.0,2.0,0.0
12232,2.0,1.0,-1.0
12233,2.0,2.0,0.0
12234,2.0,1.0,-1.0
12235,1.0,1.0,0.0
12236,1.0,2.0,1.0
12237,1.0,4.0,3.0
12238,2.0,2.0,0.0
12239,1.0,1.0,0.0
12240,3.0,4.0,1.0
12241,1.0,2.0,1.0
12242,2.0,1.0,-1.0
12243,3.0,2.0,-1.0
12244,3.0,2.0,-1.0
12245,2.0,1.0,-1.0
12246,3.0,4.0,1.0
12247,4.0,3.0,-1.0
12248,1.0,2.0,1.0
12249,3.0,1.0,-2.0
12250,1.0,2.0,1.0
12251,4.0,1.0,-3.0
12252,4.0,3.0,-1.0
12253,2.0,2.0,0.0
12254,1.0,1.0,0.0
12255,3.0,2.0,-1.0
12256,3.0,1.0,-2.0
12257,2.0,3.0,1.0
12258,2.0,2.0,0.0
12259,4.0,3.0,-1.0
12260,3.0,3.0,0.0
12261,2.0,2.0,0.0
12262,1.0,2.0,1.0
12263,2.0,1.0,-1.0
12264,2.0,2.0,0.0
12265,2.0,1.0,-1.0
12266,4.0,1.0,-3.0
12267,1.0,2.0,1.0
12268,3.0,1.0,-2.0
12269,4.0,4.0,0.0
12270,4.0,4.0,0.0
12271,1.0,1.0,0.0
12272,1.0,1.0,0.0
12273,1.0,2.0,1.0
12274,2.0,1.0,-1.0
12275,1.0,1.0,0.0
12276,1.0,1.0,0.0
12277,1.0,1.0,0.0
12278,4.0,1.0,-3.0
12279,3.0,3.0,0.0
12280,1.0,1.0,0.0
12281,4.0,4.0,0.0
12282,3.0,2.0,-1.0
12283,2.0,1.0,-1.0
12284,1.0,2.0,1.0
12285,4.0,1.0,-3.0
12286,1.0,1.0,0.0
12287,3.0,2.0,-1.0
12288,2.0,2.0,0.0
12289,2.0,1.0,-1.0
12290,1.0,1.0,0.0
12291,4.0,4.0,0.0
12292,3.0,3.0,0.0
12293,1.0,1.0,0.0
12294,3.0,2.0,-1.0
12295,2.0,2.0,0.0
12296,3.0,2.0,-1.0
12297,3.0,3.0,0.0
12298,2.0,2.0,0.0
12299,3.0,3.0,0.0
12300,3.0,1.0,-2.0
12301,2.0,2.0,0.0
12302,4.0,1.0,-3.0
12303,3.0,2.0,-1.0
12304,2.0,2.0,0.0
12305,1.0,1.0,0.0
12306,2.0,1.0,-1.0
12307,1.0,2.0,1.0
12308,3.0,3.0,0.0
12309,2.0,4.0,2.0
12310,1.0,1.0,0.0
12311,1.0,1.0,0.0
12312,1.0,1.0,0.0
12313,1.0,2.0,1.0
12314,1.0,3.0,2.0
12315,1.0,3.0,2.0
12316,1.0,1.0,0.0
12317,2.0,4.0,2.0
12318,2.0,2.0,0.0
12319,2.0,2.0,0.0
12320,3.0,2.0,-1.0
12321,3.0,3.0,0.0
12322,1.0,2.0,1.0
12323,2.0,1.0,-1.0
12324,1.0,1.0,0.0
12325,2.0,2.0,0.0
12326,1.0,4.0,3.0
12327,4.0,1.0,-3.0
12328,1.0,4.0,3.0
12329,3.0,1.0,-2.0
12330,2.0,1.0,-1.0
12331,1.0,1.0,0.0
12332,2.0,3.0,1.0
12333,3.0,1.0,-2.0
12334,3.0,2.0,-1.0
12335,4.0,4.0,0.0
12336,1.0,1.0,0.0
12337,1.0,2.0,1.0
12338,2.0,2.0,0.0
12339,4.0,2.0,-2.0
12340,1.0,2.0,1.0
12341,2.0,1.0,-1.0
12342,3.0,2.0,-1.0
12343,1.0,2.0,1.0
12344,1.0,2.0,1.0
12345,3.0,2.0,-1.0
12346,4.0,2.0,-2.0
12347,1.0,2.0,1.0
12348,1.0,1.0,0.0
12349,2.0,2.0,0.0
12350,3.0,2.0,-1.0
12910,4.0,2.0,-2.0
12911,2.0,3.0,1.0
12912,3.0,2.0,-1.0
12913,2.0,2.0,0.0
12914,3.0,1.0,-2.0
12915,1.0,1.0,0.0
12916,1.0,2.0,1.0
12917,2.0,1.0,-1.0
12918,2.0,1.0,-1.0
12919,2.0,2.0,0.0
12920,2.0,2.0,0.0
12921,3.0,2.0,-1.0
12922,1.0,4.0,3.0
12923,4.0,2.0,-2.0
12924,1.0,1.0,0.0
14146,4.0,2.0,-2.0
14147,4.0,2.0,-2.0
14148,3.0,2.0,-1.0
14149,1.0,1.0,0.0
14678,2.0,2.0,0.0
16080,3.0,2.0,-1.0
16081,2.0,2.0,0.0
16082,2.0,2.0,0.0
16083,1.0,2.0,1.0
16084,2.0,2.0,0.0
16085,2.0,2.0,0.0
16086,2.0,1.0,-1.0
16087,1.0,1.0,0.0
16088,2.0,2.0,0.0
16843,2.0,2.0,0.0
16844,2.0,1.0,-1.0
16845,1.0,1.0,0.0
16846,2.0,2.0,0.0
16847,1.0,1.0,0.0
16848,1.0,1.0,0.0
16849,1.0,3.0,2.0
16850,2.0,2.0,0.0
16851,2.0,2.0,0.0
16852,1.0,1.0,0.0
17160,2.0,1.0,-1.0
17161,1.0,1.0,0.0
17162,1.0,2.0,1.0
17163,2.0,2.0,0.0
17164,4.0,1.0,-3.0
17293,1.0,2.0,1.0
17294,3.0,4.0,1.0
17295,2.0,1.0,-1.0
17296,2.0,2.0,0.0
17623,2.0,1.0,-1.0
18090,1.0,1.0,0.0
18091,1.0,1.0,0.0
18092,1.0,4.0,3.0
18093,4.0,1.0,-3.0
18094,1.0,1.0,0.0
20040,1.0,2.0,1.0
20041,2.0,1.0,-1.0
20042,2.0,1.0,-1.0
20043,2.0,4.0,2.0
20044,3.0,1.0,-2.0
20045,1.0,1.0,0.0
20046,3.0,1.0,-2.0
20047,3.0,2.0,-1.0
20048,1.0,1.0,0.0
20049,2.0,2.0,0.0
20050,2.0,1.0,-1.0
20051,2.0,1.0,-1.0
20052,2.0,1.0,-1.0
20053,3.0,2.0,-1.0
20054,2.0,1.0,-1.0
20055,4.0,1.0,-3.0
20056,1.0,1.0,0.0
20057,2.0,3.0,1.0
20058,1.0,2.0,1.0
20059,2.0,1.0,-1.0
20571,2.0,2.0,0.0
20572,4.0,1.0,-3.0
20573,3.0,2.0,-1.0
20574,4.0,2.0,-2.0
20771,1.0,1.0,0.0
20772,2.0,1.0,-1.0
20773,4.0,4.0,0.0
21103,2.0,2.0,0.0
21104,1.0,1.0,0.0
21105,2.0,2.0,0.0
21564,1.0,2.0,1.0
21565,2.0,1.0,-1.0
21566,2.0,2.0,0.0
21835,1.0,1.0,0.0
21836,1.0,3.0,2.0
21837,4.0,2.0,-2.0
21838,1.0,3.0,2.0
21839,1.0,2.0,1.0
21939,1.0,2.0,1.0
21940,4.0,2.0,-2.0
22191,4.0,4.0,0.0
22192,1.0,2.0,1.0
22656,3.0,1.0,-2.0
22657,2.0,2.0,0.0
22658,2.0,2.0,0.0
22659,2.0,2.0,0.0
22660,2.0,2.0,0.0
22854,4.0,2.0,-2.0
22855,4.0,2.0,-2.0
22856,1.0,2.0,1.0
22857,3.0,2.0,-1.0
23243,1.0,1.0,0.0
23244,1.0,2.0,1.0
23388,1.0,1.0,0.0
23389,2.0,2.0,0.0
23673,1.0,1.0,0.0
23674,1.0,4.0,3.0
23725,2.0,2.0,0.0
23726,4.0,2.0,-2.0
23937,3.0,3.0,0.0
23938,2.0,2.0,0.0
24478,3.0,2.0,-1.0
24626,4.0,1.0,-3.0
24627,2.0,2.0,0.0
24628,2.0,1.0,-1.0
24881,1.0,1.0,0.0
24882,2.0,1.0,-1.0
24883,4.0,2.0,-2.0
24884,2.0,2.0,0.0
25056,1.0,3.0,2.0
25057,3.0,4.0,1.0
25298,2.0,1.0,-1.0
25299,1.0,1.0,0.0
25478,3.0,1.0,-2.0
25479,2.0,2.0,0.0
25480,1.0,2.0,1.0
25718,4.0,2.0,-2.0
25927,4.0,2.0,-2.0
25928,1.0,1.0,0.0
26148,1.0,1.0,0.0
26149,2.0,2.0,0.0
