,y_eval,y_pred,diff
5405,4.0,2.0,-2.0
5406,2.0,2.0,0.0
5407,1.0,2.0,1.0
5408,2.0,2.0,0.0
5409,2.0,1.0,-1.0
5410,2.0,1.0,-1.0
5411,2.0,2.0,0.0
5412,1.0,2.0,1.0
5413,2.0,4.0,2.0
5414,2.0,2.0,0.0
5415,2.0,2.0,0.0
5416,2.0,2.0,0.0
5417,2.0,4.0,2.0
5418,2.0,2.0,0.0
5419,2.0,2.0,0.0
5420,2.0,2.0,0.0
5421,3.0,3.0,0.0
5422,4.0,2.0,-2.0
5423,1.0,2.0,1.0
5424,1.0,2.0,1.0
5425,2.0,2.0,0.0
5426,3.0,3.0,0.0
5427,1.0,2.0,1.0
5428,4.0,2.0,-2.0
5429,4.0,4.0,0.0
5430,4.0,2.0,-2.0
5431,2.0,2.0,0.0
5432,2.0,2.0,0.0
5433,2.0,4.0,2.0
5434,2.0,2.0,0.0
5435,1.0,1.0,0.0
5436,1.0,4.0,3.0
5437,4.0,1.0,-3.0
5438,2.0,2.0,0.0
5439,1.0,2.0,1.0
5440,1.0,1.0,0.0
5441,4.0,2.0,-2.0
5442,4.0,4.0,0.0
5443,4.0,4.0,0.0
5444,2.0,2.0,0.0
5445,1.0,1.0,0.0
5446,2.0,2.0,0.0
5447,3.0,2.0,-1.0
5448,3.0,3.0,0.0
5449,2.0,2.0,0.0
5450,2.0,2.0,0.0
5451,3.0,3.0,0.0
5452,1.0,4.0,3.0
5453,4.0,4.0,0.0
5454,1.0,2.0,1.0
5455,2.0,1.0,-1.0
5456,4.0,4.0,0.0
5457,3.0,3.0,0.0
5458,4.0,2.0,-2.0
13094,1.0,1.0,0.0
14009,1.0,4.0,3.0
14010,4.0,1.0,-3.0
14922,2.0,2.0,0.0
14923,1.0,1.0,0.0
14924,4.0,4.0,0.0
14925,4.0,1.0,-3.0
17072,1.0,4.0,3.0
17710,2.0,2.0,0.0
17711,2.0,2.0,0.0
20179,3.0,3.0,0.0
20180,4.0,2.0,-2.0
20181,2.0,4.0,2.0
20182,3.0,3.0,0.0
20183,1.0,2.0,1.0
20184,2.0,2.0,0.0
20185,2.0,2.0,0.0
20186,1.0,1.0,0.0
20187,3.0,3.0,0.0
20188,4.0,1.0,-3.0
20189,1.0,4.0,3.0
20190,2.0,2.0,0.0
20191,3.0,3.0,0.0
21014,4.0,4.0,0.0
21015,3.0,3.0,0.0
21338,1.0,1.0,0.0
21514,1.0,2.0,1.0
21515,1.0,1.0,0.0
21907,3.0,3.0,0.0
22228,2.0,1.0,-1.0
22302,2.0,2.0,0.0
22303,2.0,2.0,0.0
22304,2.0,4.0,2.0
22962,4.0,2.0,-2.0
23091,1.0,2.0,1.0
23241,2.0,1.0,-1.0
23242,1.0,2.0,1.0
23492,2.0,1.0,-1.0
23511,4.0,2.0,-2.0
24613,2.0,1.0,-1.0
24614,4.0,4.0,0.0
25083,1.0,2.0,1.0
25084,2.0,2.0,0.0
25442,1.0,1.0,0.0
25443,1.0,2.0,1.0
25955,1.0,1.0,0.0
25999,2.0,2.0,0.0
