,y_eval,y_pred,diff
2785,3.0,2.0,-1.0
2809,2.0,2.0,0.0
2869,3.0,4.0,1.0
2915,4.0,4.0,0.0
2968,2.0,3.0,1.0
2969,4.0,2.0,-2.0
3043,4.0,3.0,-1.0
3054,3.0,4.0,1.0
3073,4.0,2.0,-2.0
3108,4.0,1.0,-3.0
6381,4.0,3.0,-1.0
7549,2.0,2.0,0.0
7562,2.0,4.0,2.0
7581,2.0,4.0,2.0
7606,1.0,1.0,0.0
7726,4.0,3.0,-1.0
7756,2.0,1.0,-1.0
7779,2.0,4.0,2.0
9984,3.0,4.0,1.0
9985,1.0,3.0,2.0
9986,4.0,3.0,-1.0
9987,4.0,3.0,-1.0
9988,3.0,2.0,-1.0
9989,1.0,2.0,1.0
9990,4.0,2.0,-2.0
9991,1.0,2.0,1.0
9992,3.0,2.0,-1.0
9993,3.0,4.0,1.0
9994,3.0,4.0,1.0
9995,1.0,1.0,0.0
9996,3.0,4.0,1.0
9997,2.0,2.0,0.0
9998,3.0,4.0,1.0
9999,2.0,4.0,2.0
10000,2.0,2.0,0.0
10001,3.0,3.0,0.0
10002,3.0,3.0,0.0
10003,4.0,3.0,-1.0
10004,4.0,1.0,-3.0
10005,4.0,3.0,-1.0
10006,1.0,2.0,1.0
10007,4.0,4.0,0.0
10008,4.0,4.0,0.0
10009,2.0,4.0,2.0
10010,3.0,3.0,0.0
10011,2.0,2.0,0.0
10012,1.0,2.0,1.0
10013,3.0,1.0,-2.0
10014,2.0,1.0,-1.0
10015,3.0,4.0,1.0
10016,1.0,3.0,2.0
10017,4.0,3.0,-1.0
10018,2.0,3.0,1.0
10019,3.0,3.0,0.0
10020,4.0,4.0,0.0
10021,3.0,2.0,-1.0
10022,2.0,1.0,-1.0
10023,4.0,3.0,-1.0
10024,3.0,3.0,0.0
10025,2.0,3.0,1.0
10026,2.0,1.0,-1.0
10027,2.0,2.0,0.0
10028,1.0,3.0,2.0
10029,1.0,1.0,0.0
10030,1.0,3.0,2.0
10031,3.0,4.0,1.0
10032,2.0,1.0,-1.0
10033,4.0,3.0,-1.0
10034,4.0,4.0,0.0
10035,3.0,3.0,0.0
10036,4.0,4.0,0.0
10037,3.0,4.0,1.0
10038,1.0,1.0,0.0
10039,2.0,3.0,1.0
10040,4.0,3.0,-1.0
10041,1.0,2.0,1.0
10042,1.0,4.0,3.0
10043,3.0,3.0,0.0
10044,2.0,4.0,2.0
10045,4.0,4.0,0.0
