,y_eval,y_pred,diff
2782,2.0,2.0,0.0
2793,4.0,4.0,0.0
2796,3.0,3.0,0.0
2802,4.0,2.0,-2.0
2815,2.0,3.0,1.0
2839,3.0,2.0,-1.0
2843,3.0,3.0,0.0
2861,2.0,3.0,1.0
2871,3.0,4.0,1.0
2900,3.0,2.0,-1.0
2907,3.0,1.0,-2.0
2908,2.0,2.0,0.0
2922,3.0,4.0,1.0
2925,3.0,3.0,0.0
2929,4.0,3.0,-1.0
2932,1.0,3.0,2.0
3016,1.0,3.0,2.0
3020,3.0,2.0,-1.0
3031,3.0,3.0,0.0
3034,3.0,4.0,1.0
3056,3.0,1.0,-2.0
3099,3.0,3.0,0.0
3123,3.0,4.0,1.0
3133,2.0,2.0,0.0
3135,3.0,2.0,-1.0
4488,3.0,3.0,0.0
4501,4.0,4.0,0.0
7514,4.0,3.0,-1.0
7529,4.0,3.0,-1.0
7624,4.0,2.0,-2.0
7641,4.0,2.0,-2.0
7697,2.0,4.0,2.0
7717,1.0,2.0,1.0
7734,4.0,2.0,-2.0
7742,2.0,1.0,-1.0
7763,1.0,2.0,1.0
7815,2.0,2.0,0.0
7821,4.0,4.0,0.0
9481,1.0,3.0,2.0
9482,3.0,3.0,0.0
9483,1.0,3.0,2.0
9484,2.0,1.0,-1.0
9485,3.0,1.0,-2.0
9486,2.0,4.0,2.0
9487,1.0,1.0,0.0
9488,4.0,4.0,0.0
9489,2.0,4.0,2.0
9490,1.0,1.0,0.0
9491,2.0,3.0,1.0
9492,4.0,4.0,0.0
9493,3.0,1.0,-2.0
9494,4.0,2.0,-2.0
9495,1.0,2.0,1.0
9496,4.0,4.0,0.0
9497,4.0,4.0,0.0
9498,3.0,1.0,-2.0
9499,4.0,3.0,-1.0
9500,2.0,4.0,2.0
9501,1.0,1.0,0.0
9502,4.0,4.0,0.0
9503,4.0,1.0,-3.0
9504,1.0,3.0,2.0
9505,1.0,2.0,1.0
9506,2.0,3.0,1.0
9507,2.0,3.0,1.0
9508,3.0,3.0,0.0
9509,2.0,3.0,1.0
9510,2.0,1.0,-1.0
9511,2.0,2.0,0.0
9512,4.0,3.0,-1.0
9513,3.0,3.0,0.0
9514,1.0,1.0,0.0
9515,2.0,2.0,0.0
9516,3.0,3.0,0.0
9517,4.0,2.0,-2.0
9518,2.0,2.0,0.0
9519,3.0,3.0,0.0
9520,2.0,4.0,2.0
9521,4.0,4.0,0.0
9522,2.0,2.0,0.0
9523,3.0,3.0,0.0
9524,2.0,2.0,0.0
9525,4.0,4.0,0.0
9526,2.0,2.0,0.0
9527,2.0,2.0,0.0
9528,2.0,4.0,2.0
9529,4.0,1.0,-3.0
9530,1.0,2.0,1.0
9531,4.0,2.0,-2.0
9532,4.0,4.0,0.0
9533,4.0,1.0,-3.0
9534,1.0,1.0,0.0
9535,3.0,3.0,0.0
9536,1.0,4.0,3.0
9537,4.0,3.0,-1.0
9538,4.0,2.0,-2.0
9539,2.0,3.0,1.0
9540,1.0,1.0,0.0
9541,3.0,1.0,-2.0
9542,4.0,4.0,0.0
9543,2.0,1.0,-1.0
9544,4.0,3.0,-1.0
9545,2.0,2.0,0.0
9546,3.0,4.0,1.0
9547,3.0,3.0,0.0
9548,1.0,3.0,2.0
9549,1.0,1.0,0.0
9550,1.0,1.0,0.0
9551,3.0,1.0,-2.0
9552,1.0,2.0,1.0
9553,2.0,1.0,-1.0
9554,4.0,4.0,0.0
9555,3.0,3.0,0.0
9556,1.0,1.0,0.0
9557,1.0,3.0,2.0
9558,4.0,1.0,-3.0
9559,2.0,4.0,2.0
9560,4.0,2.0,-2.0
9561,1.0,1.0,0.0
9562,2.0,1.0,-1.0
9563,3.0,3.0,0.0
9564,3.0,2.0,-1.0
9565,2.0,2.0,0.0
9566,1.0,2.0,1.0
9567,4.0,1.0,-3.0
9568,3.0,2.0,-1.0
9569,2.0,3.0,1.0
9570,4.0,2.0,-2.0
9571,2.0,2.0,0.0
9572,1.0,1.0,0.0
9573,4.0,3.0,-1.0
9574,4.0,4.0,0.0
9575,4.0,4.0,0.0
9576,2.0,1.0,-1.0
9577,3.0,3.0,0.0
9578,2.0,4.0,2.0
9579,2.0,1.0,-1.0
9580,2.0,1.0,-1.0
9581,1.0,2.0,1.0
9582,2.0,1.0,-1.0
9583,4.0,1.0,-3.0
9584,3.0,3.0,0.0
9585,2.0,2.0,0.0
9586,3.0,4.0,1.0
9587,3.0,1.0,-2.0
9588,4.0,2.0,-2.0
9589,1.0,3.0,2.0
9590,3.0,2.0,-1.0
9591,1.0,2.0,1.0
9592,2.0,2.0,0.0
9593,3.0,1.0,-2.0
9594,1.0,3.0,2.0
9595,4.0,4.0,0.0
9596,3.0,3.0,0.0
9597,2.0,2.0,0.0
9598,2.0,1.0,-1.0
9599,4.0,4.0,0.0
9600,1.0,1.0,0.0
9601,1.0,4.0,3.0
9602,1.0,1.0,0.0
9603,4.0,1.0,-3.0
9604,4.0,4.0,0.0
9605,4.0,3.0,-1.0
9606,1.0,1.0,0.0
9607,2.0,1.0,-1.0
9608,3.0,2.0,-1.0
9609,2.0,3.0,1.0
9610,4.0,4.0,0.0
9611,4.0,4.0,0.0
9612,4.0,2.0,-2.0
9613,3.0,3.0,0.0
9614,3.0,3.0,0.0
9615,2.0,2.0,0.0
9616,4.0,4.0,0.0
9617,2.0,1.0,-1.0
9618,4.0,2.0,-2.0
9619,1.0,1.0,0.0
9620,2.0,2.0,0.0
9621,1.0,4.0,3.0
9622,4.0,1.0,-3.0
9623,2.0,3.0,1.0
9624,3.0,3.0,0.0
9625,1.0,4.0,3.0
9626,3.0,3.0,0.0
9627,3.0,2.0,-1.0
9628,3.0,3.0,0.0
9629,2.0,4.0,2.0
9630,1.0,3.0,2.0
9631,3.0,2.0,-1.0
9632,2.0,2.0,0.0
9633,4.0,3.0,-1.0
9634,4.0,1.0,-3.0
9635,3.0,3.0,0.0
9636,4.0,4.0,0.0
9637,2.0,1.0,-1.0
9638,3.0,4.0,1.0
9639,3.0,3.0,0.0
9640,2.0,2.0,0.0
9641,4.0,1.0,-3.0
9642,4.0,4.0,0.0
9643,2.0,2.0,0.0
9644,4.0,4.0,0.0
9645,1.0,1.0,0.0
9646,1.0,4.0,3.0
9647,2.0,3.0,1.0
9648,3.0,4.0,1.0
9649,1.0,2.0,1.0
9650,4.0,1.0,-3.0
9651,2.0,1.0,-1.0
9652,2.0,2.0,0.0
9653,3.0,2.0,-1.0
9654,4.0,2.0,-2.0
9655,3.0,1.0,-2.0
9656,2.0,4.0,2.0
9657,3.0,1.0,-2.0
9658,4.0,4.0,0.0
9659,3.0,4.0,1.0
9660,3.0,3.0,0.0
9661,3.0,2.0,-1.0
9662,2.0,4.0,2.0
9663,2.0,3.0,1.0
9664,3.0,3.0,0.0
9665,4.0,4.0,0.0
9666,4.0,3.0,-1.0
9667,3.0,2.0,-1.0
9668,2.0,1.0,-1.0
9669,1.0,1.0,0.0
9670,1.0,1.0,0.0
9671,3.0,3.0,0.0
9672,3.0,3.0,0.0
9673,3.0,2.0,-1.0
9674,3.0,1.0,-2.0
9675,1.0,1.0,0.0
9676,3.0,2.0,-1.0
9677,3.0,1.0,-2.0
9679,1.0,1.0,0.0
9680,4.0,4.0,0.0
9681,2.0,2.0,0.0
9682,2.0,2.0,0.0
9683,1.0,1.0,0.0
9684,3.0,1.0,-2.0
9685,3.0,2.0,-1.0
9686,1.0,3.0,2.0
9687,4.0,3.0,-1.0
9688,2.0,1.0,-1.0
9689,4.0,2.0,-2.0
9690,2.0,2.0,0.0
9691,3.0,3.0,0.0
9692,2.0,2.0,0.0
9693,4.0,4.0,0.0
