,y_eval,y_pred,diff
1459,4.0,4.0,0.0
1460,3.0,3.0,0.0
1461,1.0,3.0,2.0
1462,4.0,1.0,-3.0
1463,2.0,2.0,0.0
1464,1.0,1.0,0.0
1465,2.0,1.0,-1.0
1466,1.0,3.0,2.0
1467,2.0,2.0,0.0
1468,3.0,2.0,-1.0
1469,3.0,1.0,-2.0
1470,2.0,2.0,0.0
1471,1.0,3.0,2.0
1472,3.0,1.0,-2.0
1473,3.0,2.0,-1.0
1474,3.0,1.0,-2.0
1475,4.0,1.0,-3.0
1476,1.0,2.0,1.0
1477,1.0,3.0,2.0
1478,1.0,1.0,0.0
1479,1.0,4.0,3.0
1480,1.0,3.0,2.0
1481,4.0,4.0,0.0
1482,3.0,1.0,-2.0
1483,4.0,2.0,-2.0
1484,2.0,1.0,-1.0
1485,2.0,1.0,-1.0
1486,4.0,2.0,-2.0
1487,2.0,2.0,0.0
1488,3.0,1.0,-2.0
1489,4.0,3.0,-1.0
1490,1.0,1.0,0.0
1491,1.0,2.0,1.0
1492,4.0,2.0,-2.0
1493,2.0,2.0,0.0
1494,3.0,1.0,-2.0
1495,1.0,1.0,0.0
1496,1.0,3.0,2.0
1497,1.0,2.0,1.0
1498,4.0,4.0,0.0
1499,1.0,1.0,0.0
1500,1.0,1.0,0.0
1501,4.0,3.0,-1.0
1502,2.0,2.0,0.0
1503,2.0,4.0,2.0
1504,2.0,1.0,-1.0
1505,4.0,1.0,-3.0
1506,2.0,1.0,-1.0
1507,3.0,3.0,0.0
1508,3.0,1.0,-2.0
1509,3.0,3.0,0.0
1510,3.0,3.0,0.0
1511,1.0,1.0,0.0
1512,1.0,3.0,2.0
1513,2.0,2.0,0.0
1514,3.0,2.0,-1.0
1515,4.0,1.0,-3.0
1516,1.0,1.0,0.0
1517,3.0,1.0,-2.0
1518,2.0,3.0,1.0
1519,4.0,3.0,-1.0
1520,3.0,1.0,-2.0
1521,2.0,2.0,0.0
1522,1.0,4.0,3.0
1523,4.0,4.0,0.0
1524,4.0,3.0,-1.0
1525,2.0,2.0,0.0
1526,3.0,2.0,-1.0
1527,1.0,1.0,0.0
1528,2.0,1.0,-1.0
1529,4.0,2.0,-2.0
1530,3.0,3.0,0.0
1531,1.0,1.0,0.0
1532,2.0,2.0,0.0
1533,4.0,2.0,-2.0
1534,2.0,3.0,1.0
1535,3.0,3.0,0.0
1536,4.0,1.0,-3.0
1537,4.0,4.0,0.0
1538,3.0,4.0,1.0
1539,2.0,2.0,0.0
1540,4.0,4.0,0.0
1541,3.0,1.0,-2.0
1542,3.0,2.0,-1.0
1543,1.0,1.0,0.0
1544,2.0,1.0,-1.0
1545,1.0,2.0,1.0
1546,4.0,4.0,0.0
1547,2.0,4.0,2.0
1548,4.0,4.0,0.0
1549,1.0,3.0,2.0
1550,2.0,2.0,0.0
1551,2.0,3.0,1.0
1552,4.0,3.0,-1.0
1553,4.0,4.0,0.0
1554,2.0,2.0,0.0
1555,3.0,3.0,0.0
1556,4.0,2.0,-2.0
1557,2.0,4.0,2.0
1558,2.0,3.0,1.0
1559,1.0,1.0,0.0
1560,4.0,4.0,0.0
1561,4.0,3.0,-1.0
1562,2.0,2.0,0.0
1563,3.0,2.0,-1.0
1564,2.0,3.0,1.0
1565,1.0,1.0,0.0
1566,3.0,3.0,0.0
1567,1.0,1.0,0.0
1568,2.0,2.0,0.0
1569,3.0,1.0,-2.0
1570,1.0,2.0,1.0
1571,3.0,3.0,0.0
1572,1.0,1.0,0.0
1573,2.0,1.0,-1.0
1574,4.0,3.0,-1.0
1575,2.0,2.0,0.0
1576,4.0,2.0,-2.0
1577,2.0,3.0,1.0
1578,2.0,4.0,2.0
1579,4.0,4.0,0.0
1580,2.0,2.0,0.0
1581,4.0,1.0,-3.0
1582,1.0,2.0,1.0
1583,2.0,2.0,0.0
1584,4.0,4.0,0.0
1585,3.0,4.0,1.0
1586,3.0,3.0,0.0
1587,2.0,4.0,2.0
1588,1.0,1.0,0.0
1589,4.0,4.0,0.0
1590,4.0,4.0,0.0
1591,3.0,3.0,0.0
1592,1.0,4.0,3.0
1593,2.0,3.0,1.0
1594,1.0,4.0,3.0
1595,4.0,4.0,0.0
1596,3.0,1.0,-2.0
1597,1.0,1.0,0.0
1598,3.0,2.0,-1.0
1599,1.0,1.0,0.0
1600,1.0,4.0,3.0
1601,1.0,1.0,0.0
1602,2.0,2.0,0.0
1603,3.0,4.0,1.0
1604,2.0,2.0,0.0
1605,2.0,1.0,-1.0
1606,3.0,3.0,0.0
1607,3.0,3.0,0.0
1608,2.0,4.0,2.0
1609,3.0,3.0,0.0
1610,3.0,3.0,0.0
1611,2.0,2.0,0.0
1612,4.0,4.0,0.0
1613,2.0,2.0,0.0
1614,4.0,3.0,-1.0
1615,2.0,4.0,2.0
1616,3.0,4.0,1.0
1617,4.0,2.0,-2.0
1618,4.0,3.0,-1.0
1619,1.0,1.0,0.0
1620,3.0,1.0,-2.0
1621,3.0,2.0,-1.0
1622,2.0,1.0,-1.0
1623,3.0,3.0,0.0
1624,4.0,2.0,-2.0
1625,2.0,1.0,-1.0
1626,2.0,1.0,-1.0
1627,2.0,2.0,0.0
