,y_eval,y_pred,diff
2804,4.0,2.0,-2.0
2894,2.0,2.0,0.0
2917,3.0,4.0,1.0
2970,3.0,3.0,0.0
2975,1.0,1.0,0.0
2984,4.0,4.0,0.0
3006,2.0,2.0,0.0
3021,4.0,2.0,-2.0
3040,2.0,4.0,2.0
3046,1.0,2.0,1.0
3049,3.0,2.0,-1.0
3052,3.0,2.0,-1.0
3055,3.0,4.0,1.0
3057,2.0,4.0,2.0
3069,4.0,4.0,0.0
3082,4.0,3.0,-1.0
3090,4.0,4.0,0.0
3092,4.0,2.0,-2.0
3128,4.0,2.0,-2.0
3139,1.0,2.0,1.0
3142,4.0,4.0,0.0
3682,2.0,2.0,0.0
3698,2.0,1.0,-1.0
3705,3.0,2.0,-1.0
6564,4.0,1.0,-3.0
6565,4.0,2.0,-2.0
6566,2.0,4.0,2.0
6567,4.0,2.0,-2.0
6568,3.0,2.0,-1.0
6569,1.0,4.0,3.0
6570,1.0,2.0,1.0
6571,2.0,4.0,2.0
6572,4.0,4.0,0.0
6573,4.0,4.0,0.0
6574,2.0,1.0,-1.0
6575,4.0,3.0,-1.0
6576,2.0,1.0,-1.0
6577,1.0,2.0,1.0
6578,4.0,2.0,-2.0
6579,1.0,1.0,0.0
6580,3.0,1.0,-2.0
6581,4.0,4.0,0.0
6582,1.0,4.0,3.0
6583,2.0,2.0,0.0
6584,3.0,2.0,-1.0
6585,1.0,2.0,1.0
6586,1.0,2.0,1.0
6587,2.0,2.0,0.0
6588,1.0,1.0,0.0
6589,3.0,4.0,1.0
6590,4.0,4.0,0.0
6591,4.0,3.0,-1.0
6592,3.0,2.0,-1.0
6593,1.0,2.0,1.0
6594,4.0,3.0,-1.0
6595,2.0,3.0,1.0
6596,1.0,4.0,3.0
6597,3.0,2.0,-1.0
6598,4.0,2.0,-2.0
6599,2.0,1.0,-1.0
6600,2.0,3.0,1.0
6601,3.0,3.0,0.0
6602,2.0,1.0,-1.0
6603,4.0,3.0,-1.0
6604,2.0,2.0,0.0
6605,3.0,1.0,-2.0
6606,4.0,4.0,0.0
6607,3.0,2.0,-1.0
6608,3.0,3.0,0.0
6609,2.0,3.0,1.0
6610,1.0,2.0,1.0
6611,3.0,1.0,-2.0
6612,1.0,1.0,0.0
6613,3.0,1.0,-2.0
6614,3.0,2.0,-1.0
6615,2.0,1.0,-1.0
6616,1.0,1.0,0.0
6617,3.0,2.0,-1.0
6618,2.0,2.0,0.0
6619,2.0,4.0,2.0
6620,1.0,1.0,0.0
6621,3.0,1.0,-2.0
6622,2.0,1.0,-1.0
6623,2.0,2.0,0.0
6624,1.0,2.0,1.0
6625,4.0,3.0,-1.0
6626,2.0,1.0,-1.0
6627,2.0,1.0,-1.0
6628,2.0,2.0,0.0
6629,3.0,3.0,0.0
6630,2.0,1.0,-1.0
6631,3.0,1.0,-2.0
6632,3.0,2.0,-1.0
6633,4.0,2.0,-2.0
6634,1.0,2.0,1.0
6635,1.0,1.0,0.0
6636,2.0,1.0,-1.0
6637,1.0,2.0,1.0
6638,1.0,2.0,1.0
6639,1.0,3.0,2.0
6640,4.0,2.0,-2.0
6641,2.0,4.0,2.0
6642,2.0,3.0,1.0
6643,3.0,1.0,-2.0
6644,2.0,3.0,1.0
6645,1.0,2.0,1.0
6646,4.0,4.0,0.0
6647,2.0,2.0,0.0
6648,3.0,3.0,0.0
6649,1.0,2.0,1.0
6650,4.0,2.0,-2.0
6651,4.0,1.0,-3.0
6652,4.0,2.0,-2.0
6653,3.0,4.0,1.0
6654,2.0,2.0,0.0
6655,2.0,2.0,0.0
6656,1.0,1.0,0.0
6657,2.0,2.0,0.0
6658,2.0,2.0,0.0
6659,1.0,2.0,1.0
6660,2.0,2.0,0.0
6661,4.0,1.0,-3.0
6662,1.0,1.0,0.0
6663,2.0,2.0,0.0
6664,3.0,2.0,-1.0
6665,2.0,1.0,-1.0
6666,2.0,4.0,2.0
6667,4.0,3.0,-1.0
6668,1.0,1.0,0.0
6669,3.0,3.0,0.0
6670,3.0,4.0,1.0
6671,3.0,1.0,-2.0
6672,3.0,4.0,1.0
6673,2.0,2.0,0.0
6674,3.0,4.0,1.0
6675,1.0,1.0,0.0
6676,3.0,2.0,-1.0
6677,4.0,3.0,-1.0
6678,2.0,2.0,0.0
6679,4.0,4.0,0.0
6680,3.0,3.0,0.0
6681,1.0,2.0,1.0
6682,4.0,3.0,-1.0
6683,2.0,1.0,-1.0
6684,1.0,4.0,3.0
6685,1.0,1.0,0.0
