,y_eval,y_pred,diff
2814,2.0,2.0,0.0
2856,3.0,3.0,0.0
2876,3.0,4.0,1.0
2897,3.0,1.0,-2.0
2933,1.0,2.0,1.0
2936,3.0,4.0,1.0
2954,1.0,2.0,1.0
2956,3.0,4.0,1.0
2993,2.0,2.0,0.0
3011,3.0,4.0,1.0
3030,3.0,2.0,-1.0
3062,3.0,2.0,-1.0
3075,3.0,3.0,0.0
3077,2.0,1.0,-1.0
3097,3.0,3.0,0.0
3120,3.0,3.0,0.0
3138,3.0,3.0,0.0
3685,1.0,2.0,1.0
7525,1.0,2.0,1.0
7526,2.0,2.0,0.0
7536,1.0,1.0,0.0
7538,1.0,1.0,0.0
7541,2.0,1.0,-1.0
7564,2.0,1.0,-1.0
7610,1.0,3.0,2.0
7619,1.0,2.0,1.0
7630,1.0,1.0,0.0
7637,3.0,3.0,0.0
7666,2.0,2.0,0.0
7673,2.0,3.0,1.0
7685,2.0,3.0,1.0
7692,1.0,2.0,1.0
7698,1.0,4.0,3.0
7718,2.0,2.0,0.0
7722,1.0,1.0,0.0
7729,2.0,2.0,0.0
7730,1.0,1.0,0.0
7733,2.0,2.0,0.0
7748,2.0,2.0,0.0
7750,2.0,2.0,0.0
7847,2.0,2.0,0.0
12351,4.0,3.0,-1.0
12352,2.0,4.0,2.0
12353,1.0,2.0,1.0
12354,3.0,4.0,1.0
12355,3.0,3.0,0.0
12356,3.0,4.0,1.0
12357,3.0,4.0,1.0
12358,1.0,2.0,1.0
12359,3.0,1.0,-2.0
12360,4.0,2.0,-2.0
12361,1.0,2.0,1.0
12362,3.0,4.0,1.0
12363,3.0,2.0,-1.0
12364,1.0,2.0,1.0
12365,2.0,2.0,0.0
12366,1.0,3.0,2.0
12367,3.0,4.0,1.0
12368,2.0,4.0,2.0
12369,1.0,2.0,1.0
12371,2.0,2.0,0.0
12372,4.0,4.0,0.0
12373,3.0,2.0,-1.0
12374,3.0,2.0,-1.0
12375,4.0,2.0,-2.0
12376,3.0,3.0,0.0
12377,2.0,1.0,-1.0
12378,2.0,2.0,0.0
12379,4.0,3.0,-1.0
12380,4.0,4.0,0.0
12381,3.0,3.0,0.0
12382,2.0,2.0,0.0
12383,2.0,3.0,1.0
12384,2.0,3.0,1.0
12385,1.0,3.0,2.0
12386,3.0,2.0,-1.0
12387,1.0,4.0,3.0
12388,3.0,1.0,-2.0
12389,4.0,3.0,-1.0
12390,2.0,3.0,1.0
12391,3.0,3.0,0.0
12392,2.0,3.0,1.0
12393,3.0,3.0,0.0
12394,3.0,4.0,1.0
12395,3.0,3.0,0.0
12396,2.0,3.0,1.0
12397,3.0,3.0,0.0
12398,4.0,4.0,0.0
12399,4.0,4.0,0.0
12400,2.0,1.0,-1.0
12401,4.0,3.0,-1.0
12402,2.0,3.0,1.0
12403,1.0,4.0,3.0
12404,1.0,2.0,1.0
12405,3.0,2.0,-1.0
12406,3.0,3.0,0.0
12407,2.0,2.0,0.0
12408,3.0,3.0,0.0
12409,1.0,2.0,1.0
12410,2.0,3.0,1.0
12411,3.0,4.0,1.0
12412,3.0,4.0,1.0
12413,2.0,4.0,2.0
12414,4.0,4.0,0.0
12415,3.0,2.0,-1.0
12416,4.0,1.0,-3.0
12417,4.0,2.0,-2.0
12418,3.0,4.0,1.0
12419,1.0,2.0,1.0
12420,4.0,4.0,0.0
12421,1.0,4.0,3.0
12422,1.0,3.0,2.0
12423,3.0,3.0,0.0
12424,4.0,1.0,-3.0
12425,3.0,3.0,0.0
12426,3.0,4.0,1.0
12427,3.0,3.0,0.0
12428,4.0,4.0,0.0
12429,4.0,3.0,-1.0
12430,1.0,3.0,2.0
12431,3.0,1.0,-2.0
12432,4.0,1.0,-3.0
12433,1.0,3.0,2.0
12434,3.0,2.0,-1.0
12435,3.0,4.0,1.0
12436,1.0,3.0,2.0
12437,1.0,3.0,2.0
12438,3.0,2.0,-1.0
12439,1.0,2.0,1.0
