,y_eval,y_pred,diff
2614,1.0,1.0,0.0
2710,4.0,1.0,-3.0
2738,4.0,1.0,-3.0
2754,4.0,1.0,-3.0
2798,1.0,1.0,0.0
2799,1.0,1.0,0.0
2868,4.0,1.0,-3.0
2903,3.0,1.0,-2.0
2997,4.0,4.0,0.0
3035,1.0,1.0,0.0
3078,4.0,1.0,-3.0
3725,4.0,1.0,-3.0
9459,1.0,4.0,3.0
9460,4.0,1.0,-3.0
9466,4.0,1.0,-3.0
9468,3.0,4.0,1.0
9469,4.0,1.0,-3.0
9472,1.0,4.0,3.0
9473,1.0,1.0,0.0
9476,3.0,1.0,-2.0
9477,4.0,1.0,-3.0
9479,4.0,1.0,-3.0
9480,1.0,4.0,3.0
10880,3.0,4.0,1.0
10881,3.0,1.0,-2.0
10882,4.0,1.0,-3.0
10883,1.0,1.0,0.0
10884,3.0,1.0,-2.0
10885,3.0,4.0,1.0
10886,1.0,1.0,0.0
10887,1.0,4.0,3.0
10888,3.0,1.0,-2.0
10889,1.0,1.0,0.0
10890,3.0,1.0,-2.0
10891,3.0,3.0,0.0
10892,3.0,1.0,-2.0
10893,4.0,1.0,-3.0
10894,1.0,1.0,0.0
10895,3.0,1.0,-2.0
10896,4.0,1.0,-3.0
10897,3.0,1.0,-2.0
10898,4.0,1.0,-3.0
10899,1.0,1.0,0.0
10900,3.0,4.0,1.0
10901,1.0,1.0,0.0
10902,1.0,1.0,0.0
10903,3.0,1.0,-2.0
10904,3.0,1.0,-2.0
10905,3.0,1.0,-2.0
10906,3.0,1.0,-2.0
10907,1.0,1.0,0.0
10908,1.0,1.0,0.0
10909,1.0,1.0,0.0
10910,1.0,1.0,0.0
10911,1.0,1.0,0.0
10912,1.0,1.0,0.0
10913,3.0,1.0,-2.0
10914,1.0,1.0,0.0
10915,4.0,1.0,-3.0
10916,4.0,1.0,-3.0
10917,1.0,1.0,0.0
10918,4.0,1.0,-3.0
10919,1.0,1.0,0.0
10920,1.0,1.0,0.0
10921,1.0,1.0,0.0
10922,1.0,1.0,0.0
10923,1.0,1.0,0.0
10924,4.0,1.0,-3.0
10925,3.0,1.0,-2.0
