,y_eval,y_pred,diff
2835,4.0,1.0,-3.0
2895,4.0,4.0,0.0
2943,4.0,4.0,0.0
3026,4.0,4.0,0.0
3065,3.0,1.0,-2.0
3137,3.0,4.0,1.0
6458,4.0,4.0,0.0
6459,1.0,1.0,0.0
6460,3.0,3.0,0.0
6461,1.0,1.0,0.0
6462,3.0,3.0,0.0
6463,3.0,4.0,1.0
6464,1.0,1.0,0.0
6465,3.0,1.0,-2.0
6466,1.0,1.0,0.0
6467,3.0,1.0,-2.0
6468,1.0,3.0,2.0
6469,1.0,1.0,0.0
6470,3.0,1.0,-2.0
6471,4.0,4.0,0.0
6472,3.0,4.0,1.0
6473,1.0,1.0,0.0
6474,3.0,3.0,0.0
6475,1.0,3.0,2.0
6476,1.0,1.0,0.0
6477,3.0,3.0,0.0
6478,3.0,1.0,-2.0
6479,1.0,1.0,0.0
6480,3.0,1.0,-2.0
6481,1.0,1.0,0.0
6482,1.0,1.0,0.0
6483,3.0,1.0,-2.0
6484,4.0,4.0,0.0
6485,4.0,1.0,-3.0
6486,1.0,1.0,0.0
6487,4.0,1.0,-3.0
6488,4.0,4.0,0.0
6489,3.0,3.0,0.0
6490,4.0,3.0,-1.0
6491,4.0,1.0,-3.0
6492,4.0,3.0,-1.0
6493,4.0,1.0,-3.0
6494,1.0,1.0,0.0
6495,1.0,4.0,3.0
6496,3.0,4.0,1.0
6497,1.0,1.0,0.0
6498,4.0,3.0,-1.0
6499,1.0,3.0,2.0
6500,3.0,1.0,-2.0
6501,1.0,3.0,2.0
6502,1.0,1.0,0.0
6503,4.0,1.0,-3.0
6504,4.0,3.0,-1.0
6505,1.0,1.0,0.0
6506,3.0,3.0,0.0
6507,4.0,4.0,0.0
6508,1.0,1.0,0.0
6509,1.0,1.0,0.0
6510,3.0,1.0,-2.0
6511,4.0,1.0,-3.0
6512,1.0,1.0,0.0
6513,1.0,1.0,0.0
6514,1.0,1.0,0.0
6515,1.0,1.0,0.0
6516,1.0,3.0,2.0
6517,3.0,3.0,0.0
6518,1.0,1.0,0.0
6519,3.0,3.0,0.0
6520,1.0,1.0,0.0
6521,4.0,1.0,-3.0
6522,4.0,4.0,0.0
6523,3.0,3.0,0.0
6524,3.0,1.0,-2.0
6525,3.0,3.0,0.0
6526,1.0,3.0,2.0
6527,4.0,4.0,0.0
6528,1.0,1.0,0.0
6529,1.0,1.0,0.0
6530,1.0,3.0,2.0
6531,1.0,1.0,0.0
6532,1.0,3.0,2.0
6533,3.0,1.0,-2.0
6534,4.0,3.0,-1.0
6535,1.0,1.0,0.0
6536,1.0,1.0,0.0
6537,4.0,4.0,0.0
6538,3.0,3.0,0.0
6539,3.0,3.0,0.0
6540,1.0,1.0,0.0
6541,4.0,1.0,-3.0
6542,1.0,1.0,0.0
6543,4.0,1.0,-3.0
6544,2.0,4.0,2.0
6545,1.0,1.0,0.0
6546,4.0,3.0,-1.0
6547,3.0,3.0,0.0
6548,3.0,1.0,-2.0
6549,1.0,1.0,0.0
6550,1.0,1.0,0.0
6551,4.0,3.0,-1.0
6552,1.0,1.0,0.0
6553,1.0,1.0,0.0
6554,3.0,1.0,-2.0
6555,4.0,3.0,-1.0
6556,1.0,4.0,3.0
6557,3.0,2.0,-1.0
6558,3.0,3.0,0.0
6559,2.0,3.0,1.0
6560,4.0,3.0,-1.0
6561,2.0,3.0,1.0
6562,1.0,1.0,0.0
6563,1.0,1.0,0.0
13652,1.0,3.0,2.0
13653,1.0,1.0,0.0
13654,3.0,3.0,0.0
