,y_eval,y_pred,diff
0,2.0,2.0,0.0
1,2.0,2.0,0.0
2,1.0,1.0,0.0
3,4.0,2.0,-2.0
4,1.0,1.0,0.0
5,3.0,2.0,-1.0
6,1.0,3.0,2.0
7,1.0,2.0,1.0
8,4.0,2.0,-2.0
9,1.0,1.0,0.0
10,3.0,3.0,0.0
11,4.0,2.0,-2.0
12,2.0,2.0,0.0
13,4.0,2.0,-2.0
14,2.0,2.0,0.0
15,2.0,2.0,0.0
16,2.0,2.0,0.0
17,1.0,2.0,1.0
18,1.0,1.0,0.0
19,2.0,3.0,1.0
20,4.0,2.0,-2.0
21,1.0,2.0,1.0
22,3.0,2.0,-1.0
23,1.0,1.0,0.0
24,3.0,3.0,0.0
25,1.0,2.0,1.0
26,2.0,2.0,0.0
27,3.0,2.0,-1.0
28,1.0,4.0,3.0
29,2.0,2.0,0.0
30,2.0,2.0,0.0
31,3.0,2.0,-1.0
32,3.0,3.0,0.0
33,1.0,2.0,1.0
34,1.0,2.0,1.0
35,4.0,3.0,-1.0
36,4.0,2.0,-2.0
37,1.0,3.0,2.0
38,2.0,2.0,0.0
39,2.0,2.0,0.0
40,2.0,1.0,-1.0
41,2.0,2.0,0.0
42,2.0,1.0,-1.0
43,1.0,2.0,1.0
44,2.0,2.0,0.0
45,4.0,2.0,-2.0
46,3.0,1.0,-2.0
47,2.0,1.0,-1.0
48,3.0,2.0,-1.0
49,3.0,2.0,-1.0
50,2.0,2.0,0.0
51,4.0,2.0,-2.0
52,2.0,2.0,0.0
53,4.0,1.0,-3.0
54,2.0,1.0,-1.0
55,4.0,2.0,-2.0
56,2.0,1.0,-1.0
57,2.0,2.0,0.0
58,2.0,1.0,-1.0
59,2.0,2.0,0.0
60,1.0,1.0,0.0
61,1.0,2.0,1.0
62,2.0,2.0,0.0
63,2.0,4.0,2.0
64,1.0,2.0,1.0
65,2.0,2.0,0.0
66,4.0,2.0,-2.0
67,2.0,1.0,-1.0
68,1.0,2.0,1.0
69,3.0,1.0,-2.0
70,1.0,1.0,0.0
71,1.0,2.0,1.0
72,2.0,4.0,2.0
73,1.0,1.0,0.0
74,2.0,2.0,0.0
75,2.0,2.0,0.0
76,2.0,2.0,0.0
77,2.0,4.0,2.0
78,1.0,1.0,0.0
79,4.0,4.0,0.0
80,2.0,2.0,0.0
81,2.0,1.0,-1.0
82,2.0,2.0,0.0
83,2.0,4.0,2.0
84,2.0,2.0,0.0
85,3.0,3.0,0.0
86,1.0,1.0,0.0
87,2.0,1.0,-1.0
88,2.0,2.0,0.0
89,4.0,2.0,-2.0
90,2.0,2.0,0.0
91,1.0,1.0,0.0
92,2.0,1.0,-1.0
93,1.0,3.0,2.0
94,2.0,2.0,0.0
95,4.0,4.0,0.0
96,1.0,2.0,1.0
97,3.0,3.0,0.0
98,2.0,2.0,0.0
99,2.0,2.0,0.0
100,2.0,1.0,-1.0
101,3.0,1.0,-2.0
102,3.0,1.0,-2.0
103,2.0,2.0,0.0
104,4.0,1.0,-3.0
105,2.0,2.0,0.0
106,2.0,2.0,0.0
107,4.0,4.0,0.0
108,2.0,2.0,0.0
109,2.0,2.0,0.0
110,2.0,2.0,0.0
111,2.0,2.0,0.0
112,4.0,2.0,-2.0
113,3.0,3.0,0.0
114,2.0,2.0,0.0
115,3.0,1.0,-2.0
116,2.0,2.0,0.0
117,2.0,4.0,2.0
118,1.0,2.0,1.0
119,4.0,1.0,-3.0
120,1.0,1.0,0.0
121,2.0,2.0,0.0
122,2.0,2.0,0.0
123,3.0,2.0,-1.0
124,4.0,2.0,-2.0
125,3.0,2.0,-1.0
126,2.0,2.0,0.0
127,2.0,2.0,0.0
128,3.0,2.0,-1.0
129,3.0,2.0,-1.0
130,2.0,2.0,0.0
131,4.0,2.0,-2.0
132,3.0,2.0,-1.0
133,1.0,2.0,1.0
134,1.0,1.0,0.0
135,2.0,1.0,-1.0
136,3.0,4.0,1.0
137,3.0,2.0,-1.0
138,3.0,3.0,0.0
139,1.0,1.0,0.0
140,3.0,3.0,0.0
141,4.0,4.0,0.0
142,2.0,1.0,-1.0
143,2.0,2.0,0.0
144,2.0,2.0,0.0
145,3.0,1.0,-2.0
146,3.0,2.0,-1.0
147,4.0,2.0,-2.0
148,1.0,2.0,1.0
149,1.0,2.0,1.0
150,2.0,2.0,0.0
151,2.0,2.0,0.0
152,2.0,2.0,0.0
153,4.0,2.0,-2.0
154,1.0,1.0,0.0
155,2.0,2.0,0.0
156,2.0,2.0,0.0
157,4.0,1.0,-3.0
158,1.0,2.0,1.0
159,3.0,2.0,-1.0
160,4.0,1.0,-3.0
161,2.0,2.0,0.0
162,3.0,3.0,0.0
163,1.0,1.0,0.0
164,2.0,2.0,0.0
