,y_eval,y_pred,diff
2916,3.0,3.0,0.0
2966,3.0,1.0,-2.0
2976,3.0,2.0,-1.0
3018,4.0,2.0,-2.0
3041,2.0,2.0,0.0
3114,3.0,3.0,0.0
3129,3.0,1.0,-2.0
7162,1.0,1.0,0.0
7163,4.0,2.0,-2.0
7164,4.0,1.0,-3.0
7165,3.0,3.0,0.0
7166,3.0,1.0,-2.0
7167,4.0,4.0,0.0
7168,2.0,3.0,1.0
7169,4.0,4.0,0.0
7170,3.0,2.0,-1.0
7171,4.0,4.0,0.0
7172,3.0,3.0,0.0
7173,2.0,1.0,-1.0
7174,1.0,1.0,0.0
7175,1.0,1.0,0.0
7176,3.0,3.0,0.0
7177,1.0,3.0,2.0
7178,3.0,1.0,-2.0
7179,2.0,2.0,0.0
7180,3.0,1.0,-2.0
7181,3.0,3.0,0.0
7182,4.0,1.0,-3.0
7183,2.0,1.0,-1.0
7184,2.0,2.0,0.0
7185,4.0,4.0,0.0
7186,4.0,3.0,-1.0
7187,3.0,2.0,-1.0
7188,4.0,4.0,0.0
7189,3.0,3.0,0.0
7190,1.0,1.0,0.0
7191,3.0,4.0,1.0
7192,3.0,3.0,0.0
7193,3.0,1.0,-2.0
7194,1.0,2.0,1.0
7195,2.0,1.0,-1.0
7196,3.0,2.0,-1.0
7197,3.0,2.0,-1.0
7198,2.0,2.0,0.0
7199,2.0,2.0,0.0
7200,3.0,1.0,-2.0
7201,4.0,3.0,-1.0
7202,1.0,2.0,1.0
7203,2.0,3.0,1.0
7204,2.0,2.0,0.0
7205,4.0,3.0,-1.0
7206,4.0,4.0,0.0
7207,4.0,2.0,-2.0
7208,4.0,3.0,-1.0
7209,2.0,2.0,0.0
7210,2.0,3.0,1.0
7211,3.0,3.0,0.0
7212,2.0,1.0,-1.0
7213,2.0,2.0,0.0
7214,1.0,2.0,1.0
7215,3.0,2.0,-1.0
7216,2.0,2.0,0.0
7217,2.0,2.0,0.0
7218,4.0,4.0,0.0
7219,3.0,2.0,-1.0
7220,1.0,1.0,0.0
7221,1.0,1.0,0.0
7222,2.0,3.0,1.0
7223,3.0,2.0,-1.0
7224,1.0,1.0,0.0
7225,3.0,1.0,-2.0
7226,1.0,1.0,0.0
7227,3.0,3.0,0.0
7228,1.0,1.0,0.0
7229,4.0,3.0,-1.0
7230,2.0,3.0,1.0
7231,1.0,1.0,0.0
7232,1.0,2.0,1.0
7233,2.0,1.0,-1.0
7234,4.0,3.0,-1.0
7235,2.0,1.0,-1.0
7236,3.0,3.0,0.0
7237,3.0,3.0,0.0
7238,1.0,1.0,0.0
7239,2.0,2.0,0.0
7240,3.0,3.0,0.0
7241,1.0,3.0,2.0
7242,1.0,1.0,0.0
7243,2.0,3.0,1.0
7244,3.0,4.0,1.0
7245,2.0,1.0,-1.0
7246,1.0,2.0,1.0
7247,3.0,1.0,-2.0
7248,2.0,2.0,0.0
7249,3.0,2.0,-1.0
7250,2.0,1.0,-1.0
7251,2.0,2.0,0.0
7252,4.0,1.0,-3.0
7253,2.0,1.0,-1.0
7254,3.0,3.0,0.0
7255,1.0,1.0,0.0
7256,2.0,4.0,2.0
7257,4.0,3.0,-1.0
7258,4.0,2.0,-2.0
7259,2.0,2.0,0.0
7260,2.0,1.0,-1.0
7261,2.0,3.0,1.0
7262,2.0,2.0,0.0
7263,2.0,4.0,2.0
7264,1.0,2.0,1.0
7265,2.0,1.0,-1.0
7266,2.0,2.0,0.0
7267,1.0,1.0,0.0
7268,2.0,4.0,2.0
7269,1.0,2.0,1.0
7270,1.0,3.0,2.0
7271,1.0,1.0,0.0
7272,2.0,2.0,0.0
7273,3.0,3.0,0.0
7274,1.0,1.0,0.0
7275,3.0,2.0,-1.0
7276,1.0,2.0,1.0
7277,4.0,3.0,-1.0
7278,3.0,2.0,-1.0
7279,3.0,2.0,-1.0
7280,3.0,1.0,-2.0
7281,1.0,3.0,2.0
7282,3.0,2.0,-1.0
7283,3.0,3.0,0.0
7284,1.0,2.0,1.0
7285,2.0,2.0,0.0
7286,1.0,2.0,1.0
7287,2.0,3.0,1.0
7288,4.0,4.0,0.0
7289,3.0,3.0,0.0
7290,3.0,4.0,1.0
7291,2.0,2.0,0.0
7292,3.0,3.0,0.0
