,y_eval,y_pred,diff
2772,4.0,4.0,0.0
2783,3.0,1.0,-2.0
2795,3.0,1.0,-2.0
2817,4.0,4.0,0.0
2913,4.0,2.0,-2.0
2941,3.0,4.0,1.0
2971,3.0,3.0,0.0
2985,2.0,1.0,-1.0
3010,3.0,3.0,0.0
3032,4.0,4.0,0.0
3083,4.0,3.0,-1.0
3672,2.0,1.0,-1.0
4753,1.0,1.0,0.0
4754,2.0,3.0,1.0
4755,4.0,3.0,-1.0
4756,1.0,1.0,0.0
4757,3.0,1.0,-2.0
4758,3.0,3.0,0.0
4759,4.0,3.0,-1.0
4760,1.0,3.0,2.0
4761,1.0,3.0,2.0
4762,2.0,3.0,1.0
4763,4.0,4.0,0.0
4764,4.0,3.0,-1.0
4765,4.0,1.0,-3.0
4766,3.0,1.0,-2.0
4767,1.0,2.0,1.0
4768,1.0,1.0,0.0
4769,4.0,4.0,0.0
4770,1.0,4.0,3.0
4771,2.0,4.0,2.0
4772,1.0,2.0,1.0
4773,1.0,1.0,0.0
4774,3.0,4.0,1.0
4775,2.0,2.0,0.0
4776,3.0,1.0,-2.0
4777,1.0,1.0,0.0
4778,1.0,4.0,3.0
4779,2.0,2.0,0.0
4780,3.0,1.0,-2.0
4781,2.0,1.0,-1.0
4782,1.0,1.0,0.0
4783,3.0,1.0,-2.0
4784,2.0,4.0,2.0
4785,4.0,4.0,0.0
4786,4.0,2.0,-2.0
4787,1.0,3.0,2.0
4788,2.0,1.0,-1.0
4789,3.0,3.0,0.0
4790,3.0,2.0,-1.0
4791,1.0,1.0,0.0
4792,2.0,2.0,0.0
4793,1.0,3.0,2.0
4794,2.0,1.0,-1.0
4795,1.0,3.0,2.0
4796,1.0,3.0,2.0
4797,1.0,2.0,1.0
4798,1.0,2.0,1.0
4799,3.0,4.0,1.0
4800,1.0,3.0,2.0
4801,1.0,3.0,2.0
4802,2.0,3.0,1.0
4803,4.0,3.0,-1.0
4804,4.0,3.0,-1.0
4805,1.0,4.0,3.0
4806,1.0,1.0,0.0
4807,3.0,2.0,-1.0
4808,2.0,3.0,1.0
4809,2.0,1.0,-1.0
4810,1.0,2.0,1.0
4811,4.0,2.0,-2.0
4812,2.0,3.0,1.0
4813,4.0,4.0,0.0
4814,2.0,1.0,-1.0
4815,1.0,3.0,2.0
4816,1.0,1.0,0.0
4817,4.0,4.0,0.0
4818,1.0,2.0,1.0
4819,3.0,3.0,0.0
4820,2.0,1.0,-1.0
4821,4.0,1.0,-3.0
4822,3.0,3.0,0.0
4823,3.0,1.0,-2.0
4824,1.0,4.0,3.0
4825,3.0,3.0,0.0
4826,2.0,2.0,0.0
4827,3.0,2.0,-1.0
4828,2.0,2.0,0.0
4829,4.0,1.0,-3.0
4830,4.0,4.0,0.0
4831,3.0,1.0,-2.0
4832,4.0,4.0,0.0
