,y_eval,y_pred,diff
984,4.0,4.0,0.0
985,2.0,3.0,1.0
986,4.0,2.0,-2.0
987,1.0,2.0,1.0
988,3.0,3.0,0.0
989,3.0,4.0,1.0
990,1.0,1.0,0.0
991,2.0,2.0,0.0
992,2.0,2.0,0.0
993,2.0,3.0,1.0
994,3.0,2.0,-1.0
995,3.0,3.0,0.0
996,3.0,3.0,0.0
997,4.0,2.0,-2.0
998,1.0,1.0,0.0
999,1.0,3.0,2.0
1000,1.0,2.0,1.0
1001,1.0,3.0,2.0
1002,2.0,2.0,0.0
1003,4.0,2.0,-2.0
1004,4.0,4.0,0.0
1005,4.0,2.0,-2.0
1006,2.0,2.0,0.0
1007,3.0,3.0,0.0
1008,2.0,3.0,1.0
1009,4.0,4.0,0.0
1010,2.0,2.0,0.0
1011,2.0,4.0,2.0
1012,1.0,2.0,1.0
1013,3.0,2.0,-1.0
1014,4.0,2.0,-2.0
1015,3.0,2.0,-1.0
1016,2.0,4.0,2.0
1017,1.0,1.0,0.0
1018,4.0,3.0,-1.0
1019,2.0,2.0,0.0
1020,2.0,2.0,0.0
1021,4.0,4.0,0.0
1022,1.0,1.0,0.0
1023,2.0,4.0,2.0
1024,2.0,4.0,2.0
1025,2.0,4.0,2.0
1026,1.0,1.0,0.0
1027,1.0,1.0,0.0
1028,4.0,4.0,0.0
1029,3.0,1.0,-2.0
1030,3.0,4.0,1.0
1031,1.0,4.0,3.0
1032,2.0,2.0,0.0
1033,2.0,1.0,-1.0
1034,4.0,4.0,0.0
1035,2.0,2.0,0.0
1036,2.0,1.0,-1.0
1037,3.0,3.0,0.0
1038,2.0,2.0,0.0
1039,4.0,2.0,-2.0
1040,4.0,2.0,-2.0
1041,1.0,1.0,0.0
1042,3.0,2.0,-1.0
1043,1.0,3.0,2.0
1044,3.0,1.0,-2.0
1045,2.0,2.0,0.0
1046,1.0,2.0,1.0
1047,1.0,4.0,3.0
1048,4.0,2.0,-2.0
1049,1.0,1.0,0.0
1050,2.0,2.0,0.0
1051,4.0,1.0,-3.0
1052,4.0,1.0,-3.0
1053,4.0,2.0,-2.0
1054,2.0,2.0,0.0
1055,2.0,2.0,0.0
1056,4.0,4.0,0.0
1057,4.0,2.0,-2.0
1058,1.0,2.0,1.0
1059,2.0,3.0,1.0
1060,4.0,1.0,-3.0
1061,1.0,3.0,2.0
1062,3.0,3.0,0.0
1064,2.0,3.0,1.0
1065,4.0,4.0,0.0
1066,4.0,1.0,-3.0
1067,1.0,3.0,2.0
1068,2.0,2.0,0.0
1069,3.0,2.0,-1.0
1070,2.0,2.0,0.0
1071,3.0,4.0,1.0
1072,2.0,1.0,-1.0
1073,2.0,2.0,0.0
1074,2.0,2.0,0.0
1075,3.0,3.0,0.0
1076,1.0,1.0,0.0
1077,4.0,2.0,-2.0
1078,1.0,1.0,0.0
1079,2.0,2.0,0.0
1080,3.0,3.0,0.0
1081,2.0,3.0,1.0
1082,4.0,2.0,-2.0
1083,1.0,2.0,1.0
1084,4.0,2.0,-2.0
1085,3.0,2.0,-1.0
1086,3.0,3.0,0.0
1087,1.0,1.0,0.0
1088,1.0,2.0,1.0
1089,1.0,2.0,1.0
1090,1.0,1.0,0.0
1091,4.0,4.0,0.0
1092,2.0,4.0,2.0
1093,4.0,4.0,0.0
1094,1.0,2.0,1.0
1095,2.0,2.0,0.0
1096,2.0,1.0,-1.0
1097,3.0,3.0,0.0
1098,4.0,4.0,0.0
1099,4.0,1.0,-3.0
1100,2.0,1.0,-1.0
1101,2.0,1.0,-1.0
1102,2.0,2.0,0.0
1103,2.0,1.0,-1.0
1104,4.0,2.0,-2.0
1105,4.0,1.0,-3.0
1106,1.0,1.0,0.0
1107,4.0,2.0,-2.0
1108,1.0,1.0,0.0
1109,2.0,1.0,-1.0
1110,3.0,1.0,-2.0
1111,2.0,1.0,-1.0
1112,2.0,4.0,2.0
1113,3.0,2.0,-1.0
1114,3.0,2.0,-1.0
1115,3.0,3.0,0.0
1116,4.0,4.0,0.0
1117,4.0,2.0,-2.0
1118,4.0,2.0,-2.0
1119,2.0,2.0,0.0
1120,2.0,2.0,0.0
1121,4.0,2.0,-2.0
1122,3.0,2.0,-1.0
1123,3.0,4.0,1.0
1124,2.0,2.0,0.0
1125,2.0,2.0,0.0
1126,1.0,2.0,1.0
1127,2.0,2.0,0.0
1128,2.0,3.0,1.0
1129,1.0,1.0,0.0
1130,1.0,1.0,0.0
1131,3.0,2.0,-1.0
1132,2.0,2.0,0.0
1133,2.0,1.0,-1.0
1134,2.0,1.0,-1.0
13569,2.0,3.0,1.0
13570,1.0,1.0,0.0
13572,3.0,2.0,-1.0
13783,4.0,4.0,0.0
13784,1.0,1.0,0.0
13785,1.0,1.0,0.0
13786,4.0,4.0,0.0
13787,2.0,4.0,2.0
13788,1.0,2.0,1.0
13789,1.0,2.0,1.0
13790,1.0,1.0,0.0
13791,1.0,1.0,0.0
13792,3.0,3.0,0.0
13793,1.0,1.0,0.0
13794,1.0,1.0,0.0
14176,4.0,3.0,-1.0
14177,3.0,2.0,-1.0
14178,4.0,4.0,0.0
14179,2.0,2.0,0.0
14180,2.0,2.0,0.0
14181,1.0,1.0,0.0
14182,4.0,2.0,-2.0
14183,4.0,1.0,-3.0
14184,1.0,2.0,1.0
15745,2.0,4.0,2.0
15746,3.0,2.0,-1.0
15747,1.0,1.0,0.0
15748,1.0,1.0,0.0
15749,4.0,4.0,0.0
15750,2.0,4.0,2.0
15751,1.0,2.0,1.0
15752,4.0,4.0,0.0
15753,2.0,4.0,2.0
16394,4.0,4.0,0.0
16653,1.0,1.0,0.0
16881,1.0,1.0,0.0
17297,1.0,1.0,0.0
17408,4.0,4.0,0.0
17409,2.0,4.0,2.0
17410,2.0,2.0,0.0
17411,4.0,3.0,-1.0
17412,4.0,1.0,-3.0
17701,1.0,1.0,0.0
17702,2.0,1.0,-1.0
17703,1.0,1.0,0.0
17704,2.0,2.0,0.0
19350,1.0,1.0,0.0
19484,4.0,2.0,-2.0
19485,1.0,1.0,0.0
19486,1.0,1.0,0.0
19487,4.0,3.0,-1.0
19488,1.0,1.0,0.0
19489,4.0,4.0,0.0
19490,1.0,1.0,0.0
19491,1.0,1.0,0.0
19492,2.0,4.0,2.0
19493,3.0,4.0,1.0
19494,2.0,4.0,2.0
19495,1.0,4.0,3.0
19496,4.0,2.0,-2.0
19497,1.0,1.0,0.0
19498,4.0,2.0,-2.0
19499,1.0,4.0,3.0
19500,1.0,1.0,0.0
19501,2.0,2.0,0.0
20721,2.0,2.0,0.0
20722,2.0,3.0,1.0
20845,2.0,1.0,-1.0
21377,2.0,2.0,0.0
21378,1.0,1.0,0.0
21516,1.0,1.0,0.0
21517,1.0,1.0,0.0
21518,1.0,1.0,0.0
21843,4.0,4.0,0.0
21903,2.0,2.0,0.0
21904,2.0,1.0,-1.0
21905,1.0,4.0,3.0
22229,4.0,2.0,-2.0
22230,2.0,2.0,0.0
22337,1.0,1.0,0.0
22338,2.0,4.0,2.0
22796,3.0,4.0,1.0
22963,2.0,1.0,-1.0
22985,2.0,2.0,0.0
22986,2.0,2.0,0.0
22987,1.0,1.0,0.0
23471,1.0,1.0,0.0
23741,4.0,4.0,0.0
24024,4.0,4.0,0.0
24025,3.0,2.0,-1.0
24290,2.0,4.0,2.0
24291,3.0,2.0,-1.0
24292,3.0,3.0,0.0
24293,4.0,4.0,0.0
24294,1.0,2.0,1.0
24724,1.0,1.0,0.0
24767,1.0,1.0,0.0
24885,1.0,1.0,0.0
25091,1.0,4.0,3.0
25092,2.0,4.0,2.0
25521,1.0,4.0,3.0
