,y_eval,y_pred,diff
4623,4.0,2.0,-2.0
7132,1.0,1.0,0.0
7136,4.0,4.0,0.0
7142,3.0,3.0,0.0
7143,1.0,4.0,3.0
7146,3.0,3.0,0.0
7149,4.0,3.0,-1.0
7154,1.0,3.0,2.0
9462,3.0,3.0,0.0
9470,3.0,4.0,1.0
11445,3.0,4.0,1.0
11446,1.0,1.0,0.0
11447,3.0,3.0,0.0
11448,3.0,4.0,1.0
11449,4.0,1.0,-3.0
11450,1.0,2.0,1.0
11451,3.0,3.0,0.0
11452,4.0,4.0,0.0
11453,3.0,1.0,-2.0
11454,1.0,1.0,0.0
11455,1.0,3.0,2.0
11456,4.0,1.0,-3.0
11457,3.0,1.0,-2.0
11458,3.0,3.0,0.0
11459,3.0,1.0,-2.0
11460,1.0,1.0,0.0
11461,3.0,1.0,-2.0
11462,1.0,1.0,0.0
11463,4.0,3.0,-1.0
11464,1.0,3.0,2.0
11465,3.0,4.0,1.0
11466,4.0,3.0,-1.0
11467,4.0,3.0,-1.0
11468,3.0,1.0,-2.0
11469,3.0,3.0,0.0
11470,3.0,3.0,0.0
11471,3.0,3.0,0.0
11472,3.0,3.0,0.0
11473,2.0,3.0,1.0
11474,1.0,3.0,2.0
11475,1.0,3.0,2.0
11476,3.0,3.0,0.0
11477,1.0,3.0,2.0
11478,2.0,3.0,1.0
11479,3.0,2.0,-1.0
11480,3.0,1.0,-2.0
11481,3.0,4.0,1.0
11482,3.0,1.0,-2.0
11483,3.0,1.0,-2.0
11484,1.0,1.0,0.0
11485,3.0,3.0,0.0
11486,1.0,3.0,2.0
11487,1.0,3.0,2.0
11488,2.0,4.0,2.0
11489,4.0,3.0,-1.0
11490,1.0,3.0,2.0
13622,3.0,3.0,0.0
13628,3.0,3.0,0.0
13907,1.0,1.0,0.0
13908,1.0,1.0,0.0
13909,1.0,1.0,0.0
13910,1.0,3.0,2.0
14513,1.0,3.0,2.0
14514,3.0,1.0,-2.0
14515,1.0,1.0,0.0
14516,4.0,3.0,-1.0
14517,1.0,3.0,2.0
14677,4.0,1.0,-3.0
16095,1.0,3.0,2.0
16096,1.0,1.0,0.0
16097,2.0,1.0,-1.0
16098,1.0,1.0,0.0
16099,4.0,4.0,0.0
16100,2.0,3.0,1.0
16101,3.0,1.0,-2.0
16102,3.0,3.0,0.0
16103,3.0,1.0,-2.0
16492,1.0,1.0,0.0
16493,1.0,3.0,2.0
16494,2.0,1.0,-1.0
17669,3.0,3.0,0.0
17670,3.0,1.0,-2.0
17671,3.0,3.0,0.0
18265,2.0,3.0,1.0
18266,1.0,1.0,0.0
18979,1.0,3.0,2.0
18980,1.0,1.0,0.0
18981,3.0,3.0,0.0
18982,2.0,1.0,-1.0
18983,3.0,3.0,0.0
18984,2.0,1.0,-1.0
18985,3.0,1.0,-2.0
18986,1.0,1.0,0.0
18987,2.0,3.0,1.0
18988,3.0,3.0,0.0
20828,2.0,1.0,-1.0
21339,1.0,1.0,0.0
21340,1.0,1.0,0.0
21341,1.0,1.0,0.0
21342,1.0,1.0,0.0
21343,2.0,1.0,-1.0
21687,3.0,3.0,0.0
21688,1.0,1.0,0.0
21769,1.0,3.0,2.0
22118,2.0,2.0,0.0
22551,2.0,2.0,0.0
22874,1.0,1.0,0.0
24528,1.0,1.0,0.0
24634,3.0,3.0,0.0
24636,3.0,2.0,-1.0
