Runs,Category,Baseline___f1,Baseline___prec,Baseline___rec,Baseline___acc,Baseline___err,Baseline___combined,fd_numeric_forest_numeric___f1,fd_numeric_forest_numeric___prec,fd_numeric_forest_numeric___rec,fd_numeric_forest_numeric___acc,fd_numeric_forest_numeric___err,fd_numeric_forest_numeric___combined,fd_numeric_gradient_numeric___f1,fd_numeric_gradient_numeric___prec,fd_numeric_gradient_numeric___rec,fd_numeric_gradient_numeric___acc,fd_numeric_gradient_numeric___err,fd_numeric_gradient_numeric___combined,fd_all_forest_numeric___f1,fd_all_forest_numeric___prec,fd_all_forest_numeric___rec,fd_all_forest_numeric___acc,fd_all_forest_numeric___err,fd_all_forest_numeric___combined,fd_all_gradient_numeric___f1,fd_all_gradient_numeric___prec,fd_all_gradient_numeric___rec,fd_all_gradient_numeric___acc,fd_all_gradient_numeric___err,fd_all_gradient_numeric___combined,fd_text_bnb_text___f1,fd_text_bnb_text___prec,fd_text_bnb_text___rec,fd_text_bnb_text___acc,fd_text_bnb_text___err,fd_text_bnb_text___combined,fd_text_gradient_text___f1,fd_text_gradient_text___prec,fd_text_gradient_text___rec,fd_text_gradient_text___acc,fd_text_gradient_text___err,fd_text_gradient_text___combined,fd_text_svm_text___f1,fd_text_svm_text___prec,fd_text_svm_text___rec,fd_text_svm_text___acc,fd_text_svm_text___err,fd_text_svm_text___combined,cs_all_gradient_numeric___f1,cs_all_gradient_numeric___prec,cs_all_gradient_numeric___rec,cs_all_gradient_numeric___acc,cs_all_gradient_numeric___err,cs_all_gradient_numeric___combined
0,all,0.3485215788542507,0.42097058931760944,0.3797216699801193,0.3797216699801193,1.23,0.349 (1.23),0.3433922378834784,0.3535949449188977,0.3546709494856793,0.3546709494856793,1.392,0.343 (1.39),0.3625904287610549,0.3634596109175959,0.3664869412259569,0.3664869412259569,1.331,0.363 (1.33),0.3756714951856479,0.3774568541447347,0.3786853275209361,0.3786853275209361,1.34,0.376 (1.34),0.3799403643744652,0.3804038608430431,0.3809796948491453,0.3809796948491453,1.32,0.38 (1.32),0.31008125199895753,0.3205571129272913,0.32415586402049634,0.32415586402049634,1.463,0.31 (1.46),0.3761373779263941,0.3779165525068991,0.3791442009865779,0.3791442009865779,1.34,0.376 (1.34),0.2644902986035795,0.2758760994140707,0.28561049290658097,0.28561049290658097,1.501,0.264 (1.5),,,,,,
1,ACTION,0.3471855538845908,0.4286992404584452,0.35459183673469385,0.35459183673469385,1.2990000000000002,0.347 (1.3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.305617475628418,0.3010132459234256,0.3313373253493014,0.3313373253493014,1.5619999999999998,0.306 (1.56)
2,ADVENTURE,0.4975178741115601,0.5318451596712466,0.527536231884058,0.527536231884058,0.935,0.498 (0.94),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4741132106378214,0.4762432120129403,0.4799482535575679,0.4799482535575679,1.012,0.474 (1.01)
3,ARCADE,0.30266256605869035,0.4384455517968521,0.3251633986928105,0.3251633986928105,1.41,0.303 (1.41),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3952118592712017,0.3997084447716642,0.4218958611481976,0.4218958611481976,1.4469999999999998,0.395 (1.45)
4,BOARD,0.3596877808751295,0.4090590278844971,0.3616071428571429,0.3616071428571429,1.227,0.36 (1.23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3120084679353329,0.3126617621116691,0.3132075471698113,0.3132075471698113,1.3530000000000002,0.312 (1.35)
5,BOOKS & REFERENCE,0.4121478808243513,0.4750992639393739,0.4330357142857143,0.4330357142857143,1.223,0.412 (1.22),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4897818770759564,0.4936596273643764,0.4886039886039886,0.4886039886039886,1.257,0.49 (1.26)
6,BUSINESS,0.2871994878452945,0.3103198414259795,0.3173913043478261,0.3173913043478261,1.327,0.287 (1.33),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3297969670691568,0.3288037423907673,0.3321167883211679,0.3321167883211679,1.443,0.33 (1.44)
7,CARD,0.3287927350427351,0.44111486803794503,0.33974358974358976,0.33974358974358976,1.368,0.329 (1.37),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.392834722180639,0.4028242541669539,0.4105960264900662,0.4105960264900662,1.275,0.393 (1.27)
8,CASUAL,0.3399203566600954,0.4539256465433518,0.3694029850746269,0.3694029850746269,1.329,0.34 (1.33),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4670496888272163,0.4750366378779648,0.4784263959390863,0.4784263959390863,1.219,0.467 (1.22)
9,COMMUNICATION,0.28134040223926976,0.3481924188303321,0.33182844243792325,0.33182844243792325,1.392,0.281 (1.39),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3281592261260534,0.33168890592756434,0.3289036544850498,0.3289036544850498,1.338,0.328 (1.34)
